Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Date,Latitude,Longitude
BL0,NO,2022-03-18,6.5,ug m-3,R,2022-03-18,51.522287,-0.125848
BL0,NO,2022-03-19,3.9,ug m-3,R,2022-03-19,51.522287,-0.125848
BL0,NO,2022-03-20,1.9,ug m-3,R,2022-03-20,51.522287,-0.125848
BL0,NO,2022-03-21,10.3,ug m-3,R,2022-03-21,51.522287,-0.125848
BL0,NO,2022-03-22,12.5,ug m-3,R,2022-03-22,51.522287,-0.125848
BL0,NO,2022-03-23,11.6,ug m-3,R,2022-03-23,51.522287,-0.125848
BL0,NO,2022-03-24,10.7,ug m-3,R,2022-03-24,51.522287,-0.125848
BL0,NO,2022-03-25,9.8,ug m-3,R,2022-03-25,51.522287,-0.125848
BL0,NO,2022-03-26,8.9,ug m-3,R,2022-03-26,51.522287,-0.125848
BL0,NO,2022-03-27,8.0,ug m-3,R,2022-03-27,51.522287,-0.125848
BL0,NO,2022-03-28,7.1,ug m-3,R,2022-03-28,51.522287,-0.125848
BL0,NO,2022-03-29,6.2,ug m-3,R,2022-03-29,51.522287,-0.125848
BL0,NO,2022-03-30,5.3,ug m-3,R,2022-03-30,51.522287,-0.125848
BL0,NO,2022-03-31,4.4,ug m-3,R,2022-03-31,51.522287,-0.125848
BL0,NO,2022-04-01,4.8,ug m-3,R,2022-04-01,51.522287,-0.125848
BL0,NO,2022-04-02,4.0,ug m-3,R,2022-04-02,51.522287,-0.125848
BL0,NO,2022-04-03,7.2,ug m-3,R,2022-04-03,51.522287,-0.125848
BL0,NO,2022-04-04,22.7,ug m-3,R,2022-04-04,51.522287,-0.125848
BL0,NO,2022-04-05,14.9,ug m-3,R,2022-04-05,51.522287,-0.125848
BL0,NO,2022-04-06,1.4,ug m-3,R,2022-04-06,51.522287,-0.125848
BL0,NO,2022-04-07,13.7,ug m-3,R,2022-04-07,51.522287,-0.125848
BL0,NO,2022-04-08,5.3,ug m-3,R,2022-04-08,51.522287,-0.125848
BL0,NO,2022-04-09,20.8,ug m-3,R,2022-04-09,51.522287,-0.125848
BL0,NO,2022-04-10,2.2,ug m-3,R,2022-04-10,51.522287,-0.125848
BL0,NO,2022-04-11,5.7,ug m-3,R,2022-04-11,51.522287,-0.125848
BL0,NO,2022-04-12,5.5,ug m-3,R,2022-04-12,51.522287,-0.125848
BL0,NO,2022-04-13,4.3,ug m-3,R,2022-04-13,51.522287,-0.125848
BL0,NO,2022-04-14,14.3,ug m-3,R,2022-04-14,51.522287,-0.125848
BL0,NO,2022-04-15,13.7,ug m-3,R,2022-04-15,51.522287,-0.125848
BL0,NO,2022-04-16,7.5,ug m-3,R,2022-04-16,51.522287,-0.125848
BL0,NO,2022-04-17,3.3,ug m-3,R,2022-04-17,51.522287,-0.125848
BL0,NO,2022-04-18,9.4,ug m-3,R,2022-04-18,51.522287,-0.125848
BL0,NO,2022-04-19,4.6,ug m-3,R,2022-04-19,51.522287,-0.125848
BL0,NO,2022-04-20,4.52,ug m-3,R,2022-04-20,51.522287,-0.125848
BL0,NO,2022-04-21,4.44,ug m-3,R,2022-04-21,51.522287,-0.125848
BL0,NO,2022-04-22,4.36,ug m-3,R,2022-04-22,51.522287,-0.125848
BL0,NO,2022-04-23,4.29,ug m-3,R,2022-04-23,51.522287,-0.125848
BL0,NO,2022-04-24,4.21,ug m-3,R,2022-04-24,51.522287,-0.125848
BL0,NO,2022-04-25,4.13,ug m-3,R,2022-04-25,51.522287,-0.125848
BL0,NO,2022-04-26,4.05,ug m-3,R,2022-04-26,51.522287,-0.125848
BL0,NO,2022-04-27,3.97,ug m-3,R,2022-04-27,51.522287,-0.125848
BL0,NO,2022-04-28,3.89,ug m-3,R,2022-04-28,51.522287,-0.125848
BL0,NO,2022-04-29,3.81,ug m-3,R,2022-04-29,51.522287,-0.125848
BL0,NO,2022-04-30,3.74,ug m-3,R,2022-04-30,51.522287,-0.125848
BL0,NO,2022-05-01,3.66,ug m-3,R,2022-05-01,51.522287,-0.125848
BL0,NO,2022-05-02,3.58,ug m-3,R,2022-05-02,51.522287,-0.125848
BL0,NO,2022-05-03,3.5,ug m-3,R,2022-05-03,51.522287,-0.125848
BL0,NO,2022-05-04,3.42,ug m-3,R,2022-05-04,51.522287,-0.125848
BL0,NO,2022-05-05,3.34,ug m-3,R,2022-05-05,51.522287,-0.125848
BL0,NO,2022-05-06,3.26,ug m-3,R,2022-05-06,51.522287,-0.125848
BL0,NO,2022-05-07,3.19,ug m-3,R,2022-05-07,51.522287,-0.125848
BL0,NO,2022-05-08,3.11,ug m-3,R,2022-05-08,51.522287,-0.125848
BL0,NO,2022-05-09,3.03,ug m-3,R,2022-05-09,51.522287,-0.125848
BL0,NO,2022-05-10,2.95,ug m-3,R,2022-05-10,51.522287,-0.125848
BL0,NO,2022-05-11,2.87,ug m-3,R,2022-05-11,51.522287,-0.125848
BL0,NO,2022-05-12,2.79,ug m-3,R,2022-05-12,51.522287,-0.125848
BL0,NO,2022-05-13,2.71,ug m-3,R,2022-05-13,51.522287,-0.125848
BL0,NO,2022-05-14,2.64,ug m-3,R,2022-05-14,51.522287,-0.125848
BL0,NO,2022-05-15,2.56,ug m-3,R,2022-05-15,51.522287,-0.125848
BL0,NO,2022-05-16,2.48,ug m-3,R,2022-05-16,51.522287,-0.125848
BL0,NO,2022-05-17,2.4,ug m-3,R,2022-05-17,51.522287,-0.125848
BL0,NO,2022-05-18,1.6,ug m-3,R,2022-05-18,51.522287,-0.125848
BL0,NO,2022-05-19,2.4,ug m-3,R,2022-05-19,51.522287,-0.125848
BL0,NO,2022-05-20,3.1,ug m-3,R,2022-05-20,51.522287,-0.125848
BL0,NO,2022-05-21,2.3,ug m-3,R,2022-05-21,51.522287,-0.125848
BL0,NO,2022-05-22,1.3,ug m-3,R,2022-05-22,51.522287,-0.125848
BL0,NO,2022-05-23,2.9,ug m-3,R,2022-05-23,51.522287,-0.125848
BL0,NO,2022-05-24,5.3,ug m-3,R,2022-05-24,51.522287,-0.125848
BL0,NO,2022-05-25,1.3,ug m-3,R,2022-05-25,51.522287,-0.125848
BL0,NO,2022-05-26,1.7,ug m-3,R,2022-05-26,51.522287,-0.125848
BL0,NO,2022-05-27,5.7,ug m-3,R,2022-05-27,51.522287,-0.125848
BL0,NO,2022-05-28,2.7,ug m-3,R,2022-05-28,51.522287,-0.125848
BL0,NO,2022-05-29,1.9,ug m-3,R,2022-05-29,51.522287,-0.125848
BL0,NO,2022-05-30,1.3,ug m-3,R,2022-05-30,51.522287,-0.125848
BL0,NO,2022-05-31,4.7,ug m-3,R,2022-05-31,51.522287,-0.125848
BL0,NO,2022-06-01,11.5,ug m-3,R,2022-06-01,51.522287,-0.125848
BL0,NO,2022-06-02,2.5,ug m-3,R,2022-06-02,51.522287,-0.125848
BL0,NO,2022-06-03,1.9,ug m-3,R,2022-06-03,51.522287,-0.125848
BL0,NO,2022-06-04,2.2,ug m-3,R,2022-06-04,51.522287,-0.125848
BL0,NO,2022-06-05,2.7,ug m-3,R,2022-06-05,51.522287,-0.125848
BL0,NO,2022-06-06,8.9,ug m-3,R,2022-06-06,51.522287,-0.125848
BL0,NO,2022-06-07,2.0,ug m-3,R,2022-06-07,51.522287,-0.125848
BL0,NO,2022-06-08,3.8,ug m-3,R,2022-06-08,51.522287,-0.125848
BL0,NO,2022-06-09,2.7,ug m-3,R,2022-06-09,51.522287,-0.125848
BL0,NO,2022-06-10,1.2,ug m-3,R,2022-06-10,51.522287,-0.125848
BL0,NO,2022-06-11,1.4,ug m-3,R,2022-06-11,51.522287,-0.125848
BL0,NO,2022-06-12,2.8,ug m-3,R,2022-06-12,51.522287,-0.125848
BL0,NO,2022-06-13,3.8,ug m-3,R,2022-06-13,51.522287,-0.125848
BL0,NO,2022-06-14,1.3,ug m-3,R,2022-06-14,51.522287,-0.125848
BL0,NO,2022-06-15,1.4,ug m-3,R,2022-06-15,51.522287,-0.125848
BL0,NO,2022-06-16,2.3,ug m-3,R,2022-06-16,51.522287,-0.125848
BL0,NO,2022-06-17,0.7,ug m-3,R,2022-06-17,51.522287,-0.125848
BL0,NO,2022-06-18,2.7,ug m-3,R,2022-06-18,51.522287,-0.125848
BL0,NO,2022-06-19,2.0,ug m-3,R,2022-06-19,51.522287,-0.125848
BL0,NO,2022-06-20,2.9,ug m-3,R,2022-06-20,51.522287,-0.125848
BL0,NO,2022-06-21,2.6,ug m-3,R,2022-06-21,51.522287,-0.125848
BL0,NO,2022-06-22,2.3,ug m-3,R,2022-06-22,51.522287,-0.125848
BL0,NO,2022-06-23,2.6,ug m-3,R,2022-06-23,51.522287,-0.125848
BL0,NO,2022-06-24,1.0,ug m-3,R,2022-06-24,51.522287,-0.125848
BL0,NO,2022-06-25,1.0,ug m-3,R,2022-06-25,51.522287,-0.125848
BL0,NO,2022-06-26,0.9,ug m-3,R,2022-06-26,51.522287,-0.125848
BL0,NO,2022-06-27,1.6,ug m-3,R,2022-06-27,51.522287,-0.125848
BL0,NO,2022-06-28,1.2,ug m-3,R,2022-06-28,51.522287,-0.125848
BL0,NO,2022-06-29,1.4,ug m-3,R,2022-06-29,51.522287,-0.125848
BL0,NO,2022-06-30,1.7,ug m-3,R,2022-06-30,51.522287,-0.125848
BL0,NO,2022-07-01,1.9,ug m-3,R,2022-07-01,51.522287,-0.125848
BL0,NO,2022-07-02,1.4,ug m-3,R,2022-07-02,51.522287,-0.125848
BL0,NO,2022-07-03,2.8,ug m-3,R,2022-07-03,51.522287,-0.125848
BL0,NO,2022-07-04,4.3,ug m-3,R,2022-07-04,51.522287,-0.125848
BL0,NO,2022-07-05,5.4,ug m-3,R,2022-07-05,51.522287,-0.125848
BL0,NO,2022-07-06,8.0,ug m-3,R,2022-07-06,51.522287,-0.125848
BL0,NO,2022-07-07,4.9,ug m-3,R,2022-07-07,51.522287,-0.125848
BL0,NO,2022-07-08,3.8,ug m-3,R,2022-07-08,51.522287,-0.125848
BL0,NO,2022-07-09,2.8,ug m-3,R,2022-07-09,51.522287,-0.125848
BL0,NO,2022-07-10,1.2,ug m-3,R,2022-07-10,51.522287,-0.125848
BL0,NO,2022-07-11,1.0,ug m-3,R,2022-07-11,51.522287,-0.125848
BL0,NO,2022-07-12,1.1,ug m-3,R,2022-07-12,51.522287,-0.125848
BL0,NO,2022-07-13,2.3,ug m-3,R,2022-07-13,51.522287,-0.125848
BL0,NO,2022-07-14,4.0,ug m-3,R,2022-07-14,51.522287,-0.125848
BL0,NO,2022-07-15,4.4,ug m-3,R,2022-07-15,51.522287,-0.125848
BL0,NO,2022-07-16,1.9,ug m-3,R,2022-07-16,51.522287,-0.125848
BL0,NO,2022-07-17,1.0,ug m-3,R,2022-07-17,51.522287,-0.125848
BL0,NO,2022-07-18,2.3,ug m-3,R,2022-07-18,51.522287,-0.125848
BL0,NO,2022-07-19,2.2,ug m-3,R,2022-07-19,51.522287,-0.125848
BL0,NO,2022-07-20,1.5,ug m-3,R,2022-07-20,51.522287,-0.125848
BL0,NO,2022-07-21,2.7,ug m-3,R,2022-07-21,51.522287,-0.125848
BL0,NO,2022-07-22,2.1,ug m-3,R,2022-07-22,51.522287,-0.125848
BL0,NO,2022-07-23,1.0,ug m-3,R,2022-07-23,51.522287,-0.125848
BL0,NO,2022-07-24,1.0,ug m-3,R,2022-07-24,51.522287,-0.125848
BL0,NO,2022-07-25,2.4,ug m-3,R,2022-07-25,51.522287,-0.125848
BL0,NO,2022-07-26,2.5,ug m-3,R,2022-07-26,51.522287,-0.125848
BL0,NO,2022-07-27,2.0,ug m-3,R,2022-07-27,51.522287,-0.125848
BL0,NO,2022-07-28,1.7,ug m-3,R,2022-07-28,51.522287,-0.125848
BL0,NO,2022-07-29,1.9,ug m-3,R,2022-07-29,51.522287,-0.125848
BL0,NO,2022-07-30,1.3,ug m-3,R,2022-07-30,51.522287,-0.125848
BL0,NO,2022-07-31,1.6,ug m-3,R,2022-07-31,51.522287,-0.125848
BL0,NO,2022-08-01,2.1,ug m-3,R,2022-08-01,51.522287,-0.125848
BL0,NO,2022-08-02,1.8,ug m-3,R,2022-08-02,51.522287,-0.125848
BL0,NO,2022-08-03,1.81,ug m-3,R,2022-08-03,51.522287,-0.125848
BL0,NO,2022-08-04,1.81,ug m-3,R,2022-08-04,51.522287,-0.125848
BL0,NO,2022-08-05,1.82,ug m-3,R,2022-08-05,51.522287,-0.125848
BL0,NO,2022-08-06,1.83,ug m-3,R,2022-08-06,51.522287,-0.125848
BL0,NO,2022-08-07,1.84,ug m-3,R,2022-08-07,51.522287,-0.125848
BL0,NO,2022-08-08,1.84,ug m-3,R,2022-08-08,51.522287,-0.125848
BL0,NO,2022-08-09,1.85,ug m-3,R,2022-08-09,51.522287,-0.125848
BL0,NO,2022-08-10,1.86,ug m-3,R,2022-08-10,51.522287,-0.125848
BL0,NO,2022-08-11,1.86,ug m-3,R,2022-08-11,51.522287,-0.125848
BL0,NO,2022-08-12,1.87,ug m-3,R,2022-08-12,51.522287,-0.125848
BL0,NO,2022-08-13,1.88,ug m-3,R,2022-08-13,51.522287,-0.125848
BL0,NO,2022-08-14,1.89,ug m-3,R,2022-08-14,51.522287,-0.125848
BL0,NO,2022-08-15,1.89,ug m-3,R,2022-08-15,51.522287,-0.125848
BL0,NO,2022-08-16,1.9,ug m-3,R,2022-08-16,51.522287,-0.125848
BL0,NO,2022-08-17,5.1,ug m-3,R,2022-08-17,51.522287,-0.125848
BL0,NO,2022-08-18,2.1,ug m-3,R,2022-08-18,51.522287,-0.125848
BL0,NO,2022-08-19,3.4,ug m-3,R,2022-08-19,51.522287,-0.125848
BL0,NO,2022-08-20,1.4,ug m-3,R,2022-08-20,51.522287,-0.125848
BL0,NO,2022-08-21,1.3,ug m-3,R,2022-08-21,51.522287,-0.125848
BL0,NO,2022-08-22,1.5,ug m-3,R,2022-08-22,51.522287,-0.125848
BL0,NO,2022-08-23,1.9,ug m-3,R,2022-08-23,51.522287,-0.125848
BL0,NO,2022-08-24,1.6,ug m-3,R,2022-08-24,51.522287,-0.125848
BL0,NO,2022-08-25,9.3,ug m-3,R,2022-08-25,51.522287,-0.125848
BL0,NO,2022-08-26,3.6,ug m-3,R,2022-08-26,51.522287,-0.125848
BL0,NO,2022-08-27,3.2,ug m-3,R,2022-08-27,51.522287,-0.125848
BL0,NO,2022-08-28,1.9,ug m-3,R,2022-08-28,51.522287,-0.125848
BL0,NO,2022-08-29,2.3,ug m-3,R,2022-08-29,51.522287,-0.125848
BL0,NO,2022-08-30,3.7,ug m-3,R,2022-08-30,51.522287,-0.125848
BL0,NO,2022-08-31,3.4,ug m-3,R,2022-08-31,51.522287,-0.125848
BL0,NO,2022-09-01,3.0,ug m-3,R,2022-09-01,51.522287,-0.125848
BL0,NO,2022-09-02,3.7,ug m-3,R,2022-09-02,51.522287,-0.125848
BL0,NO,2022-09-03,0.9,ug m-3,R,2022-09-03,51.522287,-0.125848
BL0,NO,2022-09-04,0.7,ug m-3,R,2022-09-04,51.522287,-0.125848
BL0,NO,2022-09-05,1.9,ug m-3,R,2022-09-05,51.522287,-0.125848
BL0,NO,2022-09-06,1.3,ug m-3,R,2022-09-06,51.522287,-0.125848
BL0,NO,2022-09-07,1.5,ug m-3,R,2022-09-07,51.522287,-0.125848
BL0,NO,2022-09-08,1.7,ug m-3,R,2022-09-08,51.522287,-0.125848
BL0,NO,2022-09-09,3.2,ug m-3,R,2022-09-09,51.522287,-0.125848
BL0,NO,2022-09-10,6.7,ug m-3,R,2022-09-10,51.522287,-0.125848
BL0,NO,2022-09-11,1.7,ug m-3,R,2022-09-11,51.522287,-0.125848
BL0,NO,2022-09-12,1.8,ug m-3,R,2022-09-12,51.522287,-0.125848
BL0,NO,2022-09-13,5.4,ug m-3,R,2022-09-13,51.522287,-0.125848
BL0,NO,2022-09-14,6.5,ug m-3,R,2022-09-14,51.522287,-0.125848
BL0,NO,2022-09-15,5.7,ug m-3,R,2022-09-15,51.522287,-0.125848
BL0,NO,2022-09-16,5.0,ug m-3,R,2022-09-16,51.522287,-0.125848
BL0,NO,2022-09-17,4.4,ug m-3,R,2022-09-17,51.522287,-0.125848
BL0,NO,2022-09-18,3.7,ug m-3,R,2022-09-18,51.522287,-0.125848
BL0,NO,2022-09-19,1.6,ug m-3,R,2022-09-19,51.522287,-0.125848
BL0,NO,2022-09-20,4.2,ug m-3,R,2022-09-20,51.522287,-0.125848
BL0,NO,2022-09-21,16.2,ug m-3,R,2022-09-21,51.522287,-0.125848
BL0,NO,2022-09-22,2.7,ug m-3,R,2022-09-22,51.522287,-0.125848
BL0,NO,2022-09-23,4.9,ug m-3,R,2022-09-23,51.522287,-0.125848
BL0,NO,2022-09-24,4.9,ug m-3,R,2022-09-24,51.522287,-0.125848
BL0,NO,2022-09-25,2.6,ug m-3,R,2022-09-25,51.522287,-0.125848
BL0,NO,2022-09-26,5.9,ug m-3,R,2022-09-26,51.522287,-0.125848
BL0,NO,2022-09-27,5.6,ug m-3,R,2022-09-27,51.522287,-0.125848
BL0,NO,2022-09-28,12.0,ug m-3,R,2022-09-28,51.522287,-0.125848
BL0,NO,2022-09-29,10.4,ug m-3,R,2022-09-29,51.522287,-0.125848
BL0,NO,2022-09-30,7.3,ug m-3,R,2022-09-30,51.522287,-0.125848
BL0,NO,2022-10-01,1.4,ug m-3,R,2022-10-01,51.522287,-0.125848
BL0,NO,2022-10-02,3.2,ug m-3,R,2022-10-02,51.522287,-0.125848
BL0,NO,2022-10-03,27.0,ug m-3,R,2022-10-03,51.522287,-0.125848
BL0,NO,2022-10-04,0.9,ug m-3,R,2022-10-04,51.522287,-0.125848
BL0,NO,2022-10-05,0.7,ug m-3,R,2022-10-05,51.522287,-0.125848
BL0,NO,2022-10-06,1.5,ug m-3,R,2022-10-06,51.522287,-0.125848
BL0,NO,2022-10-07,1.1,ug m-3,R,2022-10-07,51.522287,-0.125848
BL0,NO,2022-10-08,3.3,ug m-3,R,2022-10-08,51.522287,-0.125848
BL0,NO,2022-10-09,2.3,ug m-3,R,2022-10-09,51.522287,-0.125848
BL0,NO,2022-10-10,6.1,ug m-3,R,2022-10-10,51.522287,-0.125848
BL0,NO,2022-10-11,13.3,ug m-3,R,2022-10-11,51.522287,-0.125848
BL0,NO,2022-10-12,5.4,ug m-3,R,2022-10-12,51.522287,-0.125848
BL0,NO,2022-10-13,7.4,ug m-3,R,2022-10-13,51.522287,-0.125848
BL0,NO,2022-10-14,7.8,ug m-3,R,2022-10-14,51.522287,-0.125848
BL0,NO,2022-10-15,0.9,ug m-3,R,2022-10-15,51.522287,-0.125848
BL0,NO,2022-10-16,0.9,ug m-3,R,2022-10-16,51.522287,-0.125848
BL0,NO,2022-10-17,1.0,ug m-3,R,2022-10-17,51.522287,-0.125848
BL0,NO,2022-10-18,19.0,ug m-3,R,2022-10-18,51.522287,-0.125848
BL0,NO,2022-10-19,5.6,ug m-3,R,2022-10-19,51.522287,-0.125848
BL0,NO,2022-10-20,8.3,ug m-3,R,2022-10-20,51.522287,-0.125848
BL0,NO,2022-10-21,4.4,ug m-3,R,2022-10-21,51.522287,-0.125848
BL0,NO,2022-10-22,0.9,ug m-3,R,2022-10-22,51.522287,-0.125848
BL0,NO,2022-10-23,2.0,ug m-3,R,2022-10-23,51.522287,-0.125848
BL0,NO,2022-10-24,0.7,ug m-3,R,2022-10-24,51.522287,-0.125848
BL0,NO,2022-10-25,1.3,ug m-3,R,2022-10-25,51.522287,-0.125848
BL0,NO,2022-10-26,1.0,ug m-3,R,2022-10-26,51.522287,-0.125848
BL0,NO,2022-10-27,2.5,ug m-3,R,2022-10-27,51.522287,-0.125848
BL0,NO,2022-10-28,1.4,ug m-3,R,2022-10-28,51.522287,-0.125848
BL0,NO,2022-10-29,3.6,ug m-3,R,2022-10-29,51.522287,-0.125848
BL0,NO,2022-10-30,0.7,ug m-3,R,2022-10-30,51.522287,-0.125848
BL0,NO,2022-10-31,2.5,ug m-3,R,2022-10-31,51.522287,-0.125848
BL0,NO,2022-11-01,0.7,ug m-3,R,2022-11-01,51.522287,-0.125848
BL0,NO,2022-11-02,1.1,ug m-3,R,2022-11-02,51.522287,-0.125848
BL0,NO,2022-11-03,4.6,ug m-3,R,2022-11-03,51.522287,-0.125848
BL0,NO,2022-11-04,12.5,ug m-3,R,2022-11-04,51.522287,-0.125848
BL0,NO,2022-11-05,1.6,ug m-3,R,2022-11-05,51.522287,-0.125848
BL0,NO,2022-11-06,0.6,ug m-3,R,2022-11-06,51.522287,-0.125848
BL0,NO,2022-11-07,0.7,ug m-3,R,2022-11-07,51.522287,-0.125848
BL0,NO,2022-11-08,0.7,ug m-3,R,2022-11-08,51.522287,-0.125848
BL0,NO,2022-11-09,1.1,ug m-3,R,2022-11-09,51.522287,-0.125848
BL0,NO,2022-11-10,1.0,ug m-3,R,2022-11-10,51.522287,-0.125848
BL0,NO,2022-11-11,1.0,ug m-3,R,2022-11-11,51.522287,-0.125848
BL0,NO,2022-11-12,5.4,ug m-3,R,2022-11-12,51.522287,-0.125848
BL0,NO,2022-11-13,19.4,ug m-3,R,2022-11-13,51.522287,-0.125848
BL0,NO,2022-11-14,29.1,ug m-3,R,2022-11-14,51.522287,-0.125848
BL0,NO,2022-11-15,1.7,ug m-3,R,2022-11-15,51.522287,-0.125848
BL0,NO,2022-11-16,2.5,ug m-3,R,2022-11-16,51.522287,-0.125848
BL0,NO,2022-11-17,3.4,ug m-3,R,2022-11-17,51.522287,-0.125848
BL0,NO,2022-11-18,9.7,ug m-3,R,2022-11-18,51.522287,-0.125848
BL0,NO,2022-11-19,7.6,ug m-3,R,2022-11-19,51.522287,-0.125848
BL0,NO,2022-11-20,8.0,ug m-3,R,2022-11-20,51.522287,-0.125848
BL0,NO,2022-11-21,4.7,ug m-3,R,2022-11-21,51.522287,-0.125848
BL0,NO,2022-11-22,8.4,ug m-3,R,2022-11-22,51.522287,-0.125848
BL0,NO,2022-11-23,2.0,ug m-3,R,2022-11-23,51.522287,-0.125848
BL0,NO,2022-11-24,1.4,ug m-3,R,2022-11-24,51.522287,-0.125848
BL0,NO,2022-11-25,3.0,ug m-3,R,2022-11-25,51.522287,-0.125848
BL0,NO,2022-11-26,1.3,ug m-3,R,2022-11-26,51.522287,-0.125848
BL0,NO,2022-11-27,1.4,ug m-3,R,2022-11-27,51.522287,-0.125848
BL0,NO,2022-11-28,8.4,ug m-3,R,2022-11-28,51.522287,-0.125848
BL0,NO,2022-11-29,7.7,ug m-3,R,2022-11-29,51.522287,-0.125848
BL0,NO,2022-11-30,6.8,ug m-3,R,2022-11-30,51.522287,-0.125848
BL0,NO,2022-12-01,11.1,ug m-3,R,2022-12-01,51.522287,-0.125848
BL0,NO,2022-12-02,10.9,ug m-3,R,2022-12-02,51.522287,-0.125848
BL0,NO,2022-12-03,4.8,ug m-3,R,2022-12-03,51.522287,-0.125848
BL0,NO,2022-12-04,6.3,ug m-3,R,2022-12-04,51.522287,-0.125848
BL0,NO,2022-12-05,10.5,ug m-3,R,2022-12-05,51.522287,-0.125848
BL0,NO,2022-12-06,9.5,ug m-3,R,2022-12-06,51.522287,-0.125848
BL0,NO,2022-12-07,15.4,ug m-3,R,2022-12-07,51.522287,-0.125848
BL0,NO,2022-12-08,26.6,ug m-3,R,2022-12-08,51.522287,-0.125848
BL0,NO,2022-12-09,25.4,ug m-3,R,2022-12-09,51.522287,-0.125848
BL0,NO,2022-12-10,16.4,ug m-3,R,2022-12-10,51.522287,-0.125848
BL0,NO,2022-12-11,63.8,ug m-3,R,2022-12-11,51.522287,-0.125848
BL0,NO,2022-12-12,7.1,ug m-3,R,2022-12-12,51.522287,-0.125848
BL0,NO,2022-12-13,27.1,ug m-3,R,2022-12-13,51.522287,-0.125848
BL0,NO,2022-12-14,13.4,ug m-3,R,2022-12-14,51.522287,-0.125848
BL0,NO,2022-12-15,18.3,ug m-3,R,2022-12-15,51.522287,-0.125848
BL0,NO,2022-12-16,59.5,ug m-3,R,2022-12-16,51.522287,-0.125848
BL0,NO,2022-12-17,22.9,ug m-3,R,2022-12-17,51.522287,-0.125848
BL0,NO,2022-12-18,3.8,ug m-3,R,2022-12-18,51.522287,-0.125848
BL0,NO,2022-12-19,1.0,ug m-3,R,2022-12-19,51.522287,-0.125848
BL0,NO,2022-12-20,1.9,ug m-3,R,2022-12-20,51.522287,-0.125848
BL0,NO,2022-12-21,1.5,ug m-3,R,2022-12-21,51.522287,-0.125848
BL0,NO,2022-12-22,3.5,ug m-3,R,2022-12-22,51.522287,-0.125848
BL0,NO,2022-12-23,2.9,ug m-3,R,2022-12-23,51.522287,-0.125848
BL0,NO,2022-12-24,1.2,ug m-3,R,2022-12-24,51.522287,-0.125848
BL0,NO,2022-12-25,0.6,ug m-3,R,2022-12-25,51.522287,-0.125848
BL0,NO,2022-12-26,2.1,ug m-3,R,2022-12-26,51.522287,-0.125848
BL0,NO,2022-12-27,1.0,ug m-3,R,2022-12-27,51.522287,-0.125848
BL0,NO,2022-12-28,0.6,ug m-3,R,2022-12-28,51.522287,-0.125848
BL0,NO,2022-12-29,1.1,ug m-3,R,2022-12-29,51.522287,-0.125848
BL0,NO,2022-12-30,1.0,ug m-3,R,2022-12-30,51.522287,-0.125848
BL0,NO,2022-12-31,0.6,ug m-3,R,2022-12-31,51.522287,-0.125848
BL0,NO,2023-01-01,1.7,ug m-3,R,2023-01-01,51.522287,-0.125848
BL0,NO,2023-01-02,4.3,ug m-3,R,2023-01-02,51.522287,-0.125848
BL0,NO,2023-01-03,1.6,ug m-3,R,2023-01-03,51.522287,-0.125848
BL0,NO,2023-01-04,0.9,ug m-3,R,2023-01-04,51.522287,-0.125848
BL0,NO,2023-01-05,0.8,ug m-3,R,2023-01-05,51.522287,-0.125848
BL0,NO,2023-01-06,0.7,ug m-3,R,2023-01-06,51.522287,-0.125848
BL0,NO,2023-01-07,0.4,ug m-3,R,2023-01-07,51.522287,-0.125848
BL0,NO,2023-01-08,0.5,ug m-3,R,2023-01-08,51.522287,-0.125848
BL0,NO,2023-01-09,4.2,ug m-3,R,2023-01-09,51.522287,-0.125848
BL0,NO,2023-01-10,0.8,ug m-3,R,2023-01-10,51.522287,-0.125848
BL0,NO,2023-01-11,0.8,ug m-3,R,2023-01-11,51.522287,-0.125848
BL0,NO,2023-01-12,0.8,ug m-3,R,2023-01-12,51.522287,-0.125848
BL0,NO,2023-01-13,2.8,ug m-3,R,2023-01-13,51.522287,-0.125848
BL0,NO,2023-01-14,2.2,ug m-3,R,2023-01-14,51.522287,-0.125848
BL0,NO,2023-01-15,0.7,ug m-3,R,2023-01-15,51.522287,-0.125848
BL0,NO,2023-01-16,6.4,ug m-3,R,2023-01-16,51.522287,-0.125848
BL0,NO,2023-01-17,32.1,ug m-3,R,2023-01-17,51.522287,-0.125848
BL0,NO,2023-01-18,12.2,ug m-3,R,2023-01-18,51.522287,-0.125848
BL0,NO,2023-01-19,14.9,ug m-3,R,2023-01-19,51.522287,-0.125848
BL0,NO,2023-01-20,12.7,ug m-3,R,2023-01-20,51.522287,-0.125848
BL0,NO,2023-01-21,18.6,ug m-3,R,2023-01-21,51.522287,-0.125848
BL0,NO,2023-01-22,46.4,ug m-3,R,2023-01-22,51.522287,-0.125848
BL0,NO,2023-01-23,55.1,ug m-3,R,2023-01-23,51.522287,-0.125848
BL0,NO,2023-01-24,6.1,ug m-3,R,2023-01-24,51.522287,-0.125848
BL0,NO,2023-01-25,6.8,ug m-3,R,2023-01-25,51.522287,-0.125848
BL0,NO,2023-01-26,7.5,ug m-3,R,2023-01-26,51.522287,-0.125848
BL0,NO,2023-01-27,8.7,ug m-3,R,2023-01-27,51.522287,-0.125848
BL0,NO,2023-01-28,6.8,ug m-3,R,2023-01-28,51.522287,-0.125848
