Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Date,Latitude,Longitude
BL0,NO,2018-03-04,15.3,ug m-3,R,2018-03-04,51.522287,-0.125848
BL0,NO,2018-03-05,11.4,ug m-3,R,2018-03-05,51.522287,-0.125848
BL0,NO,2018-03-06,6.4,ug m-3,R,2018-03-06,51.522287,-0.125848
BL0,NO,2018-03-07,27.3,ug m-3,R,2018-03-07,51.522287,-0.125848
BL0,NO,2018-03-08,7.5,ug m-3,R,2018-03-08,51.522287,-0.125848
BL0,NO,2018-03-09,18.9,ug m-3,R,2018-03-09,51.522287,-0.125848
BL0,NO,2018-03-10,3.2,ug m-3,R,2018-03-10,51.522287,-0.125848
BL0,NO,2018-03-11,28.0,ug m-3,R,2018-03-11,51.522287,-0.125848
BL0,NO,2018-03-12,34.1,ug m-3,R,2018-03-12,51.522287,-0.125848
BL0,NO,2018-03-13,17.9,ug m-3,R,2018-03-13,51.522287,-0.125848
BL0,NO,2018-03-14,9.6,ug m-3,R,2018-03-14,51.522287,-0.125848
BL0,NO,2018-03-15,11.5,ug m-3,R,2018-03-15,51.522287,-0.125848
BL0,NO,2018-03-16,11.0,ug m-3,R,2018-03-16,51.522287,-0.125848
BL0,NO,2018-03-17,10.1,ug m-3,R,2018-03-17,51.522287,-0.125848
BL0,NO,2018-03-18,10.0,ug m-3,R,2018-03-18,51.522287,-0.125848
BL0,NO,2018-03-19,12.0,ug m-3,R,2018-03-19,51.522287,-0.125848
BL0,NO,2018-03-20,14.9,ug m-3,R,2018-03-20,51.522287,-0.125848
BL0,NO,2018-03-21,31.5,ug m-3,R,2018-03-21,51.522287,-0.125848
BL0,NO,2018-03-22,14.8,ug m-3,R,2018-03-22,51.522287,-0.125848
BL0,NO,2018-03-23,3.5,ug m-3,R,2018-03-23,51.522287,-0.125848
BL0,NO,2018-03-24,12.2,ug m-3,R,2018-03-24,51.522287,-0.125848
BL0,NO,2018-03-25,14.7,ug m-3,R,2018-03-25,51.522287,-0.125848
BL0,NO,2018-03-26,11.2,ug m-3,R,2018-03-26,51.522287,-0.125848
BL0,NO,2018-03-27,15.3,ug m-3,R,2018-03-27,51.522287,-0.125848
BL0,NO,2018-03-28,15.9,ug m-3,R,2018-03-28,51.522287,-0.125848
BL0,NO,2018-03-29,6.9,ug m-3,R,2018-03-29,51.522287,-0.125848
BL0,NO,2018-03-30,12.4,ug m-3,R,2018-03-30,51.522287,-0.125848
BL0,NO,2018-03-31,14.6,ug m-3,R,2018-03-31,51.522287,-0.125848
BL0,NO,2018-04-01,9.8,ug m-3,R,2018-04-01,51.522287,-0.125848
BL0,NO,2018-04-02,4.2,ug m-3,R,2018-04-02,51.522287,-0.125848
BL0,NO,2018-04-03,2.0,ug m-3,R,2018-04-03,51.522287,-0.125848
BL0,NO,2018-04-04,4.7,ug m-3,R,2018-04-04,51.522287,-0.125848
BL0,NO,2018-04-05,11.3,ug m-3,R,2018-04-05,51.522287,-0.125848
BL0,NO,2018-04-06,6.4,ug m-3,R,2018-04-06,51.522287,-0.125848
BL0,NO,2018-04-07,14.1,ug m-3,R,2018-04-07,51.522287,-0.125848
BL0,NO,2018-04-08,6.7,ug m-3,R,2018-04-08,51.522287,-0.125848
BL0,NO,2018-04-09,17.1,ug m-3,R,2018-04-09,51.522287,-0.125848
BL0,NO,2018-04-10,14.6,ug m-3,R,2018-04-10,51.522287,-0.125848
BL0,NO,2018-04-11,20.4,ug m-3,R,2018-04-11,51.522287,-0.125848
BL0,NO,2018-04-12,23.2,ug m-3,R,2018-04-12,51.522287,-0.125848
BL0,NO,2018-04-13,6.7,ug m-3,R,2018-04-13,51.522287,-0.125848
BL0,NO,2018-04-14,10.9,ug m-3,R,2018-04-14,51.522287,-0.125848
BL0,NO,2018-04-15,6.3,ug m-3,R,2018-04-15,51.522287,-0.125848
BL0,NO,2018-04-16,2.0,ug m-3,R,2018-04-16,51.522287,-0.125848
BL0,NO,2018-04-17,2.1,ug m-3,R,2018-04-17,51.522287,-0.125848
BL0,NO,2018-04-18,7.4,ug m-3,R,2018-04-18,51.522287,-0.125848
BL0,NO,2018-04-19,29.0,ug m-3,R,2018-04-19,51.522287,-0.125848
BL0,NO,2018-04-20,14.0,ug m-3,R,2018-04-20,51.522287,-0.125848
BL0,NO,2018-04-21,10.1,ug m-3,R,2018-04-21,51.522287,-0.125848
BL0,NO,2018-04-22,4.5,ug m-3,R,2018-04-22,51.522287,-0.125848
BL0,NO,2018-04-23,4.7,ug m-3,R,2018-04-23,51.522287,-0.125848
BL0,NO,2018-04-24,3.3,ug m-3,R,2018-04-24,51.522287,-0.125848
BL0,NO,2018-04-25,6.5,ug m-3,R,2018-04-25,51.522287,-0.125848
BL0,NO,2018-04-26,5.6,ug m-3,R,2018-04-26,51.522287,-0.125848
BL0,NO,2018-04-27,8.2,ug m-3,R,2018-04-27,51.522287,-0.125848
BL0,NO,2018-04-28,6.7,ug m-3,R,2018-04-28,51.522287,-0.125848
BL0,NO,2018-04-29,5.6,ug m-3,R,2018-04-29,51.522287,-0.125848
BL0,NO,2018-04-30,18.0,ug m-3,R,2018-04-30,51.522287,-0.125848
BL0,NO,2018-05-01,11.9,ug m-3,R,2018-05-01,51.522287,-0.125848
BL0,NO,2018-05-02,10.4,ug m-3,R,2018-05-02,51.522287,-0.125848
BL0,NO,2018-05-03,16.0,ug m-3,R,2018-05-03,51.522287,-0.125848
BL0,NO,2018-05-04,6.6,ug m-3,R,2018-05-04,51.522287,-0.125848
BL0,NO,2018-05-05,9.9,ug m-3,R,2018-05-05,51.522287,-0.125848
BL0,NO,2018-05-06,2.4,ug m-3,R,2018-05-06,51.522287,-0.125848
BL0,NO,2018-05-07,2.6,ug m-3,R,2018-05-07,51.522287,-0.125848
BL0,NO,2018-05-08,19.0,ug m-3,R,2018-05-08,51.522287,-0.125848
BL0,NO,2018-05-09,5.6,ug m-3,R,2018-05-09,51.522287,-0.125848
BL0,NO,2018-05-10,7.8,ug m-3,R,2018-05-10,51.522287,-0.125848
BL0,NO,2018-05-11,2.9,ug m-3,R,2018-05-11,51.522287,-0.125848
BL0,NO,2018-05-12,3.5,ug m-3,R,2018-05-12,51.522287,-0.125848
BL0,NO,2018-05-13,8.0,ug m-3,R,2018-05-13,51.522287,-0.125848
BL0,NO,2018-05-14,7.7,ug m-3,R,2018-05-14,51.522287,-0.125848
BL0,NO,2018-05-15,9.1,ug m-3,R,2018-05-15,51.522287,-0.125848
BL0,NO,2018-05-16,9.5,ug m-3,R,2018-05-16,51.522287,-0.125848
BL0,NO,2018-05-17,8.4,ug m-3,R,2018-05-17,51.522287,-0.125848
BL0,NO,2018-05-18,6.1,ug m-3,R,2018-05-18,51.522287,-0.125848
BL0,NO,2018-05-19,7.3,ug m-3,R,2018-05-19,51.522287,-0.125848
BL0,NO,2018-05-20,7.1,ug m-3,R,2018-05-20,51.522287,-0.125848
BL0,NO,2018-05-21,5.8,ug m-3,R,2018-05-21,51.522287,-0.125848
BL0,NO,2018-05-22,5.8,ug m-3,R,2018-05-22,51.522287,-0.125848
