Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,FINE,24/04/2018 00:00,,ug/m3,P
BL0,FINE,25/04/2018 00:00,,ug/m3,P
BL0,FINE,26/04/2018 00:00,,ug/m3,P
BL0,FINE,27/04/2018 00:00,,ug/m3,P
BL0,FINE,28/04/2018 00:00,,ug/m3,P
BL0,FINE,29/04/2018 00:00,,ug/m3,P
BL0,FINE,30/04/2018 00:00,,ug/m3,P
BL0,FINE,01/05/2018 00:00,,ug/m3,P
BL0,FINE,02/05/2018 00:00,,ug/m3,P
BL0,FINE,03/05/2018 00:00,,ug/m3,P
BL0,FINE,04/05/2018 00:00,,ug/m3,P
BL0,FINE,05/05/2018 00:00,,ug/m3,P
BL0,FINE,06/05/2018 00:00,,ug/m3,P
BL0,FINE,07/05/2018 00:00,,ug/m3,P
BL0,FINE,08/05/2018 00:00,,ug/m3,P
BL0,FINE,09/05/2018 00:00,,ug/m3,P
BL0,FINE,10/05/2018 00:00,,ug/m3,P
BL0,FINE,11/05/2018 00:00,,ug/m3,P
BL0,FINE,12/05/2018 00:00,,ug/m3,P
BL0,FINE,13/05/2018 00:00,,ug/m3,P
BL0,FINE,14/05/2018 00:00,,ug/m3,P
BL0,FINE,15/05/2018 00:00,,ug/m3,P
BL0,FINE,16/05/2018 00:00,,ug/m3,P
BL0,FINE,17/05/2018 00:00,,ug/m3,P
BL0,FINE,18/05/2018 00:00,,ug/m3,P
BL0,FINE,19/05/2018 00:00,,ug/m3,P
BL0,FINE,20/05/2018 00:00,,ug/m3,P
BL0,FINE,21/05/2018 00:00,,ug/m3,P
BL0,FINE,22/05/2018 00:00,,ug/m3,P
BL0,FINE,23/05/2018 00:00,,ug/m3,P
BL0,FINE,24/05/2018 00:00,,ug/m3,P
BL0,FINE,25/05/2018 00:00,,ug/m3,P
BL0,FINE,26/05/2018 00:00,,ug/m3,P
BL0,FINE,27/05/2018 00:00,,ug/m3,P
BL0,FINE,28/05/2018 00:00,,ug/m3,P
BL0,FINE,29/05/2018 00:00,,ug/m3,P
BL0,FINE,30/05/2018 00:00,,ug/m3,P
BL0,FINE,31/05/2018 00:00,,ug/m3,P
BL0,FINE,01/06/2018 00:00,,ug/m3,P
BL0,FINE,02/06/2018 00:00,,ug/m3,P
BL0,FINE,03/06/2018 00:00,,ug/m3,P
BL0,FINE,04/06/2018 00:00,,ug/m3,P
BL0,FINE,05/06/2018 00:00,,ug/m3,P
BL0,FINE,06/06/2018 00:00,,ug/m3,P
BL0,FINE,07/06/2018 00:00,,ug/m3,P
BL0,FINE,08/06/2018 00:00,,ug/m3,P
BL0,FINE,09/06/2018 00:00,,ug/m3,P
BL0,FINE,10/06/2018 00:00,,ug/m3,P
BL0,FINE,11/06/2018 00:00,,ug/m3,P
BL0,FINE,12/06/2018 00:00,,ug/m3,P
BL0,FINE,13/06/2018 00:00,,ug/m3,P
BL0,FINE,14/06/2018 00:00,,ug/m3,P
BL0,FINE,15/06/2018 00:00,,ug/m3,P
BL0,FINE,16/06/2018 00:00,,ug/m3,P
BL0,FINE,17/06/2018 00:00,,ug/m3,P
BL0,FINE,18/06/2018 00:00,,ug/m3,P
BL0,FINE,19/06/2018 00:00,,ug/m3,P
BL0,FINE,20/06/2018 00:00,,ug/m3,P
BL0,FINE,21/06/2018 00:00,,ug/m3,P
BL0,FINE,22/06/2018 00:00,,ug/m3,P
BL0,FINE,23/06/2018 00:00,,ug/m3,P
BL0,FINE,24/06/2018 00:00,,ug/m3,P
BL0,FINE,25/06/2018 00:00,,ug/m3,P
BL0,FINE,26/06/2018 00:00,,ug/m3,P
BL0,FINE,27/06/2018 00:00,,ug/m3,P
BL0,FINE,28/06/2018 00:00,,ug/m3,P
BL0,FINE,29/06/2018 00:00,,ug/m3,P
BL0,FINE,30/06/2018 00:00,,ug/m3,P
BL0,FINE,01/07/2018 00:00,,ug/m3,P
BL0,FINE,02/07/2018 00:00,,ug/m3,P
BL0,FINE,03/07/2018 00:00,,ug/m3,P
BL0,FINE,04/07/2018 00:00,,ug/m3,P
BL0,FINE,05/07/2018 00:00,,ug/m3,P
BL0,FINE,06/07/2018 00:00,,ug/m3,P
BL0,FINE,07/07/2018 00:00,,ug/m3,P
BL0,FINE,08/07/2018 00:00,,ug/m3,P
BL0,FINE,09/07/2018 00:00,,ug/m3,P
BL0,FINE,10/07/2018 00:00,,ug/m3,P
BL0,FINE,11/07/2018 00:00,,ug/m3,P
BL0,FINE,12/07/2018 00:00,,ug/m3,P
BL0,FINE,13/07/2018 00:00,,ug/m3,P
BL0,FINE,14/07/2018 00:00,,ug/m3,P
BL0,FINE,15/07/2018 00:00,,ug/m3,P
BL0,FINE,16/07/2018 00:00,,ug/m3,P
BL0,FINE,17/07/2018 00:00,,ug/m3,P
BL0,FINE,18/07/2018 00:00,,ug/m3,P
BL0,FINE,19/07/2018 00:00,,ug/m3,P
BL0,FINE,20/07/2018 00:00,,ug/m3,P
BL0,FINE,21/07/2018 00:00,,ug/m3,P
BL0,FINE,22/07/2018 00:00,,ug/m3,P
BL0,FINE,23/07/2018 00:00,,ug/m3,P
BL0,FINE,24/07/2018 00:00,,ug/m3,P
BL0,FINE,25/07/2018 00:00,,ug/m3,P
BL0,FINE,26/07/2018 00:00,,ug/m3,P
BL0,FINE,27/07/2018 00:00,,ug/m3,P
BL0,FINE,28/07/2018 00:00,,ug/m3,P
BL0,FINE,29/07/2018 00:00,,ug/m3,P
BL0,FINE,30/07/2018 00:00,,ug/m3,P
BL0,FINE,31/07/2018 00:00,,ug/m3,P
BL0,FINE,01/08/2018 00:00,,ug/m3,P
BL0,FINE,02/08/2018 00:00,,ug/m3,P
BL0,FINE,03/08/2018 00:00,,ug/m3,P
BL0,FINE,04/08/2018 00:00,,ug/m3,P
BL0,FINE,05/08/2018 00:00,,ug/m3,P
BL0,FINE,06/08/2018 00:00,,ug/m3,P
BL0,FINE,07/08/2018 00:00,,ug/m3,P
BL0,FINE,08/08/2018 00:00,,ug/m3,P
BL0,FINE,09/08/2018 00:00,,ug/m3,P
BL0,FINE,10/08/2018 00:00,,ug/m3,P
BL0,FINE,11/08/2018 00:00,,ug/m3,P
BL0,FINE,12/08/2018 00:00,,ug/m3,P
BL0,FINE,13/08/2018 00:00,,ug/m3,P
BL0,FINE,14/08/2018 00:00,,ug/m3,P
