Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,O3,13/04/2018 00:00,30.40000,ug m-3,R
BL0,O3,14/04/2018 00:00,32.20000,ug m-3,R
BL0,O3,15/04/2018 00:00,41.80000,ug m-3,R
BL0,O3,16/04/2018 00:00,66.90000,ug m-3,R
BL0,O3,17/04/2018 00:00,68.70000,ug m-3,R
BL0,O3,18/04/2018 00:00,44.30000,ug m-3,R
BL0,O3,19/04/2018 00:00,50.80000,ug m-3,R
BL0,O3,20/04/2018 00:00,41.10000,ug m-3,R
BL0,O3,21/04/2018 00:00,34.00000,ug m-3,R
BL0,O3,22/04/2018 00:00,61.10000,ug m-3,R
BL0,O3,23/04/2018 00:00,54.00000,ug m-3,R
BL0,O3,24/04/2018 00:00,49.50000,ug m-3,R
BL0,O3,25/04/2018 00:00,52.80000,ug m-3,R
BL0,O3,26/04/2018 00:00,56.90000,ug m-3,R
BL0,O3,27/04/2018 00:00,35.90000,ug m-3,R
BL0,O3,28/04/2018 00:00,34.60000,ug m-3,R
BL0,O3,29/04/2018 00:00,53.40000,ug m-3,R
BL0,O3,30/04/2018 00:00,37.60000,ug m-3,R
BL0,O3,01/05/2018 00:00,48.90000,ug m-3,R
BL0,O3,02/05/2018 00:00,45.30000,ug m-3,R
BL0,O3,03/05/2018 00:00,37.90000,ug m-3,R
BL0,O3,04/05/2018 00:00,45.00000,ug m-3,R
BL0,O3,05/05/2018 00:00,52.40000,ug m-3,R
BL0,O3,06/05/2018 00:00,70.20000,ug m-3,R
BL0,O3,07/05/2018 00:00,65.60000,ug m-3,R
BL0,O3,08/05/2018 00:00,48.70000,ug m-3,R
BL0,O3,09/05/2018 00:00,48.10000,ug m-3,R
BL0,O3,10/05/2018 00:00,52.90000,ug m-3,R
BL0,O3,11/05/2018 00:00,56.90000,ug m-3,R
BL0,O3,12/05/2018 00:00,45.30000,ug m-3,R
BL0,O3,13/05/2018 00:00,37.30000,ug m-3,R
BL0,O3,14/05/2018 00:00,46.40000,ug m-3,R
BL0,O3,15/05/2018 00:00,55.60000,ug m-3,R
BL0,O3,16/05/2018 00:00,46.00000,ug m-3,R
BL0,O3,17/05/2018 00:00,45.70000,ug m-3,R
BL0,O3,18/05/2018 00:00,40.60000,ug m-3,R
BL0,O3,19/05/2018 00:00,42.80000,ug m-3,R
BL0,O3,20/05/2018 00:00,44.00000,ug m-3,R
BL0,O3,21/05/2018 00:00,43.60000,ug m-3,R
BL0,O3,22/05/2018 00:00,60.50000,ug m-3,R
BL0,O3,23/05/2018 00:00,60.50000,ug m-3,R
BL0,O3,24/05/2018 00:00,34.70000,ug m-3,R
BL0,O3,25/05/2018 00:00,39.50000,ug m-3,R
BL0,O3,26/05/2018 00:00,73.10000,ug m-3,R
BL0,O3,27/05/2018 00:00,62.70000,ug m-3,R
BL0,O3,28/05/2018 00:00,45.30000,ug m-3,R
BL0,O3,29/05/2018 00:00,50.60000,ug m-3,R
BL0,O3,30/05/2018 00:00,34.20000,ug m-3,R
BL0,O3,31/05/2018 00:00,39.80000,ug m-3,R
BL0,O3,01/06/2018 00:00,46.00000,ug m-3,R
BL0,O3,02/06/2018 00:00,47.00000,ug m-3,R
BL0,O3,03/06/2018 00:00,50.70000,ug m-3,R
BL0,O3,04/06/2018 00:00,47.00000,ug m-3,R
BL0,O3,05/06/2018 00:00,50.70000,ug m-3,R
BL0,O3,06/06/2018 00:00,45.40000,ug m-3,R
BL0,O3,07/06/2018 00:00,36.60000,ug m-3,R
BL0,O3,08/06/2018 00:00,48.10000,ug m-3,R
BL0,O3,09/06/2018 00:00,54.40000,ug m-3,R
BL0,O3,10/06/2018 00:00,49.90000,ug m-3,R
BL0,O3,11/06/2018 00:00,44.50000,ug m-3,R
BL0,O3,12/06/2018 00:00,30.60000,ug m-3,R
BL0,O3,13/06/2018 00:00,48.60000,ug m-3,R
BL0,O3,14/06/2018 00:00,44.40000,ug m-3,R
BL0,O3,15/06/2018 00:00,52.20000,ug m-3,R
BL0,O3,16/06/2018 00:00,52.20000,ug m-3,R
BL0,O3,17/06/2018 00:00,50.30000,ug m-3,R
BL0,O3,18/06/2018 00:00,44.40000,ug m-3,R
BL0,O3,19/06/2018 00:00,24.70000,ug m-3,R
BL0,O3,20/06/2018 00:00,17.60000,ug m-3,R
BL0,O3,21/06/2018 00:00,36.80000,ug m-3,R
BL0,O3,22/06/2018 00:00,38.70000,ug m-3,R
BL0,O3,23/06/2018 00:00,44.30000,ug m-3,R
BL0,O3,24/06/2018 00:00,56.60000,ug m-3,R
BL0,O3,25/06/2018 00:00,76.60000,ug m-3,R
BL0,O3,26/06/2018 00:00,44.60000,ug m-3,R
BL0,O3,27/06/2018 00:00,44.30000,ug m-3,R
BL0,O3,28/06/2018 00:00,55.50000,ug m-3,R
BL0,O3,29/06/2018 00:00,49.90000,ug m-3,R
BL0,O3,30/06/2018 00:00,69.20000,ug m-3,R
BL0,O3,01/07/2018 00:00,86.00000,ug m-3,R
BL0,O3,02/07/2018 00:00,74.60000,ug m-3,R
BL0,O3,03/07/2018 00:00,64.20000,ug m-3,R
BL0,O3,04/07/2018 00:00,54.90000,ug m-3,R
BL0,O3,05/07/2018 00:00,59.60000,ug m-3,R
BL0,O3,06/07/2018 00:00,66.20000,ug m-3,R
BL0,O3,07/07/2018 00:00,66.80000,ug m-3,R
BL0,O3,08/07/2018 00:00,63.80000,ug m-3,R
BL0,O3,09/07/2018 00:00,40.10000,ug m-3,R
BL0,O3,10/07/2018 00:00,33.40000,ug m-3,R
BL0,O3,11/07/2018 00:00,38.30000,ug m-3,R
BL0,O3,12/07/2018 00:00,40.30000,ug m-3,R
BL0,O3,13/07/2018 00:00,43.10000,ug m-3,R
BL0,O3,14/07/2018 00:00,70.40000,ug m-3,R
BL0,O3,15/07/2018 00:00,75.20000,ug m-3,R
BL0,O3,16/07/2018 00:00,63.50000,ug m-3,R
BL0,O3,17/07/2018 00:00,46.90000,ug m-3,R
BL0,O3,18/07/2018 00:00,50.60000,ug m-3,R
BL0,O3,19/07/2018 00:00,41.50000,ug m-3,R
BL0,O3,20/07/2018 00:00,56.00000,ug m-3,R
BL0,O3,21/07/2018 00:00,77.90000,ug m-3,R
BL0,O3,22/07/2018 00:00,52.10000,ug m-3,R
BL0,O3,23/07/2018 00:00,54.60000,ug m-3,R
BL0,O3,24/07/2018 00:00,58.80000,ug m-3,R
BL0,O3,25/07/2018 00:00,50.00000,ug m-3,R
BL0,O3,26/07/2018 00:00,58.80000,ug m-3,R
BL0,O3,27/07/2018 00:00,58.50000,ug m-3,R
BL0,O3,28/07/2018 00:00,50.60000,ug m-3,R
BL0,O3,29/07/2018 00:00,36.70000,ug m-3,R
BL0,O3,30/07/2018 00:00,27.00000,ug m-3,R
BL0,O3,31/07/2018 00:00,43.60000,ug m-3,R
BL0,O3,01/08/2018 00:00,47.00000,ug m-3,R
BL0,O3,02/08/2018 00:00,45.90000,ug m-3,R
BL0,O3,03/08/2018 00:00,43.90000,ug m-3,R
BL0,O3,04/08/2018 00:00,37.80000,ug m-3,R
BL0,O3,05/08/2018 00:00,51.70000,ug m-3,R
BL0,O3,06/08/2018 00:00,,ug m-3,R
BL0,O3,07/08/2018 00:00,,ug m-3,R
BL0,O3,08/08/2018 00:00,48.40000,ug m-3,R
BL0,O3,09/08/2018 00:00,17.80000,ug m-3,R
BL0,O3,10/08/2018 00:00,24.70000,ug m-3,R
BL0,O3,11/08/2018 00:00,31.40000,ug m-3,R
BL0,O3,12/08/2018 00:00,41.10000,ug m-3,R
BL0,O3,13/08/2018 00:00,29.50000,ug m-3,R
BL0,O3,14/08/2018 00:00,33.80000,ug m-3,R
BL0,O3,15/08/2018 00:00,37.90000,ug m-3,R
BL0,O3,16/08/2018 00:00,22.50000,ug m-3,R
BL0,O3,17/08/2018 00:00,26.30000,ug m-3,R
BL0,O3,18/08/2018 00:00,31.60000,ug m-3,R
BL0,O3,19/08/2018 00:00,29.70000,ug m-3,R
BL0,O3,20/08/2018 00:00,25.20000,ug m-3,R
BL0,O3,21/08/2018 00:00,35.60000,ug m-3,R
BL0,O3,22/08/2018 00:00,20.80000,ug m-3,R
BL0,O3,23/08/2018 00:00,27.90000,ug m-3,R
BL0,O3,24/08/2018 00:00,31.80000,ug m-3,R
BL0,O3,25/08/2018 00:00,27.30000,ug m-3,R
BL0,O3,26/08/2018 00:00,23.40000,ug m-3,R
BL0,O3,27/08/2018 00:00,30.90000,ug m-3,R
BL0,O3,28/08/2018 00:00,37.90000,ug m-3,R
BL0,O3,29/08/2018 00:00,15.80000,ug m-3,R
BL0,O3,30/08/2018 00:00,24.30000,ug m-3,R
BL0,O3,31/08/2018 00:00,27.80000,ug m-3,R
BL0,O3,01/09/2018 00:00,49.20000,ug m-3,R
BL0,O3,02/09/2018 00:00,56.00000,ug m-3,R
