Date,PM10_weighted_value(ug m-3)
2018-10-15,11.8
2018-10-16,18.8
2018-10-17,12.8
2018-10-18,14.7
2018-10-19,18.0
2018-10-20,30.2
2018-10-21,18.5
2018-10-22,14.9
2018-10-23,14.8
2018-10-24,15.1
2018-10-25,15.0
2018-10-26,7.3
2018-10-27,6.4
2018-10-28,7.8
2018-10-29,8.9
2018-10-30,11.6
2018-10-31,17.1
2018-11-01,13.0
2018-11-02,17.7
2018-11-03,15.1
2018-11-04,20.0
2018-11-05,48.5
2018-11-06,21.5
2018-11-07,9.0
2018-11-08,13.7
2018-11-09,13.3
2018-11-10,13.6
2018-11-11,9.3
2018-11-12,12.1
2018-11-13,13.0
2018-11-14,15.4
2018-11-15,13.925
2018-11-16,16.5
2018-11-17,27.9
2018-11-18,20.5
2018-11-19,10.5
2018-11-20,14.2
2018-11-21,25.6
2018-11-22,50.4
2018-11-23,44.6
2018-11-24,30.2
2018-11-25,23.4
2018-11-26,16.7
2018-11-27,20.1
2018-11-28,11.3
2018-11-29,22.475
2018-11-30,14.0
2018-12-01,10.2
2018-12-02,19.475
2018-12-03,15.525
2018-12-04,19.4
2018-12-05,13.2
2018-12-06,13.025
2018-12-07,15.600000000000001
2018-12-08,13.1
2018-12-09,9.4
2018-12-10,13.7
2018-12-11,27.8
2018-12-12,13.2
2018-12-13,14.775
2018-12-14,16.425
2018-12-15,14.35
2018-12-16,18.275000000000002
2018-12-17,16.0
2018-12-18,14.575
2018-12-19,11.625
2018-12-20,11.925
2018-12-21,11.399999999999999
2018-12-22,14.175
2018-12-23,12.175
2018-12-24,13.3
2018-12-25,9.725
2018-12-26,11.25
2018-12-27,11.625
2018-12-28,11.2
2018-12-29,14.549999999999999
2018-12-30,14.65
2018-12-31,18.733333333333334
2019-01-01,21.580000000000002
2019-01-02,11.475
2019-01-03,14.25
2019-01-04,11.8
2019-01-05,26.1
2019-01-06,25.2
2019-01-07,18.4
2019-01-08,19.9
2019-01-09,15.8
2019-01-10,31.1
2019-01-11,20.7
2019-01-12,9.8
2019-01-13,8.4
2019-01-14,15.9
2019-01-15,11.4
2019-01-16,9.3
2019-01-17,11.9
2019-01-18,18.0
2019-01-19,21.6
2019-01-20,33.8
2019-01-21,24.75
2019-01-22,19.133333333333333
2019-01-23,18.166666666666668
2019-01-24,20.3
2019-01-25,24.3
2019-01-26,10.2
2019-01-27,10.0
2019-01-28,11.424999999999999
2019-01-29,12.05
2019-01-30,13.86
2019-01-31,12.125
2019-02-01,14.3
2019-02-02,13.36
2019-02-03,12.739999999999998
2019-02-04,11.52
2019-02-05,15.1
2019-02-06,10.9
2019-02-07,10.5
2019-02-08,11.8
2019-02-09,12.4
2019-02-10,4.1
2019-02-11,13.0
2019-02-12,14.7
2019-02-13,20.9
2019-02-14,31.4
2019-02-15,41.1
2019-02-16,34.3
2019-02-17,31.6
2019-02-18,17.1
2019-02-19,16.3
2019-02-20,17.4
2019-02-21,23.0
2019-02-22,39.0
2019-02-23,40.9
2019-02-24,50.3
2019-02-25,56.7
2019-02-26,63.1
2019-02-27,61.0
2019-02-28,31.8
2019-03-01,28.0
2019-03-02,14.8
2019-03-03,10.7
2019-03-04,7.6
2019-03-05,9.7
