Date,NO2_weighted_value(ug m-3)
2018-10-12,33.3
2018-10-13,33.7
2018-10-14,47.2
2018-10-15,49.5
2018-10-16,42.4
2018-10-17,53.8
2018-10-18,49.6
2018-10-19,69.0
2018-10-20,61.2
2018-10-21,49.7
2018-10-22,57.2
2018-10-23,47.3
2018-10-24,49.9
2018-10-25,53.5
2018-10-26,51.2
2018-10-27,48.9
2018-10-28,50.2
2018-10-29,56.9
2018-10-30,44.5
2018-10-31,51.3
2018-11-01,54.0
2018-11-02,64.6
2018-11-03,49.6
2018-11-04,42.7
2018-11-05,45.4
2018-11-06,41.9
2018-11-07,36.3
2018-11-08,44.2
2018-11-09,40.8
2018-11-10,51.8
2018-11-11,51.9
2018-11-12,53.3
2018-11-13,55.8
2018-11-14,51.0
2018-11-15,44.0
2018-11-16,37.8
2018-11-17,42.8
2018-11-18,41.9
2018-11-19,38.5
2018-11-20,47.1
2018-11-21,48.0
2018-11-22,59.1
2018-11-23,48.0
2018-11-24,45.2
2018-11-25,41.3
2018-11-26,56.7
2018-11-27,50.2
2018-11-28,45.8
2018-11-29,45.5
2018-11-30,63.0
2018-12-01,51.5
2018-12-02,48.1
2018-12-03,53.5
2018-12-04,64.8
2018-12-05,49.9
2018-12-06,57.5
2018-12-07,49.6
2018-12-08,47.4
2018-12-09,41.3
2018-12-10,57.6
2018-12-11,64.7
2018-12-12,51.6
2018-12-13,46.4
2018-12-14,50.0
2018-12-15,39.8
2018-12-16,61.3
2018-12-17,57.8
2018-12-18,38.2
2018-12-19,59.9
2018-12-20,59.2
2018-12-21,50.1
2018-12-22,56.2
2018-12-23,52.7
2018-12-24,55.5
2018-12-25,50.7
2018-12-26,48.1
2018-12-27,69.0
2018-12-28,57.4
2018-12-29,51.6
2018-12-30,47.4
2018-12-31,44.8
2019-01-01,47.9
2019-01-02,61.6
2019-01-03,66.9
2019-01-04,60.8
2019-01-05,56.5
2019-01-06,53.5
2019-01-07,54.8
2019-01-08,50.3
2019-01-09,58.7
2019-01-10,63.0
2019-01-11,58.6
2019-01-12,48.0
2019-01-13,37.2
2019-01-14,47.7
2019-01-15,61.7
2019-01-16,52.4
2019-01-17,55.6
2019-01-18,61.3
2019-01-19,47.2
2019-01-20,60.4
2019-01-21,68.1
2019-01-22,64.3
2019-01-23,64.3
2019-01-24,76.2
2019-01-25,60.1
2019-01-26,52.1
2019-01-27,35.2
2019-01-28,55.7
2019-01-29,65.4
2019-01-30,69.4
