Date,NO2_weighted_value(ug m-3)
2018-09-06,38.9
2018-09-07,28.6
2018-09-08,19.2
2018-09-09,11.9
2018-09-10,11.4
2018-09-11,10.4
2018-09-12,67.1
2018-09-13,40.2
2018-09-14,22.1
2018-09-15,17.7
2018-09-16,10.8
2018-09-17,17.4
2018-09-18,7.9
2018-09-19,6.6
2018-09-20,5.4
2018-09-21,11.5
2018-09-22,27.5
2018-09-23,41.5
2018-09-24,56.9
2018-09-25,42.9
2018-09-26,49.9
2018-09-27,52.0
2018-09-28,54.4
2018-09-29,53.5
2018-09-30,44.9
2018-10-01,51.4
2018-10-02,27.3
2018-10-03,40.7
2018-10-04,24.1
2018-10-05,55.3
2018-10-06,44.7
2018-10-07,43.4
2018-10-08,27.2
2018-10-09,41.9
2018-10-10,79.7
2018-10-11,11.9
2018-10-12,8.0
2018-10-13,7.6
2018-10-14,35.2
2018-10-15,30.18
2018-10-16,24.4
2018-10-17,48.5
2018-10-18,29.3
2018-10-19,21.1
2018-10-20,47.4
2018-10-21,37.7
2018-10-22,64.9
2018-10-23,38.2
2018-10-24,43.1
2018-10-25,42.5
2018-10-26,44.3
2018-10-27,50.7
2018-10-28,35.2
2018-10-29,53.8
2018-10-30,44.1
2018-10-31,62.4
2018-11-01,52.3
2018-11-02,59.2
2018-11-03,34.6
2018-11-04,29.9
2018-11-05,71.1
2018-11-06,29.9
2018-11-07,13.8
2018-11-08,21.2
2018-11-09,27.1
2018-11-10,22.7
2018-11-11,16.6
2018-11-12,21.9
2018-11-13,24.6
2018-11-14,35.1
2018-11-15,33.7
2018-11-16,49.0
2018-11-17,53.0
2018-11-18,47.2
2018-11-19,44.6
2018-11-20,56.0
2018-11-21,54.3
2018-11-22,75.9
2018-11-23,67.9
2018-11-24,55.7
2018-11-25,42.9
2018-11-26,65.8
2018-11-27,39.7
2018-11-28,15.2
2018-11-29,11.3
2018-11-30,24.4
2018-12-01,18.1
2018-12-02,9.0
2018-12-03,27.0
2018-12-04,56.1
2018-12-05,37.8
2018-12-06,17.0
2018-12-07,16.1
2018-12-08,9.4
2018-12-09,30.6
2018-12-10,46.4
2018-12-11,58.3
2018-12-12,52.8
2018-12-13,66.0
2018-12-14,53.0
2018-12-15,27.2
2018-12-16,27.7
2018-12-17,31.6
2018-12-18,10.9
2018-12-19,23.5
2018-12-20,19.7
2018-12-21,12.9
2018-12-22,21.8
2018-12-23,29.8
2018-12-24,67.6
2018-12-25,45.3
2018-12-26,34.5
2018-12-27,60.0
2018-12-28,47.8
2018-12-29,31.8
2018-12-30,28.0
2018-12-31,27.5
2019-01-01,29.2
2019-01-02,58.8
2019-01-03,71.3
2019-01-04,68.4
2019-01-05,51.2
2019-01-06,47.1
2019-01-07,26.8
2019-01-08,52.6
2019-01-09,61.5
2019-01-10,61.2
2019-01-11,62.3
2019-01-12,26.1
2019-01-13,20.0
2019-01-14,50.4
2019-01-15,31.6
2019-01-16,26.9
2019-01-17,60.7
2019-01-18,44.5
2019-01-19,45.7
2019-01-20,67.7
2019-01-21,50.4
2019-01-22,43.6
2019-01-23,73.5
2019-01-24,70.6
2019-01-25,51.7
2019-01-26,14.8
2019-01-27,25.6
2019-01-28,64.9
2019-01-29,47.4
2019-01-30,59.2
2019-01-31,63.4
2019-02-01,48.9
2019-02-02,45.7
2019-02-03,33.4
2019-02-04,27.2
2019-02-05,29.5
2019-02-06,28.2
2019-02-07,10.0
2019-02-08,1.9
2019-02-09,5.7
2019-02-10,22.1
2019-02-11,58.3
2019-02-12,24.25
2019-02-13,23.25
2019-02-14,72.7
2019-02-15,62.0
2019-02-16,34.4
2019-02-17,35.8
2019-02-18,29.5
2019-02-19,26.1
2019-02-20,22.1
2019-02-21,28.1
2019-02-22,58.6
2019-02-23,51.8
2019-02-24,73.8
2019-02-25,97.8
2019-02-26,105.0
2019-02-27,80.1
2019-02-28,38.1
2019-03-01,44.6
2019-03-02,13.8
2019-03-03,7.6
2019-03-04,15.7
2019-03-05,17.3
2019-03-06,13.5
2019-03-07,13.9
2019-03-08,23.1
2019-03-09,15.3
2019-03-10,19.8
2019-03-11,23.2
2019-03-12,17.0
2019-03-13,19.3
2019-03-14,21.8
2019-03-15,12.9
2019-03-16,7.0
2019-03-17,18.2
2019-03-18,42.9
2019-03-19,31.6
2019-03-20,21.8
2019-03-21,31.2
2019-03-22,23.1
2019-03-23,48.5
2019-03-24,46.8
2019-03-25,54.1
2019-03-26,69.3
2019-03-27,74.8
2019-03-28,70.0
2019-03-29,62.1
2019-03-30,60.0
2019-03-31,29.1
2019-04-01,50.6
2019-04-02,43.6
2019-04-03,54.3
2019-04-04,25.0
2019-04-05,38.5
2019-04-06,41.6
2019-04-07,42.8
2019-04-08,60.0
2019-04-09,53.1
2019-04-10,41.7
2019-04-11,49.8
2019-04-12,57.1
2019-04-13,45.6
2019-04-14,38.2
2019-04-15,52.0
2019-04-16,76.6
2019-04-17,67.7
2019-04-18,67.2
2019-04-19,64.9
2019-04-20,56.9
2019-04-21,61.1
2019-04-22,74.6
2019-04-23,80.1
2019-04-24,40.7
2019-04-25,13.7
2019-04-26,16.9
2019-04-27,12.9
2019-04-28,32.6
2019-04-29,58.6
2019-04-30,57.3
2019-05-01,39.3
2019-05-02,50.4
2019-05-03,46.1
2019-05-04,35.2
2019-05-05,40.1
2019-05-06,27.0
2019-05-07,21.6
2019-05-08,28.0
2019-05-09,47.5
2019-05-10,30.0
2019-05-11,53.5
2019-05-12,44.2
2019-05-13,58.1
2019-05-14,51.6
2019-05-15,58.5
2019-05-16,50.6
2019-05-17,55.8
2019-05-18,51.7
2019-05-19,57.9
2019-05-20,66.5
