Date,NO2_weighted_value(ug m-3)
2018-10-16,26.7
2018-10-17,38.6
2018-10-18,27.4
2018-10-19,54.2
2018-10-20,53.3
2018-10-21,32.9
2018-10-22,32.7
2018-10-23,36.0
2018-10-24,35.5
2018-10-25,36.0
2018-10-26,30.5
2018-10-27,18.9
2018-10-28,15.4
2018-10-29,24.6
2018-10-30,30.0
2018-10-31,51.8
2018-11-01,48.5
2018-11-02,54.3
2018-11-03,36.0
2018-11-04,28.7
2018-11-05,50.3
2018-11-06,35.0
2018-11-07,19.6
2018-11-08,29.3
2018-11-09,26.8
2018-11-10,25.6
2018-11-11,22.2
2018-11-12,28.6
2018-11-13,31.8
2018-11-14,35.6
2018-11-15,37.1
2018-11-16,35.7
2018-11-17,42.2
2018-11-18,31.7
2018-11-19,21.5
2018-11-20,30.7
2018-11-21,47.2
2018-11-22,59.4
2018-11-23,55.1
2018-11-24,44.0
2018-11-25,29.1
2018-11-26,37.4
2018-11-27,45.7
2018-11-28,23.0
2018-11-29,16.1
2018-11-30,32.1
2018-12-01,24.4
2018-12-02,14.5
2018-12-03,29.5
2018-12-04,62.4
2018-12-05,38.2
2018-12-06,27.4
2018-12-07,19.2
2018-12-08,14.4
2018-12-09,18.1
2018-12-10,48.7
2018-12-11,63.3
2018-12-12,41.0
2018-12-13,47.7
2018-12-14,50.2
2018-12-15,30.8
2018-12-16,38.4
2018-12-17,43.2
2018-12-18,20.3
2018-12-19,31.8
2018-12-20,29.1
2018-12-21,19.3
2018-12-22,30.0
2018-12-23,24.7
2018-12-24,51.3
2018-12-25,51.3
2018-12-26,34.7
2018-12-27,67.9
2018-12-28,47.5
2018-12-29,34.3
2018-12-30,27.8
2018-12-31,19.9
2019-01-01,21.2
2019-01-02,31.7
2019-01-03,34.5
2019-01-04,42.4
2019-01-05,41.8
2019-01-06,39.7
2019-01-07,34.7
2019-01-08,31.0
2019-01-09,36.4
2019-01-10,56.3
2019-01-11,47.9
2019-01-12,25.1
2019-01-13,13.4
2019-01-14,31.9
2019-01-15,40.3
2019-01-16,28.2
2019-01-17,39.1
2019-01-18,51.0
2019-01-19,35.5
2019-01-20,49.4
2019-01-21,55.1
2019-01-22,45.3
2019-01-23,46.4
2019-01-24,68.0
2019-01-25,48.8
2019-01-26,20.1
2019-01-27,11.8
2019-01-28,37.0
2019-01-29,50.4
2019-01-30,58.9
2019-01-31,59.6
2019-02-01,30.4
2019-02-02,23.5
2019-02-03,41.5
2019-02-04,33.4
2019-02-05,32.9
2019-02-06,35.1
2019-02-07,19.7
2019-02-08,13.9
2019-02-09,13.1
2019-02-10,21.3
2019-02-11,43.3
2019-02-12,44.8
2019-02-13,33.8
2019-02-14,62.0
2019-02-15,57.8
2019-02-16,42.9
2019-02-17,27.0
2019-02-18,29.6
2019-02-19,29.9
2019-02-20,23.5
2019-02-21,30.2
2019-02-22,50.6
2019-02-23,50.3
2019-02-24,68.2
2019-02-25,85.7
2019-02-26,91.9
2019-02-27,82.6
2019-02-28,40.0
2019-03-01,35.3
2019-03-02,18.2
2019-03-03,10.9
2019-03-04,27.53333333333333
2019-03-05,19.71666666666667
2019-03-06,15.2
2019-03-07,13.9
2019-03-08,26.5
2019-03-09,15.6
2019-03-10,16.6
2019-03-11,16.7
2019-03-12,15.8
2019-03-13,14.3
2019-03-14,16.5
2019-03-15,12.0
2019-03-16,8.1
2019-03-17,14.2
2019-03-18,37.2
2019-03-19,33.1
2019-03-20,24.1
2019-03-21,28.1
2019-03-22,22.7
2019-03-23,30.2
2019-03-24,29.5
2019-03-25,22.8
2019-03-26,52.8
2019-03-27,44.4
2019-03-28,47.5
2019-03-29,45.7
2019-03-30,47.6
2019-03-31,16.2
2019-04-01,29.3
2019-04-02,38.3
2019-04-03,38.0
2019-04-04,24.0
2019-04-05,26.3
2019-04-06,20.6
2019-04-07,20.0
2019-04-08,39.0
2019-04-09,30.4
2019-04-10,15.3
2019-04-11,22.3
2019-04-12,25.3
2019-04-13,23.5
2019-04-14,23.9
2019-04-15,37.9
2019-04-16,57.9
2019-04-17,48.6
2019-04-18,41.7
2019-04-19,36.0
2019-04-20,29.4
2019-04-21,32.9
2019-04-22,47.7
2019-04-23,49.7
2019-04-24,36.5
2019-04-25,15.2
2019-04-26,14.7
2019-04-27,9.2
2019-04-28,14.6
2019-04-29,29.9
2019-04-30,41.2
2019-05-01,27.3
2019-05-02,22.7
2019-05-03,25.7
2019-05-04,13.8
2019-05-05,15.1
2019-05-06,16.0
2019-05-07,18.6
2019-05-08,23.6
2019-05-09,33.0
2019-05-10,23.9
2019-05-11,21.6
2019-05-12,23.2
2019-05-13,23.6
2019-05-14,20.1
2019-05-15,28.1
2019-05-16,20.6
2019-05-17,20.5
2019-05-18,28.6
2019-05-19,27.3
2019-05-20,27.5
2019-05-21,19.3
2019-05-22,19.4
2019-05-23,17.5
2019-05-24,21.5
2019-05-25,11.8
2019-05-26,11.7
2019-05-27,14.0
2019-05-28,16.8
2019-05-29,18.8
2019-05-30,13.2
2019-05-31,15.4
2019-06-01,14.3
2019-06-02,11.8
2019-06-03,10.3
2019-06-04,24.8
2019-06-05,12.3
2019-06-06,13.8
2019-06-07,28.9
2019-06-08,9.2
2019-06-09,12.5
2019-06-10,20.0
2019-06-11,16.6
2019-06-12,22.9
2019-06-13,16.1
2019-06-14,13.1
2019-06-15,12.1
2019-06-16,9.0
2019-06-17,10.4
2019-06-18,32.6
2019-06-19,26.6
2019-06-20,15.6
2019-06-21,16.0
2019-06-22,20.5
2019-06-23,22.6
2019-06-24,29.3
2019-06-25,24.0
2019-06-26,10.6
2019-06-27,11.0
2019-06-28,17.7
2019-06-29,24.1
2019-06-30,8.3
2019-07-01,8.9
2019-07-02,13.3
2019-07-03,18.4
2019-07-04,21.9
2019-07-05,19.3
2019-07-06,15.2
2019-07-07,15.5
2019-07-08,18.7
2019-07-09,16.9
2019-07-10,17.8
2019-07-11,16.4
2019-07-12,10.0
2019-07-13,10.5
2019-07-14,11.5
2019-07-15,11.9
2019-07-16,17.3
2019-07-17,15.7
2019-07-18,14.3
2019-07-19,16.0
2019-07-20,7.9
2019-07-21,10.7
2019-07-22,11.6
2019-07-23,27.4
2019-07-24,26.1
2019-07-25,41.9
2019-07-26,21.9
2019-07-27,16.9
2019-07-28,14.9
2019-07-29,14.8
2019-07-30,11.7
2019-07-31,11.5
2019-08-01,15.9
2019-08-02,14.7
2019-08-03,17.6
2019-08-04,15.3
2019-08-05,11.0
2019-08-06,8.9
2019-08-07,12.8
2019-08-08,13.5
2019-08-09,10.6
2019-08-10,9.2
2019-08-11,11.3
2019-08-12,23.2
2019-08-13,16.8
2019-08-14,17.5
2019-08-15,14.0
2019-08-16,13.9
2019-08-17,8.3
2019-08-18,9.3
2019-08-19,13.7
2019-08-20,21.8
2019-08-21,17.2
2019-08-22,14.3
2019-08-23,25.1
2019-08-24,49.4
2019-08-25,52.7
2019-08-26,61.4
2019-08-27,53.2
2019-08-28,16.0
2019-08-29,13.6
2019-08-30,12.5
2019-08-31,19.0
2019-09-01,15.6
2019-09-02,21.5
2019-09-03,13.2
2019-09-04,10.4
2019-09-05,20.5
2019-09-06,24.9
2019-09-07,16.0
2019-09-08,22.5
2019-09-09,23.7
2019-09-10,32.9
2019-09-11,16.6
2019-09-12,14.6
2019-09-13,16.9
2019-09-14,36.8
2019-09-15,28.1
2019-09-16,21.6
2019-09-17,18.4
2019-09-18,26.6
2019-09-19,40.0
2019-09-20,40.7
2019-09-21,50.9
2019-09-22,27.7
2019-09-23,12.4
2019-09-24,16.0
2019-09-25,13.9
2019-09-26,14.0
2019-09-27,13.7
2019-09-28,9.6
2019-09-29,8.2
2019-09-30,18.06
2019-10-01,15.5
2019-10-02,24.8
2019-10-03,33.7
2019-10-04,28.6
2019-10-05,32.5
2019-10-06,16.3
2019-10-07,24.5
2019-10-08,17.9
2019-10-09,18.6
2019-10-10,16.3
2019-10-11,14.9
2019-10-12,27.5
2019-10-13,23.0
2019-10-14,39.2
2019-10-15,21.7
2019-10-16,30.7
2019-10-17,31.3
2019-10-18,16.3
2019-10-19,27.4
2019-10-20,24.6
2019-10-21,20.5
2019-10-22,43.2
2019-10-23,55.5
2019-10-24,41.9
2019-10-25,17.9
2019-10-26,12.9
2019-10-27,34.7
2019-10-28,39.8
2019-10-29,30.2
2019-10-30,39.9
2019-10-31,44.4
2019-11-01,32.8
2019-11-02,10.4
2019-11-03,26.6
2019-11-04,40.4
2019-11-05,29.6
2019-11-06,40.5
2019-11-07,33.3
2019-11-08,44.1
2019-11-09,39.2
2019-11-10,35.6
2019-11-11,26.6
2019-11-12,27.0
2019-11-13,40.5
2019-11-14,41.0
2019-11-15,26.5
2019-11-16,40.0
2019-11-17,49.7
2019-11-18,36.9
2019-11-19,61.7
2019-11-20,41.5
2019-11-21,38.8
2019-11-22,42.0
2019-11-23,40.3
2019-11-24,34.1
2019-11-25,31.8
2019-11-26,24.7
2019-11-27,33.0
2019-11-28,27.6
2019-11-29,43.4
2019-11-30,54.5
2019-12-01,23.2
2019-12-02,53.1
2019-12-03,56.6
2019-12-04,67.6
2019-12-05,38.6
2019-12-06,19.6
2019-12-07,21.2
2019-12-08,9.7
2019-12-09,28.8
2019-12-10,25.7
2019-12-11,37.7
2019-12-12,34.1
2019-12-13,23.4
2019-12-14,20.5
2019-12-15,13.6
2019-12-16,45.9
2019-12-17,50.6
2019-12-18,42.4
2019-12-19,19.3
2019-12-20,36.7
2019-12-21,21.0
2019-12-22,26.7
2019-12-23,26.8
2019-12-24,19.1
2019-12-25,33.1
2019-12-26,25.1
2019-12-27,33.0
2019-12-28,30.6
2019-12-29,22.2
2019-12-30,31.9
2019-12-31,39.2
2020-01-01,40.1
2020-01-02,18.0
2020-01-03,24.4
2020-01-04,31.4
2020-01-05,18.4
2020-01-06,19.9
2020-01-07,21.3
2020-01-08,27.7
2020-01-09,16.6
2020-01-10,28.0
2020-01-11,11.3
2020-01-12,14.6
2020-01-13,16.2
2020-01-14,13.0
2020-01-15,25.3
2020-01-16,20.2
2020-01-17,24.4
2020-01-18,44.0
2020-01-19,54.3
2020-01-20,67.5
2020-01-21,70.1
2020-01-22,52.6
2020-01-23,41.1
2020-01-24,43.3
2020-01-25,28.8
2020-01-26,20.1
2020-01-27,28.1
2020-01-28,25.0
2020-01-29,27.3
2020-01-30,21.3
2020-01-31,15.7
