Date,NO2_weighted_value(ug m-3)
2018-10-16,55.1
2018-10-17,68.4
2018-10-18,40.3
2018-10-19,77.0
2018-10-20,72.5
2018-10-21,50.4
2018-10-22,46.1
2018-10-23,60.3
2018-10-24,62.1
2018-10-25,64.6
2018-10-26,63.2
2018-10-27,29.9
2018-10-28,28.7
2018-10-29,40.7
2018-10-30,55.0
2018-10-31,63.2
2018-11-01,72.5
2018-11-02,78.6
2018-11-03,56.7
2018-11-04,43.7
2018-11-05,57.5
2018-11-06,52.5
2018-11-07,39.8
2018-11-08,51.3
2018-11-09,43.4
2018-11-10,50.8
2018-11-11,39.7
2018-11-12,65.5
2018-11-13,63.2
2018-11-14,66.0
2018-11-15,63.7
2018-11-16,42.0
2018-11-17,47.9
2018-11-18,39.4
2018-11-19,30.7
2018-11-20,44.0
2018-11-21,58.4
2018-11-22,72.2
2018-11-23,59.4
2018-11-24,49.5
2018-11-25,37.0
2018-11-26,47.7
2018-11-27,57.6
2018-11-28,53.0
2018-11-29,46.0
2018-11-30,65.8
2018-12-01,46.7
2018-12-02,28.5
2018-12-03,63.2
2018-12-04,78.5
2018-12-05,62.8
2018-12-06,59.4
2018-12-07,47.2
2018-12-08,27.8
2018-12-09,37.7
2018-12-10,77.6
2018-12-11,73.6
2018-12-12,48.9
2018-12-13,49.0
2018-12-14,66.3
2018-12-15,32.6
2018-12-16,56.6
2018-12-17,71.1
2018-12-18,38.4
2018-12-19,68.7
2018-12-20,59.1
2018-12-21,40.0
2018-12-22,42.2
2018-12-23,39.9
2018-12-24,60.2
2018-12-25,51.1
2018-12-26,52.2
2018-12-27,78.4
2018-12-28,66.5
2018-12-29,49.6
2018-12-30,50.2
2018-12-31,53.6
2019-01-01,45.0
2019-01-02,37.3
2019-01-03,52.9
2019-01-04,72.7
2019-01-05,68.5
2019-01-06,66.7
2019-01-07,57.1
2019-01-08,69.7
2019-01-09,47.7
2019-01-10,80.9
2019-01-11,76.4
2019-01-12,45.1
2019-01-13,31.9
2019-01-14,68.9
2019-01-15,63.4
2019-01-16,57.5
2019-01-17,78.3
2019-01-18,67.1
2019-01-19,40.5
2019-01-20,61.9
2019-01-21,76.7
2019-01-22,73.8
2019-01-23,59.0
2019-01-24,93.7
2019-01-25,78.8
2019-01-26,38.4
2019-01-27,31.7
2019-01-28,79.9
2019-01-29,82.2
2019-01-30,85.7
2019-01-31,67.8
2019-02-01,49.4
2019-02-02,39.2
2019-02-03,56.2
2019-02-04,64.9
2019-02-05,63.9
2019-02-06,68.3
2019-02-07,41.3
2019-02-08,36.9
2019-02-09,27.9
2019-02-10,44.8
2019-02-11,75.7
2019-02-12,72.7
2019-02-13,71.2
2019-02-14,84.4
2019-02-15,92.1
2019-02-16,68.0
2019-02-17,55.8
2019-02-18,70.3
2019-02-19,59.4
2019-02-20,54.8
2019-02-21,62.5
2019-02-22,65.9
2019-02-23,59.4
2019-02-24,75.4
2019-02-25,100.8
2019-02-26,110.5
2019-02-27,114.7
2019-02-28,76.9
2019-03-01,75.5
2019-03-02,41.5
2019-03-03,22.2
2019-03-04,45.7
2019-03-05,55.4
2019-03-06,43.7
2019-03-07,37.2
2019-03-08,54.1
2019-03-09,36.4
2019-03-10,29.7
2019-03-11,44.8
2019-03-12,41.1
2019-03-13,37.8
2019-03-14,43.3
2019-03-15,35.3
2019-03-16,24.2
2019-03-17,39.6
2019-03-18,72.2
2019-03-19,64.4
2019-03-20,61.3
2019-03-21,63.0
2019-03-22,60.7
2019-03-23,49.7
2019-03-24,67.7
2019-03-25,49.3
2019-03-26,81.6
2019-03-27,70.0
2019-03-28,81.0
2019-03-29,83.6
2019-03-30,74.2
2019-03-31,21.8
2019-04-01,39.7
2019-04-02,77.1
2019-04-03,72.1
2019-04-04,43.2
2019-04-05,34.7
2019-04-06,29.9
2019-04-07,32.5
2019-04-08,75.7
2019-04-09,47.5
2019-04-10,28.0
2019-04-11,38.6
2019-04-12,45.7
2019-04-13,33.9
2019-04-14,26.1
2019-04-15,41.6
2019-04-16,82.6
2019-04-17,61.3
2019-04-18,55.4
2019-04-19,55.5
2019-04-20,43.5
2019-04-21,52.4
2019-04-22,60.0
2019-04-23,67.7
2019-04-24,51.9
2019-04-25,44.6
2019-04-26,47.8
2019-04-27,21.9
2019-04-28,24.0
2019-04-29,42.7
2019-04-30,53.4
2019-05-01,67.0
2019-05-02,62.6
2019-05-03,52.3
2019-05-04,21.9
2019-05-05,31.0
2019-05-06,39.6
2019-05-07,50.1
2019-05-08,50.1
2019-05-09,62.0
2019-05-10,54.2
2019-05-11,40.4
2019-05-12,39.4
2019-05-13,43.5
2019-05-14,34.1
2019-05-15,41.5
2019-05-16,33.4
2019-05-17,39.4
2019-05-18,54.9
2019-05-19,46.7
2019-05-20,58.4
2019-05-21,53.7
2019-05-22,55.6
2019-05-23,53.6
2019-05-24,58.5
2019-05-25,45.2
2019-05-26,21.0
2019-05-27,28.3
2019-05-28,40.8
2019-05-29,44.9
2019-05-30,33.4
2019-05-31,33.4
2019-06-01,37.2
2019-06-02,27.1
2019-06-03,33.5
2019-06-04,43.5
2019-06-05,40.7
2019-06-06,42.6
2019-06-07,39.0
2019-06-08,20.5
2019-06-09,33.2
2019-06-10,44.1
2019-06-11,35.2
2019-06-12,51.1
2019-06-13,44.0
2019-06-14,47.1
2019-06-15,36.3
2019-06-16,22.8
2019-06-17,40.1
2019-06-18,57.7
2019-06-19,55.5
2019-06-20,36.2
2019-06-21,44.8
2019-06-22,29.4
2019-06-23,32.5
2019-06-24,63.6
2019-06-25,43.9
2019-06-26,25.0
2019-06-27,16.3
2019-06-28,20.5
2019-06-29,41.4
2019-06-30,17.9
2019-07-01,31.0
2019-07-02,25.0
2019-07-03,31.0
2019-07-04,49.2
2019-07-05,52.9
2019-07-06,22.6
2019-07-07,20.1
2019-07-08,34.0
2019-07-09,54.4
2019-07-10,46.0
2019-07-11,48.5
2019-07-12,47.8
2019-07-13,24.7
2019-07-14,18.7
2019-07-15,26.5
2019-07-16,50.2
2019-07-17,52.5
2019-07-18,42.1
2019-07-19,43.8
2019-07-20,30.1
2019-07-21,22.7
2019-07-22,30.3
2019-07-23,42.6
2019-07-24,59.0
2019-07-25,66.0
2019-07-26,44.2
2019-07-27,45.8
2019-07-28,28.3
2019-07-29,38.6
2019-07-30,27.4
2019-07-31,34.3
2019-08-01,46.8
2019-08-02,31.8
2019-08-03,32.6
2019-08-04,38.5
2019-08-05,37.0
2019-08-06,30.8
2019-08-07,34.8
2019-08-08,34.0
2019-08-09,29.6
2019-08-10,15.3
2019-08-11,19.3
2019-08-12,47.0
2019-08-13,46.9
2019-08-14,45.5
2019-08-15,36.7
2019-08-16,37.2
2019-08-17,22.5
2019-08-18,23.2
2019-08-19,33.0
2019-08-20,50.1
2019-08-21,48.3
2019-08-22,42.6
2019-08-23,48.8
2019-08-24,67.8
2019-08-25,63.3
2019-08-26,63.1
2019-08-27,76.7
2019-08-28,38.0
2019-08-29,37.7
2019-08-30,37.0
2019-08-31,37.2
2019-09-01,37.0
2019-09-02,38.8
2019-09-03,35.3
2019-09-04,30.7
2019-09-05,45.9
2019-09-06,45.1
2019-09-07,26.6
2019-09-08,31.1
2019-09-09,47.2
2019-09-10,57.4
2019-09-11,32.9
2019-09-12,27.8
2019-09-13,25.7
2019-09-14,52.1
2019-09-15,44.7
2019-09-16,37.0
2019-09-17,26.3
2019-09-18,42.8
2019-09-19,53.2
2019-09-20,47.8
2019-09-21,49.7
2019-09-22,42.7
2019-09-23,30.3
2019-09-24,38.4
2019-09-25,33.3
2019-09-26,35.2
2019-09-27,33.6
2019-09-28,26.6
2019-09-29,20.9
2019-09-30,38.7
2019-10-01,39.7
2019-10-02,45.9
2019-10-03,50.6
2019-10-04,49.3
2019-10-05,36.7
2019-10-06,37.1
2019-10-07,48.9
2019-10-08,40.5
2019-10-09,38.5
2019-10-10,31.5
2019-10-11,36.6
2019-10-12,50.1
2019-10-13,32.9
2019-10-14,47.7
2019-10-15,48.8
2019-10-16,56.1
2019-10-17,57.1
2019-10-18,41.5
2019-10-19,45.8
2019-10-20,31.4
2019-10-21,32.6
2019-10-22,71.3
2019-10-23,64.7
2019-10-24,62.9
2019-10-25,41.3
2019-10-26,27.2
2019-10-27,54.6
2019-10-28,52.6
2019-10-29,40.7
2019-10-30,46.0
2019-10-31,46.1
2019-11-01,52.0
2019-11-02,25.3
2019-11-03,42.0
2019-11-04,62.5
2019-11-05,40.0
2019-11-06,55.6
2019-11-07,52.2
2019-11-08,65.2
2019-11-09,38.1
2019-11-10,40.5
2019-11-11,45.4
2019-11-12,42.0
2019-11-13,47.1
2019-11-14,53.6
2019-11-15,35.7
2019-11-16,50.4
2019-11-17,60.1
2019-11-18,55.9
2019-11-19,75.0
2019-11-20,48.8
2019-11-21,40.3
2019-11-22,48.6
2019-11-23,44.8
2019-11-24,44.9
2019-11-25,45.7
2019-11-26,51.6
2019-11-27,64.3
2019-11-28,53.0
