Date,NO2_weighted_value(ug m-3)
2018-10-16,27.6
2018-10-17,43.3
2018-10-18,26.8
2018-10-19,49.8
2018-10-20,58.7
2018-10-21,40.6
2018-10-22,31.2
2018-10-23,40.6
2018-10-24,40.2
2018-10-25,42.4
2018-10-26,40.1
2018-10-27,21.4
2018-10-28,16.2
2018-10-29,26.0
2018-10-30,36.2
2018-10-31,43.8
2018-11-01,46.1
2018-11-02,60.0
2018-11-03,38.4
2018-11-04,30.2
2018-11-05,39.9
2018-11-06,30.3
2018-11-07,19.7
2018-11-08,29.4
2018-11-09,28.0
2018-11-10,30.2
2018-11-11,24.8
2018-11-12,33.3
2018-11-13,36.5
2018-11-14,33.7
2018-11-15,34.1
2018-11-16,31.8
2018-11-17,40.2
2018-11-18,30.8
2018-11-19,21.9
2018-11-20,29.7
2018-11-21,39.8
2018-11-22,49.2
2018-11-23,49.5
2018-11-24,42.8
2018-11-25,29.2
2018-11-26,35.4
2018-11-27,43.0
2018-11-28,28.2
2018-11-29,24.0
2018-11-30,35.4
2018-12-01,27.0
2018-12-02,16.5
2018-12-03,36.3
2018-12-04,56.7
2018-12-05,37.2
2018-12-06,33.0
2018-12-07,30.7
2018-12-08,22.7
2018-12-09,27.1
2018-12-10,51.7
2018-12-11,55.9
2018-12-12,36.3
2018-12-13,44.9
2018-12-14,45.7
2018-12-15,27.5
2018-12-16,37.8
2018-12-17,43.4
2018-12-18,21.2
2018-12-19,36.9
2018-12-20,31.8
2018-12-21,27.2
2018-12-22,32.2
2018-12-23,27.2
2018-12-24,43.1
2018-12-25,46.5
2018-12-26,35.1
2018-12-27,58.2
2018-12-28,51.8
2018-12-29,35.4
2018-12-30,33.5
2018-12-31,30.0
2019-01-01,22.8
2019-01-02,22.9
2019-01-03,31.0
2019-01-04,23.880000000000003
2019-01-05,26.68
2019-01-06,32.05
2019-01-07,19.15
2019-01-08,24.775
2019-01-09,28.7
2019-01-10,40.55
2019-01-11,25.799999999999997
2019-01-12,32.0
2019-01-13,32.699999999999996
2019-01-14,36.725
2019-01-15,31.650000000000002
2019-01-16,31.2
2019-01-17,44.7
2019-01-18,48.6
2019-01-19,27.9
2019-01-20,43.3
2019-01-21,49.9
2019-01-22,49.3
2019-01-23,42.6
2019-01-24,65.6
2019-01-25,53.2
2019-01-26,21.1
2019-01-27,16.9
2019-01-28,48.7
2019-01-29,49.0
2019-01-30,57.3
2019-01-31,56.4
2019-02-01,28.7
2019-02-02,26.1
2019-02-03,41.7
2019-02-04,36.8
2019-02-05,36.4
2019-02-06,40.8
2019-02-07,23.7
2019-02-08,18.1
2019-02-09,17.6
2019-02-10,27.3
2019-02-11,47.2
2019-02-12,43.3
2019-02-13,40.3
2019-02-14,54.5
2019-02-15,55.4
2019-02-16,42.7
2019-02-17,36.8
2019-02-18,39.3
2019-02-19,37.2
2019-02-20,32.1
2019-02-21,38.0
2019-02-22,54.7
2019-02-23,46.5
2019-02-24,67.0
2019-02-25,85.0
2019-02-26,104.8
2019-02-27,99.0
2019-02-28,60.7
2019-03-01,59.9
2019-03-02,33.6
2019-03-03,25.6
2019-03-04,40.3
2019-03-05,41.6
2019-03-06,33.7
2019-03-07,38.8
2019-03-08,50.7
2019-03-09,39.1
2019-03-10,33.2
2019-03-11,45.0
2019-03-12,40.6
2019-03-13,43.9
2019-03-14,37.9
2019-03-15,34.0
2019-03-16,18.9
2019-03-17,33.2
2019-03-18,59.6
2019-03-19,54.6
2019-03-20,49.7
2019-03-21,57.6
2019-03-22,51.6
2019-03-23,47.6
2019-03-24,51.5
2019-03-25,43.1
2019-03-26,68.2
2019-03-27,60.7
2019-03-28,63.9
2019-03-29,69.3
2019-03-30,65.0
2019-03-31,29.5
2019-04-01,43.4
2019-04-02,61.8
2019-04-03,58.4
2019-04-04,39.5
2019-04-05,39.6
2019-04-06,32.1
2019-04-07,33.6
2019-04-08,64.3
2019-04-09,39.0
2019-04-10,28.5
2019-04-11,38.6
2019-04-12,42.5
2019-04-13,37.3
2019-04-14,33.1
2019-04-15,48.6
2019-04-16,69.5
2019-04-17,62.1
2019-04-18,62.4
2019-04-19,55.2
2019-04-20,48.6
2019-04-21,51.3
2019-04-22,69.6
2019-04-23,65.9
2019-04-24,54.4
2019-04-25,35.2
2019-04-26,36.5
2019-04-27,30.3
2019-04-28,35.8
2019-04-29,49.0
2019-04-30,55.5
2019-05-01,59.8
2019-05-02,49.9
2019-05-03,48.0
2019-05-04,24.5
2019-05-05,31.3
2019-05-06,35.5
2019-05-07,40.6
2019-05-08,27.0
2019-05-09,38.1
2019-05-10,32.8
2019-05-11,24.0
2019-05-12,23.1
2019-05-13,27.3
2019-05-14,24.8
2019-05-15,29.1
2019-05-16,23.5
2019-05-17,22.5
2019-05-18,32.3
2019-05-19,29.2
2019-05-20,31.1
2019-05-21,27.8
2019-05-22,27.7
2019-05-23,29.6
