Date,NO2_weighted_value(ug m-3)
2018-01-01,43.9
2018-01-02,35.0
2018-01-03,36.8
2018-01-04,40.5
2018-01-05,53.3
2018-01-06,60.8
2018-01-07,34.4
2018-01-08,46.0
2018-01-09,46.0
2018-01-10,66.7
2018-01-11,50.8
2018-01-12,45.0
2018-01-13,39.5
2018-01-14,41.6
2018-01-15,42.9
2018-01-16,50.1
2018-01-17,53.2
2018-01-18,51.2
2018-01-19,43.8
2018-01-20,46.9
2018-01-21,49.6
2018-01-22,61.1
2018-01-23,25.0
2018-01-24,25.9
2018-01-25,32.1
2018-01-26,52.0
2018-01-27,34.5
2018-01-28,23.5
2018-01-29,35.1
2018-01-30,52.4
2018-01-31,33.9
2018-02-01,46.7
2018-02-02,50.6
2018-02-03,57.5
2018-02-04,32.9
2018-02-05,40.0
2018-02-06,52.0
2018-02-07,58.2
2018-02-08,46.3
2018-02-09,51.6
2018-02-10,36.0
2018-02-11,57.3
2018-02-12,45.2
2018-02-13,34.9
2018-02-14,41.0
2018-02-15,43.2
2018-02-16,44.6
2018-02-17,50.6
2018-02-18,36.7
2018-02-19,44.2
2018-02-20,38.7
2018-02-21,46.4
2018-02-22,51.2
2018-02-23,53.9
2018-02-24,50.0
2018-02-25,37.7
2018-02-26,52.4
2018-02-27,43.82
2018-02-28,48.2
2018-03-01,34.6
2018-03-02,45.5
2018-03-03,50.8
2018-03-04,44.5
2018-03-05,42.5
2018-03-06,39.7
2018-03-07,64.0
2018-03-08,35.5
2018-03-09,52.9
2018-03-10,31.8
2018-03-11,64.4
2018-03-12,56.7
2018-03-13,46.9
2018-03-14,39.3
2018-03-15,46.2
2018-03-16,37.5
2018-03-17,26.1
2018-03-18,31.8
2018-03-19,36.9
2018-03-20,52.5
2018-03-21,70.2
2018-03-22,47.8
2018-03-23,26.1
2018-03-24,43.5
2018-03-25,48.6
2018-03-26,47.2
2018-03-27,50.7
2018-03-28,58.3
2018-03-29,43.9
2018-03-30,44.7
2018-03-31,36.2
2018-04-01,35.9
2018-04-02,29.7
2018-04-03,22.8
2018-04-04,28.9
2018-04-05,35.2
2018-04-06,40.3
2018-04-07,46.1
2018-04-08,40.9
2018-04-09,56.9
2018-04-10,53.4
2018-04-11,45.4
2018-04-12,43.4
2018-04-13,35.4
2018-04-14,50.9
2018-04-15,36.3
2018-04-16,24.0
2018-04-17,23.5
2018-04-18,45.9
2018-04-19,68.3
2018-04-20,56.2
2018-04-21,63.8
2018-04-22,34.7
2018-04-23,25.7
2018-04-24,20.5
2018-04-25,30.8
2018-04-26,27.5
2018-04-27,42.1
2018-04-28,37.7
2018-04-29,25.6
2018-04-30,47.5
2018-05-01,37.8
2018-05-02,44.3
2018-05-03,49.9
2018-05-04,43.3
2018-05-05,55.7
2018-05-06,48.4
2018-05-07,59.4
2018-05-08,65.0
2018-05-09,31.1
2018-05-10,33.7
2018-05-11,31.1
2018-05-12,33.7
2018-05-13,41.4
2018-05-14,38.6
2018-05-15,44.9
2018-05-16,31.7
2018-05-17,30.4
2018-05-18,36.6
2018-05-19,43.1
2018-05-20,40.6
2018-05-21,49.6
2018-05-22,35.6
2018-05-23,36.0
2018-05-24,44.4
2018-05-25,43.1
2018-05-26,31.6
2018-05-27,26.3
2018-05-28,33.1
2018-05-29,35.6
2018-05-30,42.2
2018-05-31,47.0
2018-06-01,29.0
2018-06-02,26.4
2018-06-03,34.5
2018-06-04,30.6
2018-06-05,27.3
2018-06-06,32.8
2018-06-07,38.8
2018-06-08,28.2
2018-06-09,23.9
2018-06-10,21.9
2018-06-11,27.7
2018-06-12,32.5
2018-06-13,26.4
2018-06-14,21.3
2018-06-15,22.5
2018-06-16,13.3
2018-06-17,7.9
2018-06-18,13.4
2018-06-19,14.6
2018-06-20,15.5
2018-06-21,25.9
2018-06-22,30.0
2018-06-23,38.1
2018-06-24,28.5
2018-06-25,38.1
2018-06-26,42.9
2018-06-27,32.2
2018-06-28,27.8
2018-06-29,31.1
2018-06-30,22.2
2018-07-01,28.7
2018-07-02,29.4
2018-07-03,28.6
2018-07-04,32.6
2018-07-05,44.2
2018-07-06,42.4
2018-07-07,38.0
2018-07-08,29.8
2018-07-09,40.3
2018-07-10,24.3
2018-07-11,26.6
2018-07-12,34.7
2018-07-13,37.7
2018-07-14,25.3
2018-07-15,27.2
2018-07-16,29.8
2018-07-17,16.6
2018-07-18,22.4
2018-07-19,42.7
2018-07-20,34.4
2018-07-21,29.9
2018-07-22,25.7
2018-07-23,23.0
2018-07-24,19.8
2018-07-25,35.7
2018-07-26,47.6
2018-07-27,34.1
2018-07-28,8.6
2018-07-29,9.5
2018-07-30,12.4
2018-07-31,15.9
2018-08-01,19.7
2018-08-02,23.3
2018-08-03,34.7
2018-08-04,24.8
2018-08-05,20.7
2018-08-06,12.55
2018-08-07,22.65
2018-08-08,14.4
2018-08-09,32.7
2018-08-10,25.2
2018-08-11,25.7
2018-08-12,14.0
2018-08-13,21.9
2018-08-14,22.2
2018-08-15,15.1
2018-08-16,24.825
2018-08-17,21.0
2018-08-18,13.2
2018-08-19,9.8
2018-08-20,17.1
2018-08-21,19.8
2018-08-22,19.6
2018-08-23,16.3
2018-08-24,18.6
2018-08-25,24.7
2018-08-26,25.8
2018-08-27,13.0
2018-08-28,19.9
2018-08-29,40.2
2018-08-30,28.8
2018-08-31,32.3
2018-09-01,29.6
2018-09-02,31.5
