Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC1,NO,05/04/2018 00:00,2.70000,ug m-3,R
KC1,NO,06/04/2018 00:00,2.80000,ug m-3,R
KC1,NO,07/04/2018 00:00,5.60000,ug m-3,R
KC1,NO,08/04/2018 00:00,2.20000,ug m-3,R
KC1,NO,09/04/2018 00:00,6.60000,ug m-3,R
KC1,NO,10/04/2018 00:00,5.10000,ug m-3,R
KC1,NO,11/04/2018 00:00,5.10000,ug m-3,R
KC1,NO,12/04/2018 00:00,4.60000,ug m-3,R
KC1,NO,13/04/2018 00:00,3.80000,ug m-3,R
KC1,NO,14/04/2018 00:00,5.90000,ug m-3,R
KC1,NO,15/04/2018 00:00,2.10000,ug m-3,R
KC1,NO,16/04/2018 00:00,2.30000,ug m-3,R
KC1,NO,17/04/2018 00:00,1.20000,ug m-3,R
KC1,NO,18/04/2018 00:00,3.60000,ug m-3,R
KC1,NO,19/04/2018 00:00,17.80000,ug m-3,R
KC1,NO,20/04/2018 00:00,7.40000,ug m-3,R
KC1,NO,21/04/2018 00:00,5.10000,ug m-3,R
KC1,NO,22/04/2018 00:00,1.20000,ug m-3,R
KC1,NO,23/04/2018 00:00,1.50000,ug m-3,R
KC1,NO,24/04/2018 00:00,1.50000,ug m-3,R
KC1,NO,25/04/2018 00:00,3.50000,ug m-3,R
KC1,NO,26/04/2018 00:00,1.70000,ug m-3,R
KC1,NO,27/04/2018 00:00,5.10000,ug m-3,R
KC1,NO,28/04/2018 00:00,1.80000,ug m-3,R
KC1,NO,29/04/2018 00:00,1.20000,ug m-3,R
KC1,NO,30/04/2018 00:00,2.30000,ug m-3,R
KC1,NO,01/05/2018 00:00,4.40000,ug m-3,R
KC1,NO,02/05/2018 00:00,3.00000,ug m-3,R
KC1,NO,03/05/2018 00:00,9.10000,ug m-3,R
KC1,NO,04/05/2018 00:00,3.50000,ug m-3,R
KC1,NO,05/05/2018 00:00,9.40000,ug m-3,R
KC1,NO,06/05/2018 00:00,1.50000,ug m-3,R
KC1,NO,07/05/2018 00:00,2.20000,ug m-3,R
KC1,NO,08/05/2018 00:00,13.00000,ug m-3,R
KC1,NO,09/05/2018 00:00,3.00000,ug m-3,R
KC1,NO,10/05/2018 00:00,3.10000,ug m-3,R
KC1,NO,11/05/2018 00:00,1.70000,ug m-3,R
KC1,NO,12/05/2018 00:00,1.40000,ug m-3,R
KC1,NO,13/05/2018 00:00,4.40000,ug m-3,R
KC1,NO,14/05/2018 00:00,2.50000,ug m-3,R
KC1,NO,15/05/2018 00:00,1.90000,ug m-3,R
KC1,NO,16/05/2018 00:00,1.40000,ug m-3,R
KC1,NO,17/05/2018 00:00,1.90000,ug m-3,R
KC1,NO,18/05/2018 00:00,2.70000,ug m-3,R
KC1,NO,19/05/2018 00:00,7.70000,ug m-3,R
KC1,NO,20/05/2018 00:00,4.60000,ug m-3,R
KC1,NO,21/05/2018 00:00,3.60000,ug m-3,R
KC1,NO,22/05/2018 00:00,1.50000,ug m-3,R
KC1,NO,23/05/2018 00:00,1.70000,ug m-3,R
KC1,NO,24/05/2018 00:00,3.60000,ug m-3,R
KC1,NO,25/05/2018 00:00,3.10000,ug m-3,R
KC1,NO,26/05/2018 00:00,1.10000,ug m-3,R
KC1,NO,27/05/2018 00:00,1.40000,ug m-3,R
KC1,NO,28/05/2018 00:00,1.40000,ug m-3,R
KC1,NO,29/05/2018 00:00,1.20000,ug m-3,R
KC1,NO,30/05/2018 00:00,8.10000,ug m-3,R
KC1,NO,31/05/2018 00:00,4.70000,ug m-3,R
KC1,NO,01/06/2018 00:00,1.60000,ug m-3,R
KC1,NO,02/06/2018 00:00,0.90000,ug m-3,R
