Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC1,NOX,27/03/2018 00:00,34.30000,ug m-3 as NO2,R
KC1,NOX,28/03/2018 00:00,45.30000,ug m-3 as NO2,R
KC1,NOX,29/03/2018 00:00,48.00000,ug m-3 as NO2,R
KC1,NOX,30/03/2018 00:00,38.10000,ug m-3 as NO2,R
KC1,NOX,31/03/2018 00:00,22.20000,ug m-3 as NO2,R
KC1,NOX,01/04/2018 00:00,21.30000,ug m-3 as NO2,R
KC1,NOX,02/04/2018 00:00,25.20000,ug m-3 as NO2,R
KC1,NOX,03/04/2018 00:00,21.80000,ug m-3 as NO2,R
KC1,NOX,04/04/2018 00:00,20.30000,ug m-3 as NO2,R
KC1,NOX,05/04/2018 00:00,22.30000,ug m-3 as NO2,R
KC1,NOX,06/04/2018 00:00,36.60000,ug m-3 as NO2,R
KC1,NOX,07/04/2018 00:00,47.20000,ug m-3 as NO2,R
KC1,NOX,08/04/2018 00:00,29.60000,ug m-3 as NO2,R
KC1,NOX,09/04/2018 00:00,55.00000,ug m-3 as NO2,R
KC1,NOX,10/04/2018 00:00,48.70000,ug m-3 as NO2,R
KC1,NOX,11/04/2018 00:00,39.70000,ug m-3 as NO2,R
KC1,NOX,12/04/2018 00:00,33.10000,ug m-3 as NO2,R
KC1,NOX,13/04/2018 00:00,37.60000,ug m-3 as NO2,R
KC1,NOX,14/04/2018 00:00,51.10000,ug m-3 as NO2,R
KC1,NOX,15/04/2018 00:00,31.90000,ug m-3 as NO2,R
KC1,NOX,16/04/2018 00:00,24.10000,ug m-3 as NO2,R
KC1,NOX,17/04/2018 00:00,19.50000,ug m-3 as NO2,R
KC1,NOX,18/04/2018 00:00,42.90000,ug m-3 as NO2,R
KC1,NOX,19/04/2018 00:00,79.60000,ug m-3 as NO2,R
KC1,NOX,20/04/2018 00:00,46.80000,ug m-3 as NO2,R
KC1,NOX,21/04/2018 00:00,55.70000,ug m-3 as NO2,R
KC1,NOX,22/04/2018 00:00,21.50000,ug m-3 as NO2,R
KC1,NOX,23/04/2018 00:00,18.70000,ug m-3 as NO2,R
KC1,NOX,24/04/2018 00:00,18.10000,ug m-3 as NO2,R
KC1,NOX,25/04/2018 00:00,20.80000,ug m-3 as NO2,R
KC1,NOX,26/04/2018 00:00,18.30000,ug m-3 as NO2,R
KC1,NOX,27/04/2018 00:00,47.50000,ug m-3 as NO2,R
KC1,NOX,28/04/2018 00:00,25.80000,ug m-3 as NO2,R
KC1,NOX,29/04/2018 00:00,12.70000,ug m-3 as NO2,R
KC1,NOX,30/04/2018 00:00,26.60000,ug m-3 as NO2,R
KC1,NOX,01/05/2018 00:00,34.10000,ug m-3 as NO2,R
KC1,NOX,02/05/2018 00:00,31.30000,ug m-3 as NO2,R
KC1,NOX,03/05/2018 00:00,48.50000,ug m-3 as NO2,R
KC1,NOX,04/05/2018 00:00,35.60000,ug m-3 as NO2,R
KC1,NOX,05/05/2018 00:00,63.90000,ug m-3 as NO2,R
KC1,NOX,06/05/2018 00:00,42.20000,ug m-3 as NO2,R
KC1,NOX,07/05/2018 00:00,56.80000,ug m-3 as NO2,R
KC1,NOX,08/05/2018 00:00,68.50000,ug m-3 as NO2,R
KC1,NOX,09/05/2018 00:00,28.50000,ug m-3 as NO2,R
KC1,NOX,10/05/2018 00:00,21.90000,ug m-3 as NO2,R
KC1,NOX,11/05/2018 00:00,27.00000,ug m-3 as NO2,R
KC1,NOX,12/05/2018 00:00,28.90000,ug m-3 as NO2,R
KC1,NOX,13/05/2018 00:00,37.90000,ug m-3 as NO2,R
KC1,NOX,14/05/2018 00:00,24.40000,ug m-3 as NO2,R
KC1,NOX,15/05/2018 00:00,22.20000,ug m-3 as NO2,R
KC1,NOX,16/05/2018 00:00,14.50000,ug m-3 as NO2,R
KC1,NOX,17/05/2018 00:00,16.30000,ug m-3 as NO2,R
KC1,NOX,18/05/2018 00:00,30.50000,ug m-3 as NO2,R
KC1,NOX,19/05/2018 00:00,48.80000,ug m-3 as NO2,R
KC1,NOX,20/05/2018 00:00,38.60000,ug m-3 as NO2,R
KC1,NOX,21/05/2018 00:00,43.30000,ug m-3 as NO2,R
KC1,NOX,22/05/2018 00:00,17.10000,ug m-3 as NO2,R
KC1,NOX,23/05/2018 00:00,16.20000,ug m-3 as NO2,R
KC1,NOX,24/05/2018 00:00,32.10000,ug m-3 as NO2,R
KC1,NOX,25/05/2018 00:00,38.90000,ug m-3 as NO2,R
KC1,NOX,26/05/2018 00:00,22.10000,ug m-3 as NO2,R
KC1,NOX,27/05/2018 00:00,22.40000,ug m-3 as NO2,R
KC1,NOX,28/05/2018 00:00,24.10000,ug m-3 as NO2,R
KC1,NOX,29/05/2018 00:00,19.30000,ug m-3 as NO2,R
KC1,NOX,30/05/2018 00:00,50.20000,ug m-3 as NO2,R
KC1,NOX,31/05/2018 00:00,47.80000,ug m-3 as NO2,R
KC1,NOX,01/06/2018 00:00,28.40000,ug m-3 as NO2,R
KC1,NOX,02/06/2018 00:00,20.00000,ug m-3 as NO2,R
KC1,NOX,03/06/2018 00:00,29.00000,ug m-3 as NO2,R
KC1,NOX,04/06/2018 00:00,19.10000,ug m-3 as NO2,R
KC1,NOX,05/06/2018 00:00,17.50000,ug m-3 as NO2,R
KC1,NOX,06/06/2018 00:00,21.80000,ug m-3 as NO2,R
KC1,NOX,07/06/2018 00:00,23.30000,ug m-3 as NO2,R
KC1,NOX,08/06/2018 00:00,20.30000,ug m-3 as NO2,R
KC1,NOX,09/06/2018 00:00,20.90000,ug m-3 as NO2,R
KC1,NOX,10/06/2018 00:00,16.90000,ug m-3 as NO2,R
KC1,NOX,11/06/2018 00:00,22.60000,ug m-3 as NO2,R
KC1,NOX,12/06/2018 00:00,21.10000,ug m-3 as NO2,R
KC1,NOX,13/06/2018 00:00,27.90000,ug m-3 as NO2,R
KC1,NOX,14/06/2018 00:00,19.60000,ug m-3 as NO2,R
KC1,NOX,15/06/2018 00:00,33.70000,ug m-3 as NO2,R
KC1,NOX,16/06/2018 00:00,14.60000,ug m-3 as NO2,R
KC1,NOX,17/06/2018 00:00,10.80000,ug m-3 as NO2,R
KC1,NOX,18/06/2018 00:00,12.70000,ug m-3 as NO2,R
KC1,NOX,19/06/2018 00:00,13.90000,ug m-3 as NO2,R
KC1,NOX,20/06/2018 00:00,17.30000,ug m-3 as NO2,R
KC1,NOX,21/06/2018 00:00,13.70000,ug m-3 as NO2,R
KC1,NOX,22/06/2018 00:00,23.10000,ug m-3 as NO2,R
KC1,NOX,23/06/2018 00:00,19.20000,ug m-3 as NO2,R
KC1,NOX,24/06/2018 00:00,23.10000,ug m-3 as NO2,R
KC1,NOX,25/06/2018 00:00,28.90000,ug m-3 as NO2,R
KC1,NOX,26/06/2018 00:00,50.70000,ug m-3 as NO2,R
KC1,NOX,27/06/2018 00:00,26.40000,ug m-3 as NO2,R
KC1,NOX,28/06/2018 00:00,20.80000,ug m-3 as NO2,R
KC1,NOX,29/06/2018 00:00,20.60000,ug m-3 as NO2,R
KC1,NOX,30/06/2018 00:00,15.50000,ug m-3 as NO2,R
KC1,NOX,01/07/2018 00:00,21.40000,ug m-3 as NO2,R
KC1,NOX,02/07/2018 00:00,22.70000,ug m-3 as NO2,R
KC1,NOX,03/07/2018 00:00,21.30000,ug m-3 as NO2,R
KC1,NOX,04/07/2018 00:00,31.50000,ug m-3 as NO2,R
KC1,NOX,05/07/2018 00:00,32.00000,ug m-3 as NO2,R
KC1,NOX,06/07/2018 00:00,30.40000,ug m-3 as NO2,R
KC1,NOX,07/07/2018 00:00,33.20000,ug m-3 as NO2,R
KC1,NOX,08/07/2018 00:00,20.50000,ug m-3 as NO2,R
KC1,NOX,09/07/2018 00:00,35.80000,ug m-3 as NO2,R
KC1,NOX,10/07/2018 00:00,13.10000,ug m-3 as NO2,R
KC1,NOX,11/07/2018 00:00,14.10000,ug m-3 as NO2,R
KC1,NOX,12/07/2018 00:00,25.20000,ug m-3 as NO2,R
KC1,NOX,13/07/2018 00:00,33.90000,ug m-3 as NO2,R
KC1,NOX,14/07/2018 00:00,24.30000,ug m-3 as NO2,R
KC1,NOX,15/07/2018 00:00,21.20000,ug m-3 as NO2,R
KC1,NOX,16/07/2018 00:00,32.60000,ug m-3 as NO2,R
KC1,NOX,17/07/2018 00:00,16.20000,ug m-3 as NO2,R
KC1,NOX,18/07/2018 00:00,22.20000,ug m-3 as NO2,R
KC1,NOX,19/07/2018 00:00,38.30000,ug m-3 as NO2,R
