Hourly Data,,RBKC Cromwell Road,,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2022,1:00:00,31.9,R ugm-3 (Ref.eq),20,R ugm-3 (BAM)
01/01/2022,2:00:00,36.7,R ugm-3 (Ref.eq),17,R ugm-3 (BAM)
01/01/2022,3:00:00,33.8,R ugm-3 (Ref.eq),4,R ugm-3 (BAM)
01/01/2022,4:00:00,18.4,R ugm-3 (Ref.eq),7,R ugm-3 (BAM)
01/01/2022,5:00:00,24.2,R ugm-3 (Ref.eq),8,R ugm-3 (BAM)
01/01/2022,6:00:00,14.5,R ugm-3 (Ref.eq),3,R ugm-3 (BAM)
01/01/2022,7:00:00,19.3,R ugm-3 (Ref.eq),4,R ugm-3 (BAM)
01/01/2022,8:00:00,19.3,R ugm-3 (Ref.eq),9,R ugm-3 (BAM)
01/01/2022,9:00:00,20.3,R ugm-3 (Ref.eq),6,R ugm-3 (BAM)
01/01/2022,10:00:00,16.4,R ugm-3 (Ref.eq),4,R ugm-3 (BAM)
01/01/2022,11:00:00,29,R ugm-3 (Ref.eq),7,R ugm-3 (BAM)
01/01/2022,12:00:00,20.3,R ugm-3 (Ref.eq),5,R ugm-3 (BAM)
01/01/2022,13:00:00,30,R ugm-3 (Ref.eq),6,R ugm-3 (BAM)
01/01/2022,14:00:00,25.1,R ugm-3 (Ref.eq),9,R ugm-3 (BAM)
01/01/2022,15:00:00,38.6,R ugm-3 (Ref.eq),10,R ugm-3 (BAM)
01/01/2022,16:00:00,29,R ugm-3 (Ref.eq),9,R ugm-3 (BAM)
01/01/2022,17:00:00,42.5,R ugm-3 (Ref.eq),9,R ugm-3 (BAM)
01/01/2022,18:00:00,36.7,R ugm-3 (Ref.eq),10,R ugm-3 (BAM)
01/01/2022,19:00:00,31.9,R ugm-3 (Ref.eq),11,R ugm-3 (BAM)
01/01/2022,20:00:00,41.5,R ugm-3 (Ref.eq),12,R ugm-3 (BAM)
01/01/2022,21:00:00,45.4,R ugm-3 (Ref.eq),11,R ugm-3 (BAM)
01/01/2022,22:00:00,31.9,R ugm-3 (Ref.eq),12,R ugm-3 (BAM)
01/01/2022,23:00:00,40.6,R ugm-3 (Ref.eq),11,R ugm-3 (BAM)
