Hourly Data,,London N. Kensington,,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2024,1:00:00,13.5,R ugm-3 (FIDAS),9.906,R ugm-3 (Ref.eq)
01/01/2024,2:00:00,7.8,R ugm-3 (FIDAS),4.623,R ugm-3 (Ref.eq)
01/01/2024,3:00:00,7.2,R ugm-3 (FIDAS),4.245,R ugm-3 (Ref.eq)
01/01/2024,4:00:00,7.3,R ugm-3 (FIDAS),3.774,R ugm-3 (Ref.eq)
01/01/2024,5:00:00,5.4,R ugm-3 (FIDAS),3.019,R ugm-3 (Ref.eq)
01/01/2024,6:00:00,7.7,R ugm-3 (FIDAS),4.245,R ugm-3 (Ref.eq)
01/01/2024,7:00:00,11,R ugm-3 (FIDAS),5.566,R ugm-3 (Ref.eq)
01/01/2024,8:00:00,11.5,R ugm-3 (FIDAS),6.132,R ugm-3 (Ref.eq)
01/01/2024,9:00:00,15.2,R ugm-3 (FIDAS),7.359,R ugm-3 (Ref.eq)
01/01/2024,10:00:00,14.2,R ugm-3 (FIDAS),7.264,R ugm-3 (Ref.eq)
01/01/2024,11:00:00,14.1,R ugm-3 (FIDAS),6.887,R ugm-3 (Ref.eq)
01/01/2024,12:00:00,11.8,R ugm-3 (FIDAS),5.849,R ugm-3 (Ref.eq)
01/01/2024,13:00:00,10.6,R ugm-3 (FIDAS),5.377,R ugm-3 (Ref.eq)
01/01/2024,14:00:00,9.9,R ugm-3 (FIDAS),5.094,R ugm-3 (Ref.eq)
01/01/2024,15:00:00,11.2,R ugm-3 (FIDAS),5.849,R ugm-3 (Ref.eq)
01/01/2024,16:00:00,12.6,R ugm-3 (FIDAS),6.509,R ugm-3 (Ref.eq)
01/01/2024,17:00:00,11.1,R ugm-3 (FIDAS),6.698,R ugm-3 (Ref.eq)
01/01/2024,18:00:00,6.3,R ugm-3 (FIDAS),4.34,R ugm-3 (Ref.eq)
01/01/2024,19:00:00,5.6,R ugm-3 (FIDAS),3.962,R ugm-3 (Ref.eq)
01/01/2024,20:00:00,3.2,R ugm-3 (FIDAS),2.264,R ugm-3 (Ref.eq)
01/01/2024,21:00:00,2.9,R ugm-3 (FIDAS),2.075,R ugm-3 (Ref.eq)
01/01/2024,22:00:00,1.7,R ugm-3 (FIDAS),1.226,R ugm-3 (Ref.eq)
01/01/2024,23:00:00,1.9,R ugm-3 (FIDAS),1.321,R ugm-3 (Ref.eq)
01/01/2024,24:00:00,1,R ugm-3 (FIDAS),0.566,R ugm-3 (Ref.eq)
02/01/2024,1:00:00,0.7,R ugm-3 (FIDAS),0.472,R ugm-3 (Ref.eq)
02/01/2024,2:00:00,1.2,R ugm-3 (FIDAS),0.755,R ugm-3 (Ref.eq)
