Hourly Data,,London N. Kensington,,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2019,1:00:00,21.275,R ugm-3 (FIDAS),15.849,R ugm-3 (Ref.eq)
01/01/2019,2:00:00,12.775,R ugm-3 (FIDAS),8.726,R ugm-3 (Ref.eq)
01/01/2019,3:00:00,8.8,R ugm-3 (FIDAS),4.859,R ugm-3 (Ref.eq)
01/01/2019,4:00:00,9.525,R ugm-3 (FIDAS),5.071,R ugm-3 (Ref.eq)
01/01/2019,5:00:00,9.425,R ugm-3 (FIDAS),5.212,R ugm-3 (Ref.eq)
01/01/2019,6:00:00,9.825,R ugm-3 (FIDAS),5.708,R ugm-3 (Ref.eq)
01/01/2019,7:00:00,9.8,R ugm-3 (FIDAS),5.943,R ugm-3 (Ref.eq)
01/01/2019,8:00:00,9.55,R ugm-3 (FIDAS),5.825,R ugm-3 (Ref.eq)
01/01/2019,9:00:00,9.575,R ugm-3 (FIDAS),5.873,R ugm-3 (Ref.eq)
01/01/2019,10:00:00,9.075,R ugm-3 (FIDAS),5.778,R ugm-3 (Ref.eq)
01/01/2019,11:00:00,9.625,R ugm-3 (FIDAS),5.59,R ugm-3 (Ref.eq)
01/01/2019,12:00:00,7.4,R ugm-3 (FIDAS),4.552,R ugm-3 (Ref.eq)
01/01/2019,13:00:00,5.75,R ugm-3 (FIDAS),4.08,R ugm-3 (Ref.eq)
01/01/2019,14:00:00,5.575,R ugm-3 (FIDAS),3.939,R ugm-3 (Ref.eq)
01/01/2019,15:00:00,6,R ugm-3 (FIDAS),4.269,R ugm-3 (Ref.eq)
01/01/2019,16:00:00,7.4,R ugm-3 (FIDAS),5.59,R ugm-3 (Ref.eq)
01/01/2019,17:00:00,8.9,R ugm-3 (FIDAS),6.109,R ugm-3 (Ref.eq)
01/01/2019,18:00:00,13.2,R ugm-3 (FIDAS),7.642,R ugm-3 (Ref.eq)
01/01/2019,19:00:00,15.75,R ugm-3 (FIDAS),8.491,R ugm-3 (Ref.eq)
01/01/2019,20:00:00,11.85,R ugm-3 (FIDAS),7.005,R ugm-3 (Ref.eq)
01/01/2019,21:00:00,10.175,R ugm-3 (FIDAS),5.967,R ugm-3 (Ref.eq)
01/01/2019,22:00:00,8.85,R ugm-3 (FIDAS),5.118,R ugm-3 (Ref.eq)
01/01/2019,23:00:00,11.15,R ugm-3 (FIDAS),6.014,R ugm-3 (Ref.eq)
01/01/2019,24:00:00,11.775,R ugm-3 (FIDAS),6.014,R ugm-3 (Ref.eq)
02/01/2019,1:00:00,10.55,R ugm-3 (FIDAS),5.684,R ugm-3 (Ref.eq)
02/01/2019,2:00:00,12,R ugm-3 (FIDAS),6.061,R ugm-3 (Ref.eq)
02/01/2019,3:00:00,12.375,R ugm-3 (FIDAS),6.368,R ugm-3 (Ref.eq)
02/01/2019,4:00:00,13.15,R ugm-3 (FIDAS),6.439,R ugm-3 (Ref.eq)
02/01/2019,5:00:00,12.8,R ugm-3 (FIDAS),6.25,R ugm-3 (Ref.eq)
02/01/2019,6:00:00,13.75,R ugm-3 (FIDAS),6.486,R ugm-3 (Ref.eq)
02/01/2019,7:00:00,12.5,R ugm-3 (FIDAS),6.109,R ugm-3 (Ref.eq)
02/01/2019,8:00:00,14.375,R ugm-3 (FIDAS),6.533,R ugm-3 (Ref.eq)
02/01/2019,9:00:00,13.875,R ugm-3 (FIDAS),6.604,R ugm-3 (Ref.eq)
02/01/2019,10:00:00,13.225,R ugm-3 (FIDAS),6.58,R ugm-3 (Ref.eq)
02/01/2019,11:00:00,13.425,R ugm-3 (FIDAS),6.675,R ugm-3 (Ref.eq)
02/01/2019,12:00:00,13.375,R ugm-3 (FIDAS),6.675,R ugm-3 (Ref.eq)
02/01/2019,13:00:00,12.95,R ugm-3 (FIDAS),6.486,R ugm-3 (Ref.eq)
02/01/2019,14:00:00,11.975,R ugm-3 (FIDAS),5.967,R ugm-3 (Ref.eq)
02/01/2019,15:00:00,11.6,R ugm-3 (FIDAS),6.061,R ugm-3 (Ref.eq)
02/01/2019,16:00:00,12.975,R ugm-3 (FIDAS),6.651,R ugm-3 (Ref.eq)
02/01/2019,17:00:00,10.3,R ugm-3 (FIDAS),5.542,R ugm-3 (Ref.eq)
02/01/2019,18:00:00,12.975,R ugm-3 (FIDAS),7.594,R ugm-3 (Ref.eq)
