Hourly Data,,London N. Kensington,,,
End Date,End Time,PM10,Status/units,PM25,Status/units
01/01/2022,1:00:00,14.9,R ugm-3 (FIDAS),12.076,R ugm-3 (Ref.eq)
01/01/2022,2:00:00,16.3,R ugm-3 (FIDAS),12.642,R ugm-3 (Ref.eq)
01/01/2022,3:00:00,15.4,R ugm-3 (FIDAS),11.604,R ugm-3 (Ref.eq)
01/01/2022,4:00:00,13.6,R ugm-3 (FIDAS),10.189,R ugm-3 (Ref.eq)
01/01/2022,5:00:00,10.9,R ugm-3 (FIDAS),8.302,R ugm-3 (Ref.eq)
01/01/2022,6:00:00,9.3,R ugm-3 (FIDAS),6.698,R ugm-3 (Ref.eq)
01/01/2022,7:00:00,10.3,R ugm-3 (FIDAS),6.887,R ugm-3 (Ref.eq)
01/01/2022,8:00:00,10,R ugm-3 (FIDAS),6.887,R ugm-3 (Ref.eq)
01/01/2022,9:00:00,9.2,R ugm-3 (FIDAS),5.943,R ugm-3 (Ref.eq)
01/01/2022,10:00:00,10.3,R ugm-3 (FIDAS),6.415,R ugm-3 (Ref.eq)
01/01/2022,11:00:00,11.9,R ugm-3 (FIDAS),6.792,R ugm-3 (Ref.eq)
01/01/2022,12:00:00,15.3,R ugm-3 (FIDAS),8.208,R ugm-3 (Ref.eq)
01/01/2022,13:00:00,18.4,R ugm-3 (FIDAS),9.245,R ugm-3 (Ref.eq)
01/01/2022,14:00:00,18,R ugm-3 (FIDAS),10.094,R ugm-3 (Ref.eq)
01/01/2022,15:00:00,19.2,R ugm-3 (FIDAS),11.226,R ugm-3 (Ref.eq)
01/01/2022,16:00:00,20.5,R ugm-3 (FIDAS),11.415,R ugm-3 (Ref.eq)
01/01/2022,17:00:00,24.9,R ugm-3 (FIDAS),13.491,R ugm-3 (Ref.eq)
01/01/2022,18:00:00,23,R ugm-3 (FIDAS),12.925,R ugm-3 (Ref.eq)
01/01/2022,19:00:00,23,R ugm-3 (FIDAS),13.019,R ugm-3 (Ref.eq)
01/01/2022,20:00:00,23.4,R ugm-3 (FIDAS),14.057,R ugm-3 (Ref.eq)
01/01/2022,21:00:00,22.6,R ugm-3 (FIDAS),13.491,R ugm-3 (Ref.eq)
01/01/2022,22:00:00,24.3,R ugm-3 (FIDAS),13.679,R ugm-3 (Ref.eq)
01/01/2022,23:00:00,24,R ugm-3 (FIDAS),13.585,R ugm-3 (Ref.eq)
01/01/2022,24:00:00,21.5,R ugm-3 (FIDAS),12.453,R ugm-3 (Ref.eq)
02/01/2022,1:00:00,9.4,R ugm-3 (FIDAS),6.226,R ugm-3 (Ref.eq)
02/01/2022,2:00:00,6.2,R ugm-3 (FIDAS),4.245,R ugm-3 (Ref.eq)
02/01/2022,3:00:00,7.4,R ugm-3 (FIDAS),4.717,R ugm-3 (Ref.eq)
02/01/2022,4:00:00,6.6,R ugm-3 (FIDAS),4.34,R ugm-3 (Ref.eq)
02/01/2022,5:00:00,4,R ugm-3 (FIDAS),2.736,R ugm-3 (Ref.eq)
02/01/2022,6:00:00,6.3,R ugm-3 (FIDAS),4.057,R ugm-3 (Ref.eq)
02/01/2022,7:00:00,4.1,R ugm-3 (FIDAS),2.547,R ugm-3 (Ref.eq)
02/01/2022,8:00:00,3.8,R ugm-3 (FIDAS),2.075,R ugm-3 (Ref.eq)
02/01/2022,9:00:00,4.7,R ugm-3 (FIDAS),2.359,R ugm-3 (Ref.eq)
02/01/2022,10:00:00,4,R ugm-3 (FIDAS),2.17,R ugm-3 (Ref.eq)
02/01/2022,11:00:00,3.3,R ugm-3 (FIDAS),1.887,R ugm-3 (Ref.eq)
02/01/2022,12:00:00,3.5,R ugm-3 (FIDAS),2.075,R ugm-3 (Ref.eq)
02/01/2022,13:00:00,4.1,R ugm-3 (FIDAS),2.075,R ugm-3 (Ref.eq)
02/01/2022,14:00:00,5.7,R ugm-3 (FIDAS),3.113,R ugm-3 (Ref.eq)
02/01/2022,15:00:00,7.1,R ugm-3 (FIDAS),4.151,R ugm-3 (Ref.eq)
02/01/2022,16:00:00,4.9,R ugm-3 (FIDAS),3.113,R ugm-3 (Ref.eq)
02/01/2022,17:00:00,4.5,R ugm-3 (FIDAS),2.642,R ugm-3 (Ref.eq)
02/01/2022,18:00:00,5.2,R ugm-3 (FIDAS),2.925,R ugm-3 (Ref.eq)
02/01/2022,19:00:00,5.8,R ugm-3 (FIDAS),3.679,R ugm-3 (Ref.eq)
02/01/2022,20:00:00,6.8,R ugm-3 (FIDAS),4.057,R ugm-3 (Ref.eq)
02/01/2022,21:00:00,6.7,R ugm-3 (FIDAS),3.962,R ugm-3 (Ref.eq)
02/01/2022,22:00:00,9.3,R ugm-3 (FIDAS),4.811,R ugm-3 (Ref.eq)
02/01/2022,23:00:00,11.6,R ugm-3 (FIDAS),6.321,R ugm-3 (Ref.eq)
02/01/2022,24:00:00,15,R ugm-3 (FIDAS),8.302,R ugm-3 (Ref.eq)
03/01/2022,1:00:00,17.3,R ugm-3 (FIDAS),8.774,R ugm-3 (Ref.eq)
03/01/2022,2:00:00,16.7,R ugm-3 (FIDAS),8.868,R ugm-3 (Ref.eq)
03/01/2022,3:00:00,16,R ugm-3 (FIDAS),8.585,R ugm-3 (Ref.eq)
03/01/2022,4:00:00,13.9,R ugm-3 (FIDAS),7.642,R ugm-3 (Ref.eq)
03/01/2022,5:00:00,13.4,R ugm-3 (FIDAS),7.264,R ugm-3 (Ref.eq)
03/01/2022,6:00:00,14.4,R ugm-3 (FIDAS),7.453,R ugm-3 (Ref.eq)
03/01/2022,7:00:00,16,R ugm-3 (FIDAS),8.302,R ugm-3 (Ref.eq)
03/01/2022,8:00:00,18.6,R ugm-3 (FIDAS),9.717,R ugm-3 (Ref.eq)
03/01/2022,9:00:00,19.2,R ugm-3 (FIDAS),10,R ugm-3 (Ref.eq)
03/01/2022,10:00:00,12.1,R ugm-3 (FIDAS),6.509,R ugm-3 (Ref.eq)
03/01/2022,11:00:00,8.2,R ugm-3 (FIDAS),3.868,R ugm-3 (Ref.eq)
03/01/2022,12:00:00,7.9,R ugm-3 (FIDAS),3.962,R ugm-3 (Ref.eq)
03/01/2022,13:00:00,9.3,R ugm-3 (FIDAS),4.811,R ugm-3 (Ref.eq)
03/01/2022,14:00:00,10.8,R ugm-3 (FIDAS),5.377,R ugm-3 (Ref.eq)
03/01/2022,15:00:00,10.4,R ugm-3 (FIDAS),5.189,R ugm-3 (Ref.eq)
03/01/2022,16:00:00,10.3,R ugm-3 (FIDAS),5.377,R ugm-3 (Ref.eq)
03/01/2022,17:00:00,12,R ugm-3 (FIDAS),6.415,R ugm-3 (Ref.eq)
03/01/2022,18:00:00,14.6,R ugm-3 (FIDAS),7.925,R ugm-3 (Ref.eq)
03/01/2022,19:00:00,16.2,R ugm-3 (FIDAS),9.151,R ugm-3 (Ref.eq)
03/01/2022,20:00:00,15,R ugm-3 (FIDAS),8.774,R ugm-3 (Ref.eq)
03/01/2022,21:00:00,15.1,R ugm-3 (FIDAS),8.868,R ugm-3 (Ref.eq)
03/01/2022,22:00:00,15.6,R ugm-3 (FIDAS),9.34,R ugm-3 (Ref.eq)
03/01/2022,23:00:00,14.8,R ugm-3 (FIDAS),8.585,R ugm-3 (Ref.eq)
03/01/2022,24:00:00,13.4,R ugm-3 (FIDAS),7.736,R ugm-3 (Ref.eq)
04/01/2022,1:00:00,13.4,R ugm-3 (FIDAS),7.547,R ugm-3 (Ref.eq)
04/01/2022,2:00:00,12.7,R ugm-3 (FIDAS),7.264,R ugm-3 (Ref.eq)
04/01/2022,3:00:00,12.3,R ugm-3 (FIDAS),6.887,R ugm-3 (Ref.eq)
04/01/2022,4:00:00,11.9,R ugm-3 (FIDAS),6.698,R ugm-3 (Ref.eq)
04/01/2022,5:00:00,10.9,R ugm-3 (FIDAS),6.226,R ugm-3 (Ref.eq)
04/01/2022,6:00:00,11.4,R ugm-3 (FIDAS),6.321,R ugm-3 (Ref.eq)
04/01/2022,7:00:00,11.1,R ugm-3 (FIDAS),6.226,R ugm-3 (Ref.eq)
04/01/2022,8:00:00,11.4,R ugm-3 (FIDAS),6.226,R ugm-3 (Ref.eq)
04/01/2022,9:00:00,12.4,R ugm-3 (FIDAS),6.509,R ugm-3 (Ref.eq)
04/01/2022,10:00:00,6.6,R ugm-3 (FIDAS),3.774,R ugm-3 (Ref.eq)
04/01/2022,11:00:00,1.4,R ugm-3 (FIDAS),0.66,R ugm-3 (Ref.eq)
04/01/2022,12:00:00,2.3,R ugm-3 (FIDAS),1.415,R ugm-3 (Ref.eq)
04/01/2022,13:00:00,3.8,R ugm-3 (FIDAS),2.453,R ugm-3 (Ref.eq)
04/01/2022,14:00:00,5.4,R ugm-3 (FIDAS),3.019,R ugm-3 (Ref.eq)
04/01/2022,15:00:00,6.9,R ugm-3 (FIDAS),3.491,R ugm-3 (Ref.eq)
04/01/2022,16:00:00,7.4,R ugm-3 (FIDAS),3.774,R ugm-3 (Ref.eq)
04/01/2022,17:00:00,7.3,R ugm-3 (FIDAS),3.962,R ugm-3 (Ref.eq)
04/01/2022,18:00:00,9.4,R ugm-3 (FIDAS),5.283,R ugm-3 (Ref.eq)
04/01/2022,19:00:00,12.8,R ugm-3 (FIDAS),6.887,R ugm-3 (Ref.eq)
04/01/2022,20:00:00,13.8,R ugm-3 (FIDAS),7.642,R ugm-3 (Ref.eq)
04/01/2022,21:00:00,14.4,R ugm-3 (FIDAS),8.302,R ugm-3 (Ref.eq)
04/01/2022,22:00:00,12.8,R ugm-3 (FIDAS),7.17,R ugm-3 (Ref.eq)
04/01/2022,23:00:00,9.9,R ugm-3 (FIDAS),5.283,R ugm-3 (Ref.eq)
04/01/2022,24:00:00,7,R ugm-3 (FIDAS),4.151,R ugm-3 (Ref.eq)
05/01/2022,1:00:00,8.7,R ugm-3 (FIDAS),4.434,R ugm-3 (Ref.eq)
05/01/2022,2:00:00,7.9,R ugm-3 (FIDAS),4.34,R ugm-3 (Ref.eq)
05/01/2022,3:00:00,7.7,R ugm-3 (FIDAS),4.151,R ugm-3 (Ref.eq)
05/01/2022,4:00:00,6.8,R ugm-3 (FIDAS),3.868,R ugm-3 (Ref.eq)
05/01/2022,5:00:00,9.1,R ugm-3 (FIDAS),4.528,R ugm-3 (Ref.eq)
05/01/2022,6:00:00,8.9,R ugm-3 (FIDAS),4.811,R ugm-3 (Ref.eq)
05/01/2022,7:00:00,9.5,R ugm-3 (FIDAS),4.906,R ugm-3 (Ref.eq)
05/01/2022,8:00:00,9.3,R ugm-3 (FIDAS),4.906,R ugm-3 (Ref.eq)
05/01/2022,9:00:00,11.7,R ugm-3 (FIDAS),5.472,R ugm-3 (Ref.eq)
05/01/2022,10:00:00,13.8,R ugm-3 (FIDAS),6.226,R ugm-3 (Ref.eq)
05/01/2022,11:00:00,12.6,R ugm-3 (FIDAS),5.943,R ugm-3 (Ref.eq)
05/01/2022,12:00:00,13.1,R ugm-3 (FIDAS),6.321,R ugm-3 (Ref.eq)
05/01/2022,13:00:00,12.5,R ugm-3 (FIDAS),5.755,R ugm-3 (Ref.eq)
05/01/2022,14:00:00,11.3,R ugm-3 (FIDAS),5.377,R ugm-3 (Ref.eq)
05/01/2022,15:00:00,10.3,R ugm-3 (FIDAS),5.094,R ugm-3 (Ref.eq)
05/01/2022,16:00:00,12.4,R ugm-3 (FIDAS),5.66,R ugm-3 (Ref.eq)
05/01/2022,17:00:00,11.9,R ugm-3 (FIDAS),6.132,R ugm-3 (Ref.eq)
05/01/2022,18:00:00,18.8,R ugm-3 (FIDAS),9.34,R ugm-3 (Ref.eq)
05/01/2022,19:00:00,20,R ugm-3 (FIDAS),11.226,R ugm-3 (Ref.eq)
05/01/2022,20:00:00,18.7,R ugm-3 (FIDAS),12.076,R ugm-3 (Ref.eq)
05/01/2022,21:00:00,18.6,R ugm-3 (FIDAS),12.83,R ugm-3 (Ref.eq)
05/01/2022,22:00:00,18.2,R ugm-3 (FIDAS),13.208,R ugm-3 (Ref.eq)
05/01/2022,23:00:00,17.7,R ugm-3 (FIDAS),13.585,R ugm-3 (Ref.eq)
05/01/2022,24:00:00,18.9,R ugm-3 (FIDAS),14.434,R ugm-3 (Ref.eq)
06/01/2022,1:00:00,19.8,R ugm-3 (FIDAS),14.811,R ugm-3 (Ref.eq)
