Date,NO_value,NO2_value,PM10_value,PM25_value,pedal_cycles_major,two_wheeled_motor_vehicles_major,cars_and_taxis_major,buses_and_coaches_major,lgvs_major,hgvs_2_rigid_axle_major,hgvs_3_rigid_axle_major,hgvs_4_or_more_rigid_axle_major,hgvs_3_or_4_articulated_axle_major,hgvs_5_articulated_axle_major,hgvs_6_articulated_axle_major,pedal_cycles_minor,two_wheeled_motor_vehicles_minor,cars_and_taxis_minor,buses_and_coaches_minor,lgvs_minor,hgvs_2_rigid_axle_minor,hgvs_3_rigid_axle_minor,hgvs_4_or_more_rigid_axle_minor,hgvs_3_or_4_articulated_axle_minor,hgvs_5_articulated_axle_minor,hgvs_6_articulated_axle_minor,EntryTapCount,ExitTapCount
2018-01-01,4.8,18.6,10.0,11.825,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,5.0,23.6,15.0,6.55,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,4.0,13.9,23.0,6.775,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,15.9,27.5,13.0,5.725,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,16.9,38.3,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,75.1,66.3,26.0,6.075,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,22.0,31.1,15.0,8.35,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,43.6,48.3,23.0,10.025,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,59.1,47.4,36.0,11.275,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,54.6,54.3,22.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,135.0,77.9,34.0,8.025,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,54.2,51.3,29.0,10.125,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,25.4,36.9,29.0,14.425,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,37.3,44.0,31.0,13.25,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,21.2,31.8,10.0,15.65,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,4.9,19.7,9.0,10.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,6.9,22.7,13.0,15.175,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,8.4,26.6,10.0,13.466666666666669,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,8.8,33.0,12.0,8.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,46.3,62.8,13.0,7.833333333333333,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-21,32.0,48.5,15.0,11.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,24.4,45.8,17.0,11.75,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,4.5,17.5,9.0,13.95,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,3.1,16.0,9.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,7.9,27.7,17.0,17.575,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,110.0,85.1,33.0,10.625,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-27,9.6,30.5,15.0,10.275,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-28,2.1,10.9,6.0,10.525,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,21.8,34.6,14.0,9.25,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,31.3,51.2,19.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,5.4,21.4,8.0,7.975,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,31.4,46.4,26.0,10.25,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,66.7,64.4,39.0,5.95,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,32.0,55.8,16.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,27.6,36.2,14.0,6.325,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,52.9,53.2,28.0,8.075000000000001,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,78.8,71.1,40.0,11.125,,,,,,,,,,,,,,,,,,,,,,,,
