Date,NO_value,NO2_value,PM10_value,PM25_value,pedal_cycles_major,two_wheeled_motor_vehicles_major,cars_and_taxis_major,buses_and_coaches_major,lgvs_major,hgvs_2_rigid_axle_major,hgvs_3_rigid_axle_major,hgvs_4_or_more_rigid_axle_major,hgvs_3_or_4_articulated_axle_major,hgvs_5_articulated_axle_major,hgvs_6_articulated_axle_major,pedal_cycles_minor,two_wheeled_motor_vehicles_minor,cars_and_taxis_minor,buses_and_coaches_minor,lgvs_minor,hgvs_2_rigid_axle_minor,hgvs_3_rigid_axle_minor,hgvs_4_or_more_rigid_axle_minor,hgvs_3_or_4_articulated_axle_minor,hgvs_5_articulated_axle_minor,hgvs_6_articulated_axle_minor,EntryTapCount,ExitTapCount
2018-01-01,32.7,44.0,33.0,7.45,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,56.0,53.9,55.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,28.7,39.3,46.0,6.449999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,51.6,53.8,24.0,6.55,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,67.3,73.8,47.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,53.0,63.6,31.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,14.3,27.8,17.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,28.1,36.4,30.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,99.4,60.1,49.2,6.15,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,113.6,83.5,38.0,5.550000000000001,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,74.4,55.9,33.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,88.7,63.6,46.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,27.2,38.4,36.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,42.6,51.9,32.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,48.5,57.2,12.0,7.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,40.3,55.3,18.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,44.6,54.9,25.0,21.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,44.3,56.8,20.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,60.9,69.6,24.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,42.9,65.2,14.0,7.949999999999999,,,,,,,,,,,,,,,,,,,,,,,,
