Date,NO_value,NO2_value,PM10_value,PM25_value,pedal_cycles_major,two_wheeled_motor_vehicles_major,cars_and_taxis_major,buses_and_coaches_major,lgvs_major,hgvs_2_rigid_axle_major,hgvs_3_rigid_axle_major,hgvs_4_or_more_rigid_axle_major,hgvs_3_or_4_articulated_axle_major,hgvs_5_articulated_axle_major,hgvs_6_articulated_axle_major,pedal_cycles_minor,two_wheeled_motor_vehicles_minor,cars_and_taxis_minor,buses_and_coaches_minor,lgvs_minor,hgvs_2_rigid_axle_minor,hgvs_3_rigid_axle_minor,hgvs_4_or_more_rigid_axle_minor,hgvs_3_or_4_articulated_axle_minor,hgvs_5_articulated_axle_minor,hgvs_6_articulated_axle_minor,EntryTapCount,ExitTapCount
2018-03-01,4.6,34.7,24.2,29.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-02,7.4,41.2,29.2,38.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,15.7,48.0,27.6,63.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,35.1,55.3,18.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,23.9,57.6,16.8,12.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,49.8,66.9,16.5,14.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,63.4,76.6,18.75,14.25,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-08,49.2,61.9,28.25,16.46666666666667,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,21.700000000000003,41.05,23.75,12.933333333333332,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10,21.200000000000003,34.2,17.25,15.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-11,23.15,41.3,21.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,26.55,40.7,18.75,10.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-13,44.6,59.3,21.0,13.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,15.2,51.0,15.25,11.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-15,15.1,54.4,17.2,11.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,34.6,61.3,22.4,13.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-17,12.2,40.9,19.4,11.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-18,9.3,35.6,22.2,17.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,16.1,53.3,20.6,10.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,54.3,77.5,20.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-21,59.5,73.8,25.75,10.633333333333333,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22,38.8,63.6,29.75,14.933333333333332,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23,22.9,55.1,33.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24,25.2,51.9,35.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,53.2,66.8,30.75,25.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,55.2,75.8,25.25,11.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,28.1,56.2,19.25,11.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28,52.9,74.8,25.0,11.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29,19.6,57.7,29.4,11.3,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,14.4,52.1,33.4,9.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,41.5,51.2,25.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,25.6,49.2,20.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,17.8,47.8,16.8,13.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03,20.7,51.5,17.0,11.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-04,16.0,47.3,20.8,10.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05,26.2,52.0,19.4,7.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,18.1,53.1,14.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07,23.5,59.1,23.4,21.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,45.5,63.3,30.0,18.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09,28.6,57.6,28.2,27.466666666666665,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10,20.0,58.4,20.8,22.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-11,70.8,60.7,21.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-12,71.7,59.4,21.4,29.3,,,,,,,,,,,,,,,,,,,,,,,,
