Hourly Data,,RBKC Kensington High Street 2 (sensor),,,
End Date,End Time,PM10,Status/units,PM25,Status/units
26/05/2021,1:00:00,,,,
26/05/2021,2:00:00,,,,
26/05/2021,3:00:00,,,,
26/05/2021,4:00:00,,,,
26/05/2021,5:00:00,,,,
26/05/2021,6:00:00,,,,
26/05/2021,7:00:00,,,,
26/05/2021,8:00:00,,,,
26/05/2021,9:00:00,,,,
26/05/2021,10:00:00,,,,
26/05/2021,11:00:00,,,,
26/05/2021,12:00:00,12.6,R ugm-3,1.7,R ugm-3
26/05/2021,13:00:00,10.6,R ugm-3,1.2,R ugm-3
26/05/2021,14:00:00,17.8,R ugm-3,1.5,R ugm-3
26/05/2021,15:00:00,41.5,R ugm-3,3.7,R ugm-3
26/05/2021,16:00:00,58.6,R ugm-3,4.5,R ugm-3
26/05/2021,17:00:00,21.1,R ugm-3,2.1,R ugm-3
26/05/2021,18:00:00,18,R ugm-3,1.9,R ugm-3
26/05/2021,19:00:00,19.2,R ugm-3,1.6,R ugm-3
26/05/2021,20:00:00,25.2,R ugm-3,1.9,R ugm-3
26/05/2021,21:00:00,14.8,R ugm-3,1.5,R ugm-3
26/05/2021,22:00:00,10.1,R ugm-3,1.2,R ugm-3
26/05/2021,23:00:00,9.5,R ugm-3,1,R ugm-3
26/05/2021,24:00:00,7.6,R ugm-3,0.9,R ugm-3
27/05/2021,1:00:00,6.1,R ugm-3,0.6,R ugm-3
27/05/2021,2:00:00,5.6,R ugm-3,0.4,R ugm-3
27/05/2021,3:00:00,4.3,R ugm-3,0.4,R ugm-3
27/05/2021,4:00:00,4.4,R ugm-3,0.2,R ugm-3
27/05/2021,5:00:00,7.8,R ugm-3,0.2,R ugm-3
27/05/2021,6:00:00,8.8,R ugm-3,0.5,R ugm-3
27/05/2021,7:00:00,11.5,R ugm-3,0.9,R ugm-3
27/05/2021,8:00:00,36.7,R ugm-3,2.3,R ugm-3
27/05/2021,9:00:00,27.1,R ugm-3,2.2,R ugm-3
27/05/2021,10:00:00,44,R ugm-3,3.9,R ugm-3
27/05/2021,11:00:00,25.9,R ugm-3,2.1,R ugm-3
27/05/2021,12:00:00,38.1,R ugm-3,3.2,R ugm-3
27/05/2021,13:00:00,21.3,R ugm-3,2.3,R ugm-3
27/05/2021,14:00:00,26.1,R ugm-3,2.2,R ugm-3
27/05/2021,15:00:00,34.8,R ugm-3,3.4,R ugm-3
27/05/2021,16:00:00,27.9,R ugm-3,3,R ugm-3
27/05/2021,17:00:00,32.8,R ugm-3,2.5,R ugm-3
27/05/2021,18:00:00,22.7,R ugm-3,1.9,R ugm-3
27/05/2021,19:00:00,21.8,R ugm-3,2.1,R ugm-3
27/05/2021,20:00:00,12.7,R ugm-3,1.7,R ugm-3
27/05/2021,21:00:00,13,R ugm-3,1.2,R ugm-3
27/05/2021,22:00:00,10.3,R ugm-3,1,R ugm-3
27/05/2021,23:00:00,11.1,R ugm-3,1,R ugm-3
27/05/2021,24:00:00,9.3,R ugm-3,0.9,R ugm-3
28/05/2021,1:00:00,7.2,R ugm-3,0.7,R ugm-3
28/05/2021,2:00:00,5.5,R ugm-3,0.6,R ugm-3
28/05/2021,3:00:00,3.9,R ugm-3,0.6,R ugm-3
28/05/2021,4:00:00,2.7,R ugm-3,0.5,R ugm-3
28/05/2021,5:00:00,4.9,R ugm-3,0.6,R ugm-3
28/05/2021,6:00:00,4.6,R ugm-3,0.8,R ugm-3
28/05/2021,7:00:00,8.5,R ugm-3,1.1,R ugm-3
28/05/2021,8:00:00,13.4,R ugm-3,1.3,R ugm-3
28/05/2021,9:00:00,18.1,R ugm-3,1.9,R ugm-3
28/05/2021,10:00:00,23.7,R ugm-3,2.2,R ugm-3
28/05/2021,11:00:00,20.7,R ugm-3,2.1,R ugm-3
28/05/2021,12:00:00,29,R ugm-3,2.7,R ugm-3
28/05/2021,13:00:00,13.2,R ugm-3,1.6,R ugm-3
28/05/2021,14:00:00,16.4,R ugm-3,2,R ugm-3
28/05/2021,15:00:00,36.7,R ugm-3,3.2,R ugm-3
28/05/2021,16:00:00,16.4,R ugm-3,1,R ugm-3
28/05/2021,17:00:00,14.5,R ugm-3,1.1,R ugm-3
28/05/2021,18:00:00,7.6,R ugm-3,0.7,R ugm-3
28/05/2021,19:00:00,5.7,R ugm-3,0.6,R ugm-3
28/05/2021,20:00:00,9.4,R ugm-3,1,R ugm-3
28/05/2021,21:00:00,9.5,R ugm-3,1.4,R ugm-3
28/05/2021,22:00:00,10.3,R ugm-3,1.5,R ugm-3
28/05/2021,23:00:00,9.8,R ugm-3,1.5,R ugm-3
28/05/2021,24:00:00,9.5,R ugm-3,1.4,R ugm-3
29/05/2021,1:00:00,9.3,R ugm-3,1.7,R ugm-3
29/05/2021,2:00:00,7.4,R ugm-3,1.2,R ugm-3
29/05/2021,3:00:00,5.1,R ugm-3,0.9,R ugm-3
29/05/2021,4:00:00,4.3,R ugm-3,0.9,R ugm-3
29/05/2021,5:00:00,5.4,R ugm-3,1.1,R ugm-3
29/05/2021,6:00:00,5.3,R ugm-3,1.1,R ugm-3
29/05/2021,7:00:00,7.5,R ugm-3,1.3,R ugm-3
29/05/2021,8:00:00,9.5,R ugm-3,1.3,R ugm-3
29/05/2021,9:00:00,12.8,R ugm-3,1.8,R ugm-3
29/05/2021,10:00:00,13.7,R ugm-3,1.5,R ugm-3
29/05/2021,11:00:00,17.4,R ugm-3,1.7,R ugm-3
29/05/2021,12:00:00,14.8,R ugm-3,1.8,R ugm-3
29/05/2021,13:00:00,12.4,R ugm-3,1.7,R ugm-3
29/05/2021,14:00:00,12.3,R ugm-3,1.8,R ugm-3
29/05/2021,15:00:00,13,R ugm-3,1.8,R ugm-3
29/05/2021,16:00:00,14.4,R ugm-3,1.8,R ugm-3
29/05/2021,17:00:00,13.4,R ugm-3,1.8,R ugm-3
29/05/2021,18:00:00,9,R ugm-3,1.6,R ugm-3
29/05/2021,19:00:00,7.8,R ugm-3,1.2,R ugm-3
29/05/2021,20:00:00,7.9,R ugm-3,1.2,R ugm-3
29/05/2021,21:00:00,7.4,R ugm-3,1.1,R ugm-3
29/05/2021,22:00:00,7.4,R ugm-3,1.1,R ugm-3
29/05/2021,23:00:00,6.6,R ugm-3,1.1,R ugm-3
29/05/2021,24:00:00,6.1,R ugm-3,1,R ugm-3
30/05/2021,1:00:00,5.5,R ugm-3,0.8,R ugm-3
30/05/2021,2:00:00,3.1,R ugm-3,0.6,R ugm-3
30/05/2021,3:00:00,2.4,R ugm-3,0.4,R ugm-3
