Date,PM25_weighted_value(ug m-3)
2018-10-09,18.1
2018-10-10,40.4
2018-10-11,16.5
2018-10-12,11.9
2018-10-13,13.7
2018-10-14,7.699999999999999
2018-10-15,6.7
2018-10-16,22.8
2018-10-17,15.8
2018-10-18,11.9
2018-10-19,15.8
2018-10-20,34.3
2018-10-21,21.3
2018-10-22,11.4
2018-10-23,13.9
2018-10-24,14.3
2018-10-25,15.6
2018-10-26,8.8
2018-10-27,4.7
2018-10-28,5.4
2018-10-29,5.8
2018-10-30,12.9
2018-10-31,19.0
2018-11-01,18.9
2018-11-02,20.8
2018-11-03,18.0
2018-11-04,20.1
2018-11-05,44.1
2018-11-06,25.3
2018-11-07,11.9
2018-11-08,12.1
2018-11-09,13.0
2018-11-10,13.5
2018-11-11,11.4
2018-11-12,13.2
2018-11-13,14.3
2018-11-14,15.4
2018-11-15,25.5
2018-11-16,18.3
2018-11-17,25.9
2018-11-18,15.0
2018-11-19,7.1
2018-11-20,12.9
2018-11-21,25.8
2018-11-22,44.0
2018-11-23,39.2
2018-11-24,26.3
2018-11-25,19.1
2018-11-26,12.0
2018-11-27,20.9
2018-11-28,12.1
2018-11-29,10.8
2018-11-30,14.8
2018-12-01,11.9
2018-12-02,9.2
2018-12-03,11.3
2018-12-04,17.9
2018-12-05,15.0
2018-12-06,14.0
2018-12-07,10.8
2018-12-08,11.3
2018-12-09,7.4
2018-12-10,12.8
2018-12-11,22.2
2018-12-12,17.6
2018-12-13,21.2
2018-12-14,26.7
2018-12-15,23.1
2018-12-16,12.6
2018-12-17,15.9
2018-12-18,13.1
2018-12-19,12.3
2018-12-20,12.8
2018-12-21,13.5
2018-12-22,13.8
2018-12-23,9.2
2018-12-24,17.4
2018-12-25,25.8
2018-12-26,19.7
2018-12-27,42.7
2018-12-28,33.1
2018-12-29,15.9
2018-12-30,15.6
2018-12-31,10.3
2019-01-01,9.6
2019-01-02,8.2
2019-01-03,11.4
2019-01-04,26.2
2019-01-05,23.8
2019-01-06,20.1
2019-01-07,15.5
2019-01-08,9.1
2019-01-09,9.0
2019-01-10,27.7
2019-01-11,18.4
2019-01-12,10.8
2019-01-13,8.1
2019-01-14,10.4
2019-01-15,13.3
2019-01-16,10.9
2019-01-17,9.3
2019-01-18,15.3
2019-01-19,16.1
2019-01-20,28.7
2019-01-21,38.6
2019-01-22,14.799999999999999
2019-01-23,12.066666666666668
2019-01-24,33.9
2019-01-25,24.0
2019-01-26,11.3
2019-01-27,7.5
2019-01-28,10.2
2019-01-29,15.0
2019-01-30,14.4
2019-01-31,25.7
2019-02-01,9.566666666666666
2019-02-02,9.466666666666667
2019-02-03,10.566666666666666
2019-02-04,15.1
2019-02-05,10.866666666666667
2019-02-06,18.5
