Date,PM25_weighted_value(ug m-3)
2018-01-01,5.8
2018-01-02,8.8
2018-01-03,9.2
2018-01-04,7.2
2018-01-05,6.4
2018-01-06,17.5
2018-01-07,5.6
2018-01-08,13.9
2018-01-09,25.7
2018-01-10,11.6
2018-01-11,22.4
2018-01-12,19.7
2018-01-13,21.3
2018-01-14,22.7
2018-01-15,6.3
2018-01-16,3.4
2018-01-17,5.1
2018-01-18,2.4
2018-01-19,4.3
2018-01-20,7.0
2018-01-21,11.4
2018-01-22,15.5
2018-01-23,13.75
2018-01-24,14.199999999999998
2018-01-25,17.45
2018-01-26,9.0
2018-01-27,6.275
2018-01-28,6.033333333333334
2018-01-29,7.233333333333333
2018-01-30,10.3
2018-01-31,3.8
2018-02-01,4.9
2018-02-02,7.8
2018-02-03,11.7
2018-02-04,6.5
2018-02-05,8.8
2018-02-06,16.0
2018-02-07,8.7
2018-02-08,8.8
2018-02-09,4.1
2018-02-10,6.0
2018-02-11,2.3
2018-02-12,4.4
2018-02-13,5.5
2018-02-14,8.1
2018-02-15,6.2
2018-02-16,6.9
2018-02-17,14.0
2018-02-18,12.9
2018-02-19,12.9
2018-02-20,7.1
2018-02-21,36.0
2018-02-22,22.9
2018-02-23,19.7
2018-02-24,25.2
2018-02-25,8.3
2018-02-26,16.599999999999998
2018-02-27,18.25
2018-02-28,17.1
2018-03-01,28.6
2018-03-02,38.0
2018-03-03,63.0
2018-03-04,18.2
2018-03-05,8.0
2018-03-06,5.7
2018-03-07,11.4
2018-03-08,2.7
2018-03-09,9.1
2018-03-10,10.9
2018-03-11,13.9
2018-03-12,8.0
2018-03-13,8.3
2018-03-14,6.5
2018-03-15,6.0
2018-03-16,8.7
2018-03-17,12.4
2018-03-18,18.8
2018-03-19,12.3
2018-03-20,7.2
2018-03-21,11.9
2018-03-22,8.1
2018-03-23,6.8
2018-03-24,22.3
2018-03-25,25.0
2018-03-26,5.4
2018-03-27,4.4
2018-03-28,4.0
2018-03-29,4.1
2018-03-30,5.8
2018-03-31,5.7
2018-04-01,9.0
2018-04-02,7.0
2018-04-03,5.6
2018-04-04,5.0
2018-04-05,2.8
2018-04-06,9.7
2018-04-07,18.1
2018-04-08,14.9
2018-04-09,19.0
2018-04-10,24.8
2018-04-11,37.2
2018-04-12,29.2
2018-04-13,18.3
2018-04-14,32.4
2018-04-15,21.7
2018-04-16,5.5
2018-04-17,4.8
2018-04-18,10.3
2018-04-19,27.2
2018-04-20,18.4
2018-04-21,31.2
2018-04-22,18.5
2018-04-23,2.9
2018-04-24,2.9
2018-04-25,2.4
2018-04-26,3.6
2018-04-27,6.7
2018-04-28,6.0
2018-04-29,3.7
2018-04-30,4.6
2018-05-01,5.0
2018-05-02,2.4
2018-05-03,6.5
2018-05-04,9.4
2018-05-05,17.7
2018-05-06,24.9
2018-05-07,28.6
2018-05-08,25.5
2018-05-09,7.5
2018-05-10,4.0
2018-05-11,6.9
2018-05-12,6.9
2018-05-13,9.4
2018-05-14,4.8
2018-05-15,6.4
2018-05-16,7.0
2018-05-17,5.8
2018-05-18,7.1
2018-05-19,11.5
2018-05-20,16.9
2018-05-21,21.8
2018-05-22,14.0
2018-05-23,14.2
2018-05-24,18.1
2018-05-25,20.6
2018-05-26,32.0
2018-05-27,18.2
2018-05-28,29.3
2018-05-29,17.7
2018-05-30,15.1
2018-05-31,29.4
2018-06-01,16.7
2018-06-02,4.6
2018-06-03,6.0
2018-06-04,9.9
2018-06-05,4.6
2018-06-06,6.6
2018-06-07,7.2
2018-06-08,6.6
2018-06-09,8.6
2018-06-10,8.9
2018-06-11,3.3
2018-06-12,12.224999999999998
2018-06-13,7.6
2018-06-14,7.324999999999999
2018-06-15,6.4
2018-06-16,4.0
2018-06-17,3.6
2018-06-18,4.1
2018-06-19,2.3
2018-06-20,3.9
2018-06-21,3.9
2018-06-22,5.1
2018-06-23,5.3
2018-06-24,8.1
2018-06-25,9.7
2018-06-26,9.2
2018-06-27,8.4
2018-06-28,10.9
2018-06-29,9.8
2018-06-30,7.1
2018-07-01,10.3
2018-07-02,6.0
2018-07-03,6.2
2018-07-04,9.2
2018-07-05,16.8
2018-07-06,16.9
2018-07-07,20.0
2018-07-08,10.5
2018-07-09,8.5
2018-07-10,4.8
2018-07-11,8.6
2018-07-12,10.7
2018-07-13,10.5
2018-07-14,10.0
2018-07-15,9.5
2018-07-16,7.9
2018-07-17,5.0
2018-07-18,6.1000000000000005
2018-07-19,8.033333333333333
2018-07-20,7.766666666666667
2018-07-21,15.6
2018-07-22,9.5
2018-07-23,7.5
2018-07-24,8.0
2018-07-25,10.2
2018-07-26,19.9
2018-07-27,10.5
2018-07-28,4.8
2018-07-29,3.0
2018-07-30,3.1
2018-07-31,3.9
2018-08-01,4.4
2018-08-02,5.2
2018-08-03,6.6
2018-08-04,4.3
2018-08-05,5.8
2018-08-06,5.45
2018-08-07,6.675
2018-08-08,3.7
2018-08-09,6.6
2018-08-10,3.7
2018-08-11,4.5
2018-08-12,3.8
2018-08-13,5.1
2018-08-14,4.5
2018-08-15,5.5
2018-08-16,5.6
2018-08-17,4.6
2018-08-18,5.7
2018-08-19,4.9
2018-08-20,3.8
2018-08-21,4.7
2018-08-22,6.4
2018-08-23,4.0
2018-08-24,2.9
2018-08-25,3.4
2018-08-26,4.9
2018-08-27,3.3
2018-08-28,4.5
2018-08-29,7.0
2018-08-30,7.0
2018-08-31,8.7
2018-09-01,10.8
2018-09-02,13.7
2018-09-03,16.0
2018-09-04,12.7
2018-09-05,9.8
2018-09-06,9.4
2018-09-07,3.2
2018-09-08,4.1
2018-09-09,3.6
2018-09-10,4.2
2018-09-11,5.1
2018-09-12,5.4
2018-09-13,7.4
2018-09-14,3.9
2018-09-15,5.3
2018-09-16,5.0
2018-09-17,6.5
2018-09-18,5.7
2018-09-19,6.5
2018-09-20,6.8
2018-09-21,2.0
2018-09-22,4.4
2018-09-23,3.7
2018-09-24,6.0
2018-09-25,11.6
2018-09-26,8.6
2018-09-27,11.3
2018-09-28,4.9
2018-09-29,9.2
2018-09-30,8.1
2018-10-01,3.2
2018-10-02,2.9
2018-10-03,5.3
2018-10-04,8.9
2018-10-05,15.5
2018-10-06,9.2
2018-10-07,4.5
2018-10-08,4.4
2018-10-09,8.5
2018-10-10,34.5
2018-10-11,8.1
2018-10-12,4.8
2018-10-13,6.8
2018-10-14,3.8
2018-10-15,7.6
2018-10-16,13.2
2018-10-17,8.2
2018-10-18,8.6
2018-10-19,11.4
2018-10-20,22.6
2018-10-21,13.6
2018-10-22,6.9
2018-10-23,6.6
2018-10-24,8.5
2018-10-25,9.9
2018-10-26,3.0
2018-10-27,2.9
2018-10-28,3.7
2018-10-29,4.5
2018-10-30,7.3
2018-10-31,12.1
2018-11-01,10.2
2018-11-02,11.6
2018-11-03,9.9
2018-11-04,15.0
2018-11-05,39.0
2018-11-06,16.1
2018-11-07,4.2
2018-11-08,5.3
2018-11-09,6.9
2018-11-10,6.6
2018-11-11,3.9
2018-11-12,5.2
2018-11-13,4.8
2018-11-14,8.1
2018-11-15,6.366666666666667
2018-11-16,12.7
2018-11-17,21.8
2018-11-18,12.9
2018-11-19,4.6
2018-11-20,9.6
2018-11-21,20.8
2018-11-22,41.7
2018-11-23,35.4
2018-11-24,23.6
2018-11-25,17.3
2018-11-26,10.6
2018-11-27,14.1
2018-11-28,3.9
2018-11-29,17.46666666666667
2018-11-30,6.0
2018-12-01,5.7
2018-12-02,14.666666666666666
2018-12-03,11.666666666666666
2018-12-04,16.96666666666667
2018-12-05,13.833333333333334
2018-12-06,6.3
2018-12-07,4.6
2018-12-08,6.1
2018-12-09,4.5
2018-12-10,7.9
2018-12-11,20.9
2018-12-12,9.9
2018-12-13,10.966666666666667
2018-12-14,10.833333333333334
2018-12-15,8.233333333333333
2018-12-16,14.366666666666665
2018-12-17,11.4
2018-12-18,9.666666666666666
2018-12-19,4.0
2018-12-20,4.9
2018-12-21,6.8
2018-12-22,6.6
2018-12-23,3.5
2018-12-24,13.8
2018-12-25,18.4
2018-12-26,12.3
2018-12-27,35.8
2018-12-28,24.8
2018-12-29,8.7
2018-12-30,8.7
2018-12-31,4.9
2019-01-01,6.0
2019-01-02,6.5
2019-01-03,9.7
2019-01-04,22.3
2019-01-05,19.3
2019-01-06,16.2
2019-01-07,9.6
2019-01-08,8.3
2019-01-09,7.5
2019-01-10,22.2
2019-01-11,14.9
2019-01-12,6.0
2019-01-13,4.5
2019-01-14,7.3
2019-01-15,6.2
2019-01-16,5.5
2019-01-17,6.8
