Date,PM25_weighted_value(ug m-3)
2018-01-01,4.654083333333333
2018-01-02,7.637541666666666
2018-01-03,10.417666666666667
2018-01-04,5.6308333333333325
2018-01-05,6.245041666666666
2018-01-06,11.160541666666669
2018-01-07,5.2428333333333335
2018-01-08,12.818333333333332
2018-01-09,22.977708333333336
2018-01-10,11.488875
2018-01-11,18.884625
2018-01-12,15.571958333333331
2018-01-13,18.640041666666665
2018-01-14,21.234458333333333
2018-01-15,5.102291666666667
2018-01-16,3.787333333333333
2018-01-17,5.424625
2018-01-18,3.5122083333333336
2018-01-19,5.465833333333333
2018-01-20,5.634791666666668
2018-01-21,9.601125
2018-01-22,6.5105
2018-01-23,3.3470416666666662
2018-01-24,3.184958333333333
2018-01-25,6.724708333333333
2018-01-26,10.307666666666666
2018-01-27,8.410916666666667
2018-01-28,2.556
2018-01-29,3.0032083333333333
2018-01-30,7.809541666666667
2018-01-31,3.0384999999999995
2018-02-01,4.670791666666667
2018-02-02,7.134458333333334
2018-02-03,9.001708333333333
2018-02-04,5.684
2018-02-05,8.148583333333333
2018-02-06,14.308208333333331
2018-02-07,8.653791666666667
2018-02-08,9.005583333333334
2018-02-09,4.201125
2018-02-10,4.297416666666667
2018-02-11,2.5432083333333333
2018-02-12,4.712083333333333
2018-02-13,5.036416666666667
2018-02-14,6.218583333333334
2018-02-15,6.319791666666667
2018-02-16,7.076416666666667
2018-02-17,10.6545
2018-02-18,10.355666666666666
2018-02-19,12.1335
2018-02-20,5.8667083333333325
2018-02-21,30.67525
2018-02-22,20.858916666666666
2018-02-23,17.58545833333333
2018-02-24,19.81433333333333
2018-02-25,8.961208333333333
2018-02-26,5.796958333333333
2018-02-27,6.072
2018-02-28,14.853541666666668
2018-03-01,28.00016666666667
2018-03-02,35.76170833333334
2018-03-03,58.249
2018-03-04,14.707166666666666
2018-03-05,7.982583333333333
2018-03-06,6.125166666666666
2018-03-07,9.225625
2018-03-08,3.3981666666666666
2018-03-09,9.283708333333331
2018-03-10,10.363625
2018-03-11,14.265958333333332
2018-03-12,6.197041666666667
2018-03-13,7.588541666666667
2018-03-14,6.641166666666667
2018-03-15,5.292833333333333
2018-03-16,7.544333333333333
2018-03-17,12.310458333333337
2018-03-18,17.718166666666665
2018-03-19,10.35975
2018-03-20,6.789666666666666
2018-03-21,10.794958333333334
2018-03-22,8.25575
2018-03-23,6.489833333333333
2018-03-24,20.69875
2018-03-25,23.283291666666667
2018-03-26,6.547791666666666
2018-03-27,4.040875
2018-03-28,4.1835
2018-03-29,4.310208333333333
2018-03-30,5.734125
2018-03-31,4.894875
2018-04-01,8.283291666666667
2018-04-02,5.794083333333333
2018-04-03,5.152333333333334
2018-04-04,5.280125
2018-04-05,2.923583333333333
2018-04-06,8.843333333333334
2018-04-07,14.1825
2018-04-08,13.032708333333334
2018-04-09,15.610375
2018-04-10,20.361791666666665
2018-04-11,31.696166666666667
2018-04-12,25.263416666666668
2018-04-13,16.60875
2018-04-14,27.499041666666667
2018-04-15,18.585916666666662
2018-04-16,7.201291666666666
2018-04-17,5.871666666666667
2018-04-18,8.222333333333333
2018-04-19,19.554791666666667
2018-04-20,15.692875
2018-04-21,25.55433333333333
2018-04-22,14.650166666666664
2018-04-23,3.8669166666666666
2018-04-24,4.457541666666667
2018-04-25,3.746
2018-04-26,4.764208333333333
2018-04-27,7.223958333333333
2018-04-28,5.157125
2018-04-29,4.035041666666666
2018-04-30,4.922333333333333
2018-05-01,4.625625
2018-05-02,3.1004166666666664
2018-05-03,6.629458333333333
2018-05-04,8.587
2018-05-05,15.516875
2018-05-06,21.649083333333333
2018-05-07,23.17708333333333
2018-05-08,19.40158333333333
2018-05-09,8.280333333333333
2018-05-10,5.279083333333333
2018-05-11,7.698583333333333
2018-05-12,8.08175
2018-05-13,10.964166666666666
2018-05-14,4.928375
2018-05-15,6.131125
2018-05-16,8.589916666666666
2018-05-17,7.276958333333333
2018-05-18,8.467
2018-05-19,12.951125
2018-05-20,16.77479166666667
2018-05-21,19.142166666666665
2018-05-22,11.825958333333332
2018-05-23,14.409458333333331
2018-05-24,18.998708333333333
2018-05-25,18.105541666666667
2018-05-26,27.540458333333333
2018-05-27,16.816041666666667
2018-05-28,26.769
2018-05-29,15.564083333333334
2018-05-30,16.168583333333334
2018-05-31,26.15575
2018-06-01,15.646666666666668
2018-06-02,5.4815000000000005
2018-06-03,5.968958333333333
2018-06-04,10.975791666666666
2018-06-05,8.167166666666667
2018-06-06,10.73025
2018-06-07,9.553875
2018-06-08,9.035125
2018-06-09,11.163625
2018-06-10,11.037916666666668
2018-06-11,5.866791666666667
2018-06-12,7.101
2018-06-13,5.002041666666667
2018-06-14,5.898208333333333
2018-06-15,6.433708333333333
2018-06-16,4.29925
2018-06-17,4.563958333333333
2018-06-18,4.453583333333333
2018-06-19,1.9605
2018-06-20,3.790333333333333
2018-06-21,3.384416666666666
2018-06-22,5.030458333333333
2018-06-23,5.303708333333334
2018-06-24,6.106541666666666
2018-06-25,6.767
2018-06-26,7.274
2018-06-27,9.068458333333334
2018-06-28,10.437333333333331
2018-06-29,8.166291666666668
2018-06-30,6.9281250000000005
2018-07-01,6.865166666666667
2018-07-02,4.249125
2018-07-03,4.277791666666666
2018-07-04,9.529291666666667
2018-07-05,13.502416666666669
2018-07-06,13.175208333333332
2018-07-07,17.078541666666666
2018-07-08,8.33625
2018-07-09,7.201249999999999
2018-07-10,4.814478260869565
2018-07-11,6.975291666666667
2018-07-12,9.397625
2018-07-13,10.10825
2018-07-14,9.07325
2018-07-15,7.445
