Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,NO2,01/01/2018 00:00,30.4,ug m-3,R
CT3,NO2,02/01/2018 00:00,32.5,ug m-3,R
CT3,NO2,03/01/2018 00:00,30.4,ug m-3,R
CT3,NO2,04/01/2018 00:00,34.4,ug m-3,R
CT3,NO2,05/01/2018 00:00,45.3,ug m-3,R
CT3,NO2,06/01/2018 00:00,46,ug m-3,R
CT3,NO2,07/01/2018 00:00,16.5,ug m-3,R
CT3,NO2,08/01/2018 00:00,31.8,ug m-3,R
CT3,NO2,09/01/2018 00:00,37.1,ug m-3,R
CT3,NO2,10/01/2018 00:00,56.5,ug m-3,R
CT3,NO2,11/01/2018 00:00,41.8,ug m-3,R
CT3,NO2,12/01/2018 00:00,35,ug m-3,R
CT3,NO2,13/01/2018 00:00,26.5,ug m-3,R
CT3,NO2,14/01/2018 00:00,34.2,ug m-3,R
CT3,NO2,15/01/2018 00:00,33.2,ug m-3,R
CT3,NO2,16/01/2018 00:00,37.8,ug m-3,R
CT3,NO2,17/01/2018 00:00,38.2,ug m-3,R
CT3,NO2,18/01/2018 00:00,41.9,ug m-3,R
CT3,NO2,19/01/2018 00:00,44.5,ug m-3,R
CT3,NO2,20/01/2018 00:00,42.7,ug m-3,R
CT3,NO2,21/01/2018 00:00,46.7,ug m-3,R
CT3,NO2,22/01/2018 00:00,55.2,ug m-3,R
CT3,NO2,23/01/2018 00:00,26.5,ug m-3,R
CT3,NO2,24/01/2018 00:00,25.9,ug m-3,R
CT3,NO2,25/01/2018 00:00,35.1,ug m-3,R
CT3,NO2,26/01/2018 00:00,48.7,ug m-3,R
CT3,NO2,27/01/2018 00:00,35.7,ug m-3,R
CT3,NO2,28/01/2018 00:00,18.7,ug m-3,R
CT3,NO2,29/01/2018 00:00,31.6,ug m-3,R
CT3,NO2,30/01/2018 00:00,54.9,ug m-3,R
CT3,NO2,31/01/2018 00:00,35.6,ug m-3,R
CT3,NO2,01/02/2018 00:00,43.5,ug m-3,R
CT3,NO2,02/02/2018 00:00,44.6,ug m-3,R
CT3,NO2,03/02/2018 00:00,49.9,ug m-3,R
CT3,NO2,04/02/2018 00:00,16.9,ug m-3,R
CT3,NO2,05/02/2018 00:00,24.5,ug m-3,R
CT3,NO2,06/02/2018 00:00,37.2,ug m-3,R
CT3,NO2,07/02/2018 00:00,44.7,ug m-3,R
CT3,NO2,08/02/2018 00:00,43,ug m-3,R
CT3,NO2,09/02/2018 00:00,38.8,ug m-3,R
CT3,NO2,10/02/2018 00:00,32.2,ug m-3,R
CT3,NO2,11/02/2018 00:00,25.3,ug m-3,R
CT3,NO2,12/02/2018 00:00,38.6,ug m-3,R
CT3,NO2,13/02/2018 00:00,24.6,ug m-3,R
CT3,NO2,14/02/2018 00:00,29.2,ug m-3,R
CT3,NO2,15/02/2018 00:00,37.8,ug m-3,R
