TravelDate,DayOFWeek,Station,EntryTapCount,ExitTapCount,Borough
20200101,Wednesday,Aldgate,3146,3638,City of London
20200101,Wednesday,Bank,10546,7180,City of London
20200101,Wednesday,Barbican,2826,2874,City of London
20200101,Wednesday,Blackfriars,4519,5598,City of London
20200101,Wednesday,Chancery Lane,2293,2168,City of London
20200101,Wednesday,Liverpool Street,24191,25612,City of London
20200101,Wednesday,Mansion House,2427,2546,City of London
20200101,Wednesday,Monument,4876,8169,City of London
20200101,Wednesday,Moorgate,3977,4340,City of London
20200102,Thursday,Aldgate,10022,10970,City of London
20200102,Thursday,Bank,48299,45131,City of London
20200102,Thursday,Barbican,8943,9252,City of London
20200102,Thursday,Blackfriars,9984,16726,City of London
20200102,Thursday,Chancery Lane,15213,16113,City of London
20200102,Thursday,Liverpool Street,69561,72721,City of London
20200102,Thursday,Mansion House,7613,7869,City of London
20200102,Thursday,Monument,16812,22499,City of London
20200102,Thursday,Moorgate,24446,24879,City of London
20200103,Friday,Aldgate,10335,11430,City of London
20200103,Friday,Bank,52179,48181,City of London
20200103,Friday,Barbican,9677,10100,City of London
20200103,Friday,Blackfriars,10671,17631,City of London
20200103,Friday,Chancery Lane,16663,18318,City of London
20200103,Friday,Liverpool Street,73691,76906,City of London
20200103,Friday,Mansion House,7820,7696,City of London
20200103,Friday,Monument,16826,22606,City of London
20200103,Friday,Moorgate,24998,26248,City of London
20200104,Saturday,Aldgate,13669,12651,City of London
20200104,Saturday,Bank,25215,26240,City of London
20200104,Saturday,Barbican,3653,3902,City of London
20200104,Saturday,Blackfriars,3,15,City of London
20200104,Saturday,Chancery Lane,6106,6122,City of London
20200104,Saturday,Liverpool Street,48944,51046,City of London
20200104,Saturday,Mansion House,1,2,City of London
20200104,Saturday,Monument,38,41,City of London
20200104,Saturday,Moorgate,7919,8881,City of London
20200105,Sunday,Aldgate,9393,8404,City of London
20200105,Sunday,Bank,14274,14831,City of London
20200105,Sunday,Barbican,2812,3093,City of London
