TravelDate,DayOFWeek,Station,EntryTapCount,ExitTapCount,Borough,LINES,NETWORK,Zone,x,y
20220101,Saturday,Aldgate,1854,2329,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20220101,Saturday,Bank,3693,3128,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20220101,Saturday,Barbican,1271,1275,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20220101,Saturday,Blackfriars,3936,4025,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20220101,Saturday,Liverpool Street,15909,16347,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20220101,Saturday,Liverpool Street,15909,16347,City of London,,London Overground,1.0,-0.080013644,51.51752768
20220101,Saturday,Liverpool Street,15909,16347,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20220101,Saturday,Mansion House,946,826,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20220101,Saturday,Monument,2665,2909,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20220101,Saturday,Moorgate,2674,2924,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20220102,Sunday,Aldgate,1797,2492,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20220102,Sunday,Bank,4381,4249,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20220102,Sunday,Barbican,1207,1335,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20220102,Sunday,Blackfriars,5572,5059,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20220102,Sunday,Liverpool Street,21317,21493,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20220102,Sunday,Liverpool Street,21317,21493,City of London,,London Overground,1.0,-0.080013644,51.51752768
20220102,Sunday,Liverpool Street,21317,21493,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20220102,Sunday,Mansion House,991,803,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20220102,Sunday,Monument,2985,3418,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20220102,Sunday,Moorgate,3084,3363,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20220103,Monday,Aldgate,1633,2450,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20220103,Monday,Bank,4314,4012,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20220103,Monday,Barbican,1590,1868,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20220103,Monday,Blackfriars,4998,4476,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20220103,Monday,Liverpool Street,20682,20592,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20220103,Monday,Liverpool Street,20682,20592,City of London,,London Overground,1.0,-0.080013644,51.51752768
20220103,Monday,Liverpool Street,20682,20592,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20220103,Monday,Mansion House,925,856,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20220103,Monday,Monument,2622,3114,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20220103,Monday,Moorgate,3502,3724,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20220104,Tuesday,Aldgate,3318,4044,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
