TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough,LINES,NETWORK,Zone,x,y
2024-01-04,Thursday,Liverpool Street,78387,79404,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
2024-01-04,Thursday,Mansion House,7383,7489,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
2024-01-04,Thursday,Monument,15698,14053,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
2024-01-04,Thursday,Moorgate,35760,37921,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
2024-01-05,Friday,Aldgate,7788,9347,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
2024-01-05,Friday,Bank,31627,34743,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
2024-01-05,Friday,Barbican,5827,5887,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
2024-01-05,Friday,Blackfriars,11370,10400,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
2024-01-05,Friday,Cannon Street,4668,3881,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
2024-01-05,Friday,Chancery Lane,8742,9443,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
2024-01-05,Friday,Liverpool Street,67311,68422,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
2024-01-05,Friday,Liverpool Street,67311,68422,City of London,,London Overground,1.0,-0.080013644,51.51752768
2024-01-05,Friday,Liverpool Street,67311,68422,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
2024-01-05,Friday,Mansion House,4632,4741,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
2024-01-05,Friday,Monument,10751,9281,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
2024-01-05,Friday,Moorgate,22767,25309,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
