date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2018-03-16,54.5,41.46,196.08,10.75,105.25,10.38,2.21,2.17,0.92,0.62,0.46,16.75,370.29
2018-03-17,12.21,20.93,-8.59,-366.85,-91.18,-22.09,-5.89,-13.6,-0.22,2.01,-2.36,-42.15,-487.84
2018-03-18,-27.26,1.81,-197.37,-714.71,-272.27,-52.02,-13.35,-28.14,-1.27,3.28,-4.95,-96.46,-1279.01
2018-03-19,-63.98,-15.94,-370.74,-1033.72,-438.48,-79.51,-20.2,-41.48,-2.23,4.44,-7.34,-146.33,-2005.21
2018-03-20,-98.02,-32.36,-529.17,-1324.76,-590.26,-104.63,-26.46,-53.65,-3.12,5.49,-9.51,-191.88,-2668.43
2018-03-21,-129.46,-47.47,-673.13,-1588.73,-728.07,-127.44,-32.15,-64.7,-3.92,6.43,-11.48,-233.25,-3270.65
2018-03-22,-158.34,-61.33,-803.09,-1826.52,-852.36,-148.03,-37.27,-74.66,-4.64,7.28,-13.26,-270.58,-3813.88
2018-03-23,-184.76,-73.95,-919.53,-2039.0,-963.61,-166.47,-41.86,-83.56,-5.3,8.03,-14.85,-304.01,-4300.1
2018-03-24,-208.77,-85.4,-1022.91,-2227.08,-1062.26,-182.84,-45.93,-91.45,-5.88,8.69,-16.27,-333.67,-4731.31
2018-03-25,-230.44,-95.68,-1113.72,-2391.64,-1148.77,-197.2,-49.5,-98.37,-6.39,9.26,-17.5,-359.69,-5109.51
2018-03-26,-249.84,-104.86,-1192.42,-2533.57,-1223.6,-209.64,-52.59,-104.34,-6.83,9.75,-18.57,-382.22,-5436.67
2018-03-27,-267.03,-112.96,-1259.48,-2653.76,-1287.21,-220.23,-55.21,-109.4,-7.21,10.15,-19.47,-401.38,-5714.79
2018-03-28,-282.1,-120.01,-1315.39,-2753.09,-1340.06,-229.04,-57.39,-113.6,-7.53,10.47,-20.22,-417.32,-5945.87
2018-03-29,-295.1,-126.07,-1360.6,-2832.46,-1382.6,-236.15,-59.15,-116.97,-7.79,10.72,-20.83,-430.17,-6131.9
2018-03-30,-306.1,-131.15,-1395.6,-2892.76,-1415.3,-241.64,-60.5,-119.54,-8.0,10.9,-21.29,-440.07,-6274.87
2018-03-31,-315.17,-135.31,-1420.86,-2934.86,-1438.6,-245.57,-61.46,-121.36,-8.15,11.0,-21.61,-447.14,-6376.78
2018-04-01,-322.39,-138.57,-1436.85,-2959.67,-1452.97,-248.02,-62.05,-122.45,-8.25,11.05,-21.81,-451.54,-6439.6
2018-04-02,-327.81,-140.97,-1444.04,-2968.08,-1458.87,-249.08,-62.3,-122.86,-8.3,11.03,-21.89,-453.39,-6465.35
2018-04-03,-331.5,-142.56,-1442.9,-2960.96,-1456.76,-248.8,-62.21,-122.63,-8.3,10.96,-21.85,-452.83,-6456.0
2018-04-04,-333.54,-143.36,-1433.91,-2939.21,-1447.08,-247.28,-61.81,-121.78,-8.27,10.83,-21.7,-449.99,-6413.55
2018-04-05,-333.99,-143.41,-1417.54,-2903.72,-1430.31,-244.57,-61.11,-120.36,-8.19,10.66,-21.44,-445.02,-6340.0
2018-04-06,-332.93,-142.76,-1394.26,-2855.37,-1406.89,-240.76,-60.14,-118.41,-8.07,10.43,-21.1,-438.05,-6237.34
2018-04-07,-330.41,-141.43,-1364.55,-2795.06,-1377.3,-235.93,-58.92,-115.95,-7.92,10.17,-20.66,-429.2,-6107.55
2018-04-08,-326.51,-139.47,-1328.88,-2723.68,-1341.97,-230.13,-57.46,-113.03,-7.73,9.86,-20.14,-418.63,-5952.63
2018-04-09,-321.29,-136.91,-1287.71,-2642.11,-1301.38,-223.47,-55.77,-109.69,-7.51,9.52,-19.55,-406.47,-5774.57
2018-04-10,-314.83,-133.78,-1241.53,-2551.24,-1255.97,-215.99,-53.89,-105.96,-7.27,9.15,-18.88,-392.84,-5575.37
2018-04-11,-307.18,-130.13,-1190.81,-2451.96,-1206.22,-207.79,-51.83,-101.87,-7.0,8.74,-18.15,-377.9,-5357.02
2018-04-12,-298.43,-126.0,-1136.02,-2345.16,-1152.57,-198.93,-49.6,-97.47,-6.7,8.32,-17.37,-361.76,-5121.5
2018-04-13,-288.64,-121.41,-1077.62,-2231.73,-1095.48,-189.49,-47.24,-92.79,-6.39,7.87,-16.54,-344.58,-4870.81
2018-04-14,-277.87,-116.4,-1016.1,-2112.55,-1035.42,-179.55,-44.74,-87.87,-6.06,7.4,-15.66,-326.48,-4606.95
2018-04-15,-266.2,-111.02,-951.93,-1988.52,-972.84,-169.18,-42.14,-82.75,-5.71,6.92,-14.75,-307.6,-4331.91
2018-04-16,-253.69,-105.29,-885.57,-1860.53,-908.19,-158.45,-39.45,-77.45,-5.35,6.43,-13.8,-288.08,-4047.67
2018-04-17,-240.41,-99.26,-817.51,-1729.46,-841.94,-147.44,-36.7,-72.03,-4.99,5.93,-12.84,-268.06,-3756.23
2018-04-18,-226.43,-92.96,-748.21,-1596.2,-774.54,-136.23,-33.89,-66.51,-4.61,5.43,-11.85,-247.66,-3459.58
2018-04-19,-211.82,-86.44,-678.15,-1461.64,-706.46,-124.88,-31.06,-60.93,-4.23,4.93,-10.86,-227.03,-3159.72
2018-04-20,-196.64,-79.71,-607.8,-1326.68,-638.14,-113.48,-28.21,-55.33,-3.84,4.43,-9.86,-206.3,-2858.63
2018-04-21,-180.97,-72.83,-537.63,-1192.19,-570.05,-102.09,-25.37,-49.75,-3.46,3.93,-8.87,-185.6,-2558.31
2018-04-22,-164.87,-65.83,-468.11,-1059.07,-502.65,-90.8,-22.55,-44.22,-3.08,3.45,-7.88,-165.08,-2260.75
2018-04-23,-148.41,-58.75,-399.73,-928.21,-436.39,-79.67,-19.78,-38.79,-2.71,2.98,-6.91,-144.87,-1967.95
2018-04-24,-131.66,-51.62,-332.94,-800.49,-371.74,-68.79,-17.07,-33.47,-2.34,2.53,-5.97,-125.1,-1681.89
2018-04-25,-114.69,-44.47,-268.23,-676.81,-309.14,-58.23,-14.44,-28.33,-1.98,2.11,-5.05,-105.92,-1404.56
2018-04-26,-97.56,-37.36,-206.06,-558.05,-249.06,-48.05,-11.91,-23.38,-1.64,1.7,-4.17,-87.45,-1137.97
2018-04-27,-80.34,-30.31,-146.91,-445.1,-191.95,-38.35,-9.5,-18.67,-1.31,1.33,-3.33,-69.83,-884.1
2018-04-28,-63.11,-23.36,-91.25,-338.85,-138.28,-29.18,-7.23,-14.23,-1.0,0.98,-2.54,-53.2,-644.94
2018-04-29,-45.93,-16.54,-39.56,-240.19,-88.5,-20.64,-5.11,-10.1,-0.71,0.68,-1.81,-37.7,-422.49
2018-04-30,-28.86,-9.9,7.7,-150.01,-43.07,-12.78,-3.17,-6.32,-0.45,0.41,-1.13,-23.45,-218.74
2018-05-01,-11.98,-3.47,50.05,-69.2,-2.44,-5.69,-1.43,-2.93,-0.21,0.18,-0.53,-10.61,-35.67
