date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2018-04-25,180.0,43.08,443.17,61.67,139.08,13.12,2.79,2.42,0.21,0.08,0.25,18.87,705.87
2018-04-26,202.76,-1.26,329.46,50.04,42.43,-9.4,0.28,-15.62,-1.87,-2.05,-0.81,-29.46,391.21
2018-04-27,225.04,-44.7,217.94,38.65,-52.32,-31.46,-2.17,-33.29,-3.9,-4.15,-1.85,-76.82,82.74
2018-04-28,246.86,-87.25,108.57,27.5,-145.19,-53.07,-4.58,-50.59,-5.89,-6.2,-2.87,-123.2,-219.57
2018-04-29,268.21,-128.9,1.34,16.59,-236.19,-74.23,-6.94,-67.53,-7.84,-8.21,-3.86,-168.62,-515.78
2018-04-30,289.09,-169.67,-103.76,5.91,-325.34,-94.95,-9.25,-84.12,-9.75,-10.18,-4.84,-213.08,-805.93
2018-05-01,309.52,-209.57,-206.74,-4.53,-412.64,-115.21,-11.51,-100.35,-11.62,-12.1,-5.79,-256.58,-1090.07
2018-05-02,329.49,-248.59,-307.63,-14.75,-498.11,-135.04,-13.72,-116.23,-13.44,-13.98,-6.73,-299.15,-1368.23
2018-05-03,349.01,-286.76,-406.43,-24.73,-581.77,-154.43,-15.88,-131.76,-15.23,-15.83,-7.64,-340.77,-1640.46
2018-05-04,368.07,-324.07,-503.17,-34.48,-663.62,-173.39,-18.0,-146.94,-16.98,-17.63,-8.54,-381.47,-1906.81
2018-05-05,386.7,-360.52,-597.85,-44.01,-743.69,-191.91,-20.07,-161.78,-18.69,-19.39,-9.41,-421.24,-2167.32
2018-05-06,404.88,-396.14,-690.49,-53.32,-821.97,-210.01,-22.09,-176.27,-20.36,-21.11,-10.27,-460.1,-2422.03
2018-05-07,422.62,-430.92,-781.11,-62.4,-898.5,-227.68,-24.07,-190.43,-21.99,-22.79,-11.1,-498.06,-2671.0
2018-05-08,439.93,-464.87,-869.73,-71.27,-973.28,-244.94,-26.0,-204.25,-23.58,-24.43,-11.92,-535.11,-2914.26
