date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2018-04-18,35.25,50.08,659.08,5.08,261.33,22.08,3.5,11.17,0.83,0.75,0.42,38.75,1014.33
2018-04-19,7.05,25.3,550.44,21.75,163.75,17.74,3.73,7.62,0.28,-0.76,-2.97,25.63,786.87
2018-04-20,1.63,13.71,483.94,30.83,108.79,15.03,3.89,5.38,-0.0,-1.47,-4.51,18.32,655.59
2018-04-21,14.28,12.81,452.55,33.8,88.67,13.69,3.98,4.23,-0.06,-1.52,-4.56,15.76,603.59
2018-04-22,40.27,20.08,449.21,32.15,95.59,13.45,4.03,3.93,0.07,-1.08,-3.47,16.91,613.94
2018-04-23,74.86,32.99,466.87,27.37,121.78,14.02,4.04,4.26,0.31,-0.3,-1.61,20.72,669.73
2018-04-24,113.33,49.04,498.5,20.92,159.46,15.12,4.04,5.0,0.63,0.67,0.67,26.12,754.04
2018-04-25,150.96,65.71,537.04,14.29,200.83,16.5,4.04,5.92,0.96,1.67,3.0,32.08,849.96
2018-04-26,183.84,80.91,576.59,8.71,239.44,17.91,4.05,6.82,1.27,2.57,5.09,37.72,943.37
2018-04-27,211.44,94.29,615.79,4.36,274.1,19.3,4.08,7.68,1.54,3.36,6.9,42.86,1031.39
2018-04-28,234.05,105.92,654.42,1.14,304.94,20.67,4.12,8.49,1.79,4.03,8.44,47.52,1113.95
2018-04-29,251.94,115.9,692.26,-1.01,332.09,22.0,4.16,9.24,2.0,4.6,9.72,51.71,1190.96
2018-04-30,265.42,124.29,729.1,-2.18,355.68,23.28,4.21,9.94,2.19,5.06,10.75,55.45,1262.34
2018-05-01,274.77,131.18,764.71,-2.45,375.85,24.52,4.27,10.59,2.35,5.44,11.56,58.73,1328.02
2018-05-02,280.28,136.64,798.89,-1.91,392.73,25.7,4.34,11.19,2.48,5.72,12.15,61.57,1387.92
2018-05-03,282.25,140.76,831.41,-0.63,406.44,26.81,4.4,11.72,2.59,5.92,12.55,63.98,1441.96
2018-05-04,280.95,143.61,862.05,1.31,417.13,27.84,4.46,12.2,2.67,6.04,12.76,65.97,1490.07
2018-05-05,276.69,145.28,890.59,3.81,424.91,28.79,4.53,12.63,2.73,6.09,12.79,67.56,1532.15
2018-05-06,269.75,145.83,916.83,6.81,429.94,29.64,4.58,12.99,2.77,6.07,12.68,68.74,1568.15
2018-05-07,260.42,145.36,940.53,10.22,432.32,30.4,4.64,13.29,2.79,5.99,12.42,69.53,1597.97
