date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2018-05-09,57.67,41.04,402.12,34.67,150.62,20.75,3.21,3.33,1.29,0.75,0.38,29.71,658.17
2018-05-10,470.5,203.47,936.21,155.01,406.91,51.98,9.02,8.95,3.53,1.91,1.29,76.68,1778.28
2018-05-11,651.92,274.28,1145.43,207.35,510.79,64.53,11.42,11.24,4.44,2.38,1.68,95.7,2233.55
2018-05-12,656.77,274.84,1107.37,207.43,498.43,62.8,11.22,10.99,4.34,2.32,1.67,93.33,2181.4
2018-05-13,539.94,226.48,899.63,171.01,405.98,51.2,9.2,8.96,3.54,1.88,1.37,76.15,1779.24
2018-05-14,356.31,150.57,599.77,113.84,269.61,34.11,6.16,5.94,2.35,1.24,0.91,50.71,1184.5
2018-05-15,160.73,68.46,285.4,51.67,125.48,15.94,2.9,2.71,1.06,0.56,0.42,23.58,554.58
2018-05-16,8.08,1.5,34.08,0.25,9.75,1.08,0.21,0.04,-0.0,0.0,-0.0,1.33,46.92
2018-05-17,-59.83,-33.92,-94.93,-28.28,-49.91,-7.08,-1.29,-1.46,-0.6,-0.32,-0.24,-11.0,-218.04
2018-05-18,-53.47,-41.28,-115.8,-36.3,-59.83,-9.27,-1.73,-1.92,-0.79,-0.41,-0.32,-14.45,-267.65
2018-05-19,3.61,-29.03,-61.04,-29.77,-34.8,-7.24,-1.42,-1.62,-0.68,-0.35,-0.28,-11.59,-166.23
2018-05-20,87.88,-5.62,36.86,-14.69,10.34,-2.74,-0.65,-0.87,-0.38,-0.19,-0.16,-4.99,21.89
2018-05-21,175.79,20.5,145.38,2.96,60.79,2.5,0.25,0.04,0.0,0.0,0.0,2.79,232.42
2018-05-22,248.02,42.38,237.74,18.24,104.33,7.03,1.04,0.87,0.35,0.18,0.17,9.63,412.32
2018-05-23,302.02,59.02,310.09,30.38,139.13,10.63,1.67,1.56,0.67,0.33,0.34,15.2,553.83
2018-05-24,339.46,70.93,364.31,39.65,165.95,13.39,2.17,2.15,0.95,0.46,0.5,19.62,660.45
2018-05-25,362.01,78.6,402.28,46.32,185.54,15.41,2.53,2.63,1.19,0.58,0.66,22.99,735.73
2018-05-26,371.32,82.55,425.86,50.66,198.68,16.76,2.79,3.02,1.39,0.67,0.81,25.44,783.18
2018-05-27,369.07,83.26,436.92,52.95,206.12,17.53,2.95,3.32,1.56,0.75,0.96,27.07,806.33
2018-05-28,356.92,81.25,437.36,53.46,208.62,17.81,3.03,3.56,1.7,0.81,1.1,28.01,808.7
2018-05-29,336.53,77.01,429.03,52.46,206.95,17.7,3.04,3.74,1.81,0.86,1.22,28.37,793.82
2018-05-30,309.58,71.04,413.83,50.22,201.86,17.27,3.0,3.87,1.89,0.89,1.33,28.26,765.21
2018-05-31,277.71,63.85,393.61,47.01,194.12,16.62,2.92,3.97,1.93,0.92,1.43,27.8,726.39
2018-06-01,242.6,55.94,370.25,43.11,184.5,15.84,2.81,4.04,1.96,0.95,1.51,27.1,680.9
2018-06-02,205.92,47.81,345.64,38.78,173.74,15.0,2.7,4.1,1.95,0.96,1.57,26.28,632.25
2018-06-03,169.33,39.96,321.64,34.3,162.62,14.2,2.58,4.16,1.92,0.98,1.61,25.45,583.97
2018-06-04,134.48,32.89,300.13,29.94,151.9,13.53,2.49,4.22,1.87,0.99,1.63,24.73,539.59
2018-06-05,103.06,27.1,282.99,25.97,142.33,13.08,2.43,4.31,1.79,1.0,1.63,24.24,502.62
2018-06-06,76.72,23.09,272.08,22.66,134.68,12.93,2.41,4.42,1.7,1.02,1.6,24.08,476.6
2018-06-07,57.13,21.38,269.29,20.29,129.71,13.17,2.46,4.58,1.58,1.04,1.54,24.37,465.04
2018-06-08,45.39,22.26,275.8,19.04,127.93,13.85,2.58,4.8,1.45,1.07,1.46,25.2,470.23
2018-06-09,40.41,25.34,290.03,18.75,128.87,14.9,2.75,5.06,1.31,1.1,1.36,26.48,489.47
2018-06-10,40.53,30.01,309.73,19.17,131.81,16.19,2.97,5.39,1.15,1.14,1.24,28.08,518.8
2018-06-11,44.09,35.68,332.61,20.06,136.01,17.62,3.22,5.77,0.99,1.18,1.12,29.91,554.27
2018-06-12,49.44,41.76,356.43,21.16,140.76,19.08,3.48,6.22,0.83,1.21,1.01,31.83,591.94
2018-06-13,54.92,47.65,378.91,22.24,145.33,20.43,3.73,6.72,0.68,1.25,0.91,33.73,627.86
2018-06-14,58.88,52.75,397.79,23.04,149.0,21.58,3.96,7.29,0.54,1.29,0.83,35.5,658.08
2018-06-15,59.98,56.59,411.26,23.38,151.19,22.43,4.15,7.92,0.41,1.33,0.78,37.03,679.44
2018-06-16,58.3,59.16,419.34,23.26,151.88,22.98,4.31,8.6,0.3,1.36,0.76,38.31,691.95
2018-06-17,54.2,60.57,422.49,22.75,151.23,23.26,4.43,9.31,0.2,1.39,0.76,39.35,696.41
2018-06-18,48.07,60.95,421.19,21.94,149.38,23.28,4.52,10.04,0.12,1.41,0.78,40.15,693.6
2018-06-19,40.3,60.41,415.9,20.88,146.45,23.08,4.57,10.76,0.05,1.43,0.82,40.71,684.34
2018-06-20,31.28,59.06,407.1,19.64,142.6,22.67,4.6,11.47,-0.02,1.44,0.87,41.03,669.42
2018-06-21,21.38,57.01,395.25,18.29,137.96,22.08,4.59,12.15,-0.06,1.45,0.93,41.13,649.64
2018-06-22,11.0,54.39,380.82,16.9,132.66,21.34,4.55,12.78,-0.1,1.45,0.99,41.01,625.79
2018-06-23,0.52,51.31,364.3,15.55,126.86,20.46,4.49,13.34,-0.13,1.44,1.06,40.67,598.68
2018-06-24,-9.67,47.88,346.13,14.29,120.69,19.47,4.4,13.82,-0.14,1.43,1.13,40.11,569.1
2018-06-25,-19.19,44.22,326.8,13.2,114.29,18.39,4.28,14.21,-0.15,1.41,1.2,39.34,537.85
2018-06-26,-27.66,40.44,306.78,12.35,107.8,17.25,4.14,14.48,-0.15,1.38,1.26,38.36,505.72
2018-06-27,-34.68,36.65,286.52,11.8,101.36,16.08,3.98,14.62,-0.14,1.34,1.31,37.19,473.52
2018-06-28,-39.88,32.98,266.52,11.63,95.1,14.88,3.79,14.61,-0.12,1.29,1.35,35.81,442.05
2018-06-29,-42.86,29.54,247.23,11.91,89.18,13.7,3.59,14.45,-0.09,1.23,1.37,34.25,412.1
2018-06-30,-43.24,26.44,229.12,12.69,83.72,12.55,3.37,14.1,-0.06,1.16,1.38,32.49,384.46
2018-07-01,-40.64,23.79,212.67,14.06,78.87,11.45,3.13,13.56,-0.02,1.08,1.36,30.55,359.94
2018-07-02,-34.67,21.72,198.34,16.08,74.77,10.43,2.87,12.81,0.02,0.99,1.31,28.43,339.34
2018-07-03,-24.94,20.34,186.6,18.82,71.55,9.52,2.6,11.83,0.07,0.89,1.23,26.14,323.45
2018-07-04,-11.07,19.76,177.93,22.34,69.36,8.73,2.31,10.61,0.13,0.77,1.12,23.68,313.07
2018-07-05,7.32,20.09,172.8,26.73,68.34,8.09,2.02,9.13,0.19,0.64,0.98,21.04,309.0
2018-07-06,30.62,21.46,171.67,32.04,68.62,7.62,1.71,7.38,0.25,0.5,0.79,18.25,312.04
2018-07-07,58.7,23.89,174.79,38.27,70.28,7.35,1.39,5.36,0.32,0.35,0.57,15.33,322.56
2018-07-08,89.29,27.11,181.54,45.09,73.04,7.25,1.08,3.21,0.38,0.19,0.32,12.43,339.21
2018-07-09,119.62,30.75,191.08,52.08,76.58,7.29,0.79,1.08,0.46,0.04,0.08,9.75,360.25
2018-07-10,147.4,34.5,202.69,58.92,80.63,7.46,0.53,-0.88,0.54,-0.09,-0.14,7.43,384.17
2018-07-11,172.23,38.31,216.12,65.53,85.09,7.75,0.31,-2.66,0.62,-0.2,-0.33,5.49,410.53
2018-07-12,194.23,42.14,231.26,71.92,89.94,8.14,0.11,-4.26,0.71,-0.29,-0.5,3.91,439.17
2018-07-13,213.48,46.01,248.0,78.07,95.15,8.64,-0.05,-5.7,0.8,-0.36,-0.65,2.68,469.91
2018-07-14,230.11,49.9,266.23,83.99,100.69,9.24,-0.18,-6.97,0.9,-0.42,-0.77,1.79,502.6
2018-07-15,244.19,53.8,285.83,89.68,106.54,9.92,-0.29,-8.08,1.0,-0.46,-0.87,1.22,537.07
2018-07-16,255.84,57.7,306.69,95.13,112.66,10.7,-0.37,-9.04,1.1,-0.49,-0.96,0.95,573.13
2018-07-17,265.16,61.6,328.7,100.35,119.02,11.55,-0.42,-9.86,1.21,-0.5,-1.02,0.96,610.63
2018-07-18,272.24,65.48,351.73,105.34,125.61,12.47,-0.45,-10.53,1.31,-0.49,-1.06,1.25,649.4
2018-07-19,277.18,69.33,375.68,110.08,132.38,13.46,-0.45,-11.07,1.42,-0.48,-1.09,1.79,689.27
2018-07-20,280.1,73.15,400.43,114.59,139.31,14.51,-0.44,-11.48,1.54,-0.45,-1.1,2.58,730.06
2018-07-21,281.08,76.92,425.88,118.86,146.37,15.61,-0.4,-11.76,1.65,-0.4,-1.09,3.59,771.62
2018-07-22,280.23,80.65,451.89,122.88,153.53,16.76,-0.34,-11.93,1.76,-0.35,-1.07,4.82,813.77
2018-07-23,277.65,84.31,478.37,126.67,160.77,17.95,-0.27,-11.99,1.87,-0.29,-1.04,6.23,856.35
2018-07-24,273.44,87.9,505.2,130.2,168.05,19.17,-0.18,-11.95,1.98,-0.22,-0.99,7.83,899.18
2018-07-25,267.71,91.41,532.26,133.5,175.34,20.43,-0.07,-11.8,2.1,-0.14,-0.93,9.59,942.1
2018-07-26,260.54,94.83,559.44,136.54,182.63,21.7,0.06,-11.56,2.21,-0.05,-0.85,11.5,984.94
2018-07-27,252.04,98.16,586.62,139.34,189.86,23.0,0.19,-11.24,2.31,0.05,-0.77,13.55,1027.53
2018-07-28,242.32,101.38,613.7,141.89,197.03,24.3,0.34,-10.83,2.42,0.15,-0.68,15.71,1069.71
2018-07-29,231.47,104.48,640.55,144.19,204.1,25.6,0.5,-10.34,2.53,0.26,-0.57,17.97,1111.3
2018-07-30,219.6,107.46,667.07,146.24,211.04,26.91,0.67,-9.79,2.63,0.37,-0.46,20.32,1152.13
2018-07-31,206.8,110.3,693.14,148.04,217.82,28.2,0.84,-9.18,2.73,0.49,-0.35,22.74,1192.04
2018-08-01,193.18,113.0,718.64,149.58,224.42,29.48,1.03,-8.5,2.82,0.61,-0.22,25.22,1230.86
2018-08-02,178.83,115.55,743.47,150.87,230.8,30.74,1.22,-7.77,2.92,0.74,-0.09,27.74,1268.43
2018-08-03,163.86,117.94,767.51,151.89,236.93,31.97,1.41,-7.0,3.0,0.86,0.04,30.29,1304.56
2018-08-04,148.37,120.15,790.64,152.67,242.8,33.17,1.61,-6.19,3.09,0.99,0.18,32.84,1339.1
2018-08-05,132.45,122.19,812.75,153.18,248.36,34.32,1.81,-5.34,3.16,1.12,0.32,35.39,1371.87
2018-08-06,116.22,124.04,833.73,153.43,253.59,35.43,2.01,-4.47,3.24,1.24,0.46,37.92,1402.71
2018-08-07,99.76,125.69,853.47,153.42,258.46,36.49,2.21,-3.57,3.3,1.37,0.6,40.41,1431.45
2018-08-08,83.19,127.14,871.84,153.15,262.94,37.49,2.41,-2.65,3.36,1.49,0.74,42.85,1457.91
2018-08-09,66.6,128.37,888.74,152.61,267.01,38.42,2.61,-1.73,3.42,1.61,0.88,45.22,1481.94
2018-08-10,50.08,129.37,904.05,151.81,270.63,39.29,2.8,-0.8,3.46,1.73,1.02,47.51,1503.37
2018-08-11,33.75,130.14,917.66,150.74,273.78,40.07,2.99,0.13,3.5,1.84,1.16,49.7,1522.01
2018-08-12,17.71,130.67,929.45,149.4,276.42,40.77,3.17,1.05,3.53,1.95,1.29,51.77,1537.72
2018-08-13,2.05,130.95,939.31,147.79,278.53,41.39,3.34,1.96,3.56,2.06,1.42,53.72,1550.31
2018-08-14,-13.13,130.96,947.13,145.92,280.08,41.9,3.5,2.85,3.57,2.15,1.55,55.53,1559.62
2018-08-15,-27.72,130.71,952.79,143.77,281.04,42.31,3.66,3.72,3.58,2.24,1.66,57.17,1565.48
2018-08-16,-41.63,130.18,956.18,141.34,281.39,42.62,3.8,4.55,3.57,2.32,1.77,58.64,1567.72
2018-08-17,-54.75,129.35,957.18,138.65,281.08,42.81,3.93,5.35,3.56,2.4,1.88,59.92,1566.18
2018-08-18,-66.98,128.24,955.69,135.67,280.1,42.88,4.04,6.1,3.53,2.46,1.97,60.99,1560.68
2018-08-19,-78.23,126.81,951.58,132.42,278.41,42.82,4.14,6.81,3.5,2.51,2.05,61.84,1551.06
2018-08-20,-88.38,125.07,944.74,128.9,275.99,42.63,4.23,7.46,3.45,2.56,2.12,62.45,1537.15
2018-08-21,-97.35,123.01,935.07,125.09,272.81,42.29,4.29,8.06,3.39,2.59,2.19,62.81,1518.78
2018-08-22,-105.02,120.61,922.44,121.0,268.84,41.82,4.34,8.58,3.32,2.61,2.23,62.9,1495.79
2018-08-23,-111.31,117.87,906.74,116.63,264.04,41.19,4.37,9.04,3.24,2.61,2.27,62.71,1467.99
2018-08-24,-116.1,114.78,887.86,111.98,258.4,40.4,4.37,9.42,3.14,2.6,2.29,62.22,1435.23
2018-08-25,-119.3,111.32,865.68,107.04,251.88,39.44,4.35,9.71,3.04,2.58,2.3,61.41,1397.34
2018-08-26,-120.81,107.5,840.09,101.82,244.45,38.32,4.31,9.91,2.91,2.54,2.29,60.28,1354.14
2018-08-27,-120.52,103.3,810.98,96.31,236.09,37.02,4.25,10.02,2.78,2.48,2.26,58.8,1305.48
2018-08-28,-118.34,98.71,778.23,90.51,226.76,35.53,4.15,10.03,2.63,2.41,2.21,56.96,1251.18
2018-08-29,-114.17,93.73,741.73,84.42,216.44,33.85,4.03,9.92,2.46,2.32,2.15,54.74,1191.06
2018-08-30,-107.9,88.33,701.37,78.04,205.1,31.98,3.88,9.71,2.28,2.21,2.07,52.14,1124.98
2018-08-31,-99.43,82.53,657.02,71.37,192.71,29.91,3.7,9.38,2.09,2.08,1.96,49.12,1052.75
2018-09-01,-88.67,76.3,608.59,64.4,179.24,27.63,3.49,8.92,1.88,1.94,1.84,45.69,974.21
2018-09-02,-75.51,69.63,555.94,57.14,164.66,25.13,3.25,8.33,1.65,1.77,1.69,41.81,889.18
