date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2018-04-26,81.08,31.04,223.96,34.25,78.83,6.87,1.13,1.33,0.33,0.17,0.0,9.83,377.92
2018-04-27,59.7,29.49,220.99,31.66,84.45,7.56,1.35,2.37,0.3,0.19,0.03,11.8,378.39
2018-04-28,42.57,27.74,221.07,29.31,88.33,8.03,1.48,3.12,0.26,0.21,0.06,13.17,379.61
2018-04-29,29.29,25.85,224.03,27.18,90.71,8.32,1.54,3.61,0.23,0.21,0.07,14.0,381.76
2018-04-30,19.46,23.87,229.71,25.25,91.83,8.46,1.54,3.88,0.21,0.21,0.08,14.38,385.04
2018-05-01,12.68,21.88,237.95,23.51,91.95,8.46,1.49,3.94,0.19,0.2,0.09,14.35,389.63
2018-05-02,8.53,19.92,248.58,21.93,91.28,8.36,1.39,3.84,0.17,0.18,0.08,14.01,395.73
2018-05-03,6.63,18.05,261.46,20.51,90.09,8.17,1.26,3.6,0.15,0.15,0.08,13.41,403.53
2018-05-04,6.56,16.35,276.4,19.22,88.61,7.93,1.12,3.25,0.14,0.13,0.07,12.63,413.21
2018-05-05,7.93,14.85,293.27,18.04,87.07,7.66,0.96,2.83,0.13,0.1,0.05,11.74,424.97
2018-05-06,10.32,13.63,311.88,16.96,85.73,7.38,0.81,2.37,0.12,0.07,0.04,10.79,439.0
2018-05-07,13.33,12.75,332.08,15.96,84.82,7.11,0.68,1.89,0.12,0.05,0.03,9.88,455.48
2018-05-08,16.57,12.25,353.71,15.02,84.59,6.89,0.56,1.43,0.12,0.03,0.01,9.05,474.62
2018-05-09,19.62,12.21,376.6,14.13,85.27,6.74,0.49,1.02,0.13,0.02,0.0,8.39,496.6
2018-05-10,22.08,12.68,400.6,13.26,87.1,6.68,0.46,0.68,0.14,0.01,-0.01,7.96,521.61
2018-05-11,23.56,13.73,425.54,12.4,90.34,6.74,0.49,0.46,0.15,0.01,-0.01,7.83,549.85
2018-05-12,23.64,15.4,451.27,11.54,95.21,6.94,0.59,0.37,0.16,0.02,-0.01,8.08,581.49
2018-05-13,21.92,17.76,477.61,10.65,101.96,7.31,0.77,0.46,0.18,0.05,-0.01,8.76,616.75
2018-05-14,18.0,20.88,504.42,9.71,110.83,7.87,1.04,0.75,0.21,0.08,-0.0,9.96,655.79
2018-05-15,11.73,24.75,531.32,8.74,121.89,8.64,1.41,1.26,0.24,0.14,0.02,11.7,698.39
2018-05-16,3.97,29.21,557.21,7.84,134.46,9.57,1.85,1.93,0.26,0.2,0.04,13.86,742.57
2018-05-17,-4.16,34.02,580.75,7.15,147.71,10.62,2.32,2.72,0.29,0.27,0.07,16.29,785.91
2018-05-18,-11.53,38.96,600.62,6.8,160.8,11.72,2.79,3.57,0.32,0.34,0.1,18.84,826.02
2018-05-19,-17.05,43.81,615.51,6.94,172.88,12.83,3.24,4.4,0.34,0.41,0.13,21.34,860.49
2018-05-20,-19.58,48.34,624.1,7.69,183.12,13.88,3.62,5.16,0.35,0.47,0.16,23.65,886.9
2018-05-21,-18.0,52.32,625.06,9.2,190.67,14.84,3.9,5.8,0.36,0.52,0.19,25.6,902.85
2018-05-22,-11.21,55.53,617.08,11.59,194.68,15.64,4.05,6.24,0.35,0.55,0.21,27.05,905.93
2018-05-23,1.92,57.73,598.83,15.01,194.32,16.24,4.03,6.44,0.34,0.56,0.23,27.83,893.73
2018-05-24,22.51,58.72,568.99,19.59,188.75,16.57,3.82,6.32,0.3,0.55,0.25,27.8,863.85
2018-05-25,51.67,58.25,526.25,25.46,177.13,16.58,3.38,5.83,0.25,0.5,0.25,26.79,813.88
2018-05-26,89.57,56.2,470.32,32.61,159.11,16.25,2.69,4.95,0.18,0.42,0.24,24.73,742.98
2018-05-27,132.57,52.83,405.08,40.47,136.44,15.61,1.84,3.77,0.1,0.32,0.23,21.87,656.69
2018-05-28,176.1,48.49,335.43,48.28,111.35,14.72,0.92,2.45,0.02,0.21,0.21,18.53,562.08
2018-05-29,215.56,43.53,266.3,55.32,86.09,13.65,0.04,1.12,-0.06,0.09,0.19,15.03,466.26
2018-05-30,246.38,38.31,202.59,60.85,62.88,12.45,-0.7,-0.08,-0.13,-0.02,0.16,11.69,376.32
2018-05-31,263.96,33.18,149.22,64.13,43.98,11.18,-1.21,-1.0,-0.17,-0.1,0.14,8.84,299.35
2018-06-01,263.72,28.5,111.09,64.43,31.61,9.91,-1.37,-1.51,-0.18,-0.15,0.12,6.81,242.45
2018-06-02,241.08,24.62,93.13,61.03,28.03,8.69,-1.1,-1.46,-0.16,-0.16,0.1,5.92,212.72
2018-06-03,191.45,21.89,100.24,53.17,35.47,7.59,-0.29,-0.71,-0.09,-0.11,0.09,6.48,217.25
2018-06-04,110.25,20.67,137.33,40.12,56.17,6.67,1.17,0.88,0.04,0.0,0.08,8.83,263.13
2018-06-05,30.29,21.33,174.29,24.46,73.21,6.12,2.54,2.67,0.21,0.25,0.12,11.92,305.21
