date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2018-03-16,137.71,63.0,368.17,30.21,173.33,12.04,1.37,3.12,0.58,0.83,0.62,18.58,653.29
2018-03-17,90.93,32.71,184.55,16.86,92.83,4.38,0.0,0.08,0.11,0.17,-0.03,4.7,331.65
2018-03-18,54.33,10.45,51.1,6.9,33.36,-1.04,-0.93,-1.99,-0.22,-0.29,-0.48,-4.96,96.85
2018-03-19,27.28,-4.31,-35.49,0.09,-6.46,-4.38,-1.44,-3.15,-0.41,-0.56,-0.72,-10.66,-56.84
2018-03-20,9.13,-12.12,-78.54,-3.79,-28.01,-5.77,-1.57,-3.46,-0.48,-0.65,-0.78,-12.71,-135.17
2018-03-21,-0.77,-13.49,-81.39,-4.95,-32.67,-5.38,-1.35,-3.0,-0.42,-0.58,-0.67,-11.4,-143.89
2018-03-22,-3.06,-8.95,-47.35,-3.61,-21.83,-3.35,-0.8,-1.82,-0.26,-0.36,-0.41,-6.99,-88.74
2018-03-23,1.62,0.96,20.25,0.0,3.13,0.17,0.04,-0.0,0.0,-0.0,-0.0,0.21,24.54
2018-03-24,12.63,15.71,118.1,5.66,40.82,5.02,1.14,2.4,0.35,0.48,0.53,9.92,190.21
2018-03-25,29.31,34.77,242.87,13.15,89.86,11.05,2.48,5.31,0.77,1.06,1.17,21.85,402.51
2018-03-26,51.03,57.62,391.24,22.25,148.88,18.12,4.02,8.66,1.26,1.74,1.91,35.72,655.71
2018-03-27,77.14,83.72,559.89,32.74,216.48,26.08,5.72,12.39,1.81,2.5,2.73,51.24,944.06
2018-03-28,107.0,112.54,745.49,44.39,291.29,34.76,7.57,16.42,2.41,3.33,3.62,68.11,1261.82
2018-03-29,139.97,143.55,944.73,56.99,371.91,44.03,9.53,20.7,3.04,4.21,4.56,86.07,1603.25
2018-03-30,175.39,176.23,1154.28,70.32,456.97,53.72,11.57,25.16,3.7,5.12,5.54,104.81,1962.6
2018-03-31,212.64,210.03,1370.82,84.14,545.08,63.7,13.65,29.72,4.38,6.06,6.54,124.05,2334.13
