count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6751,N,2003,2003-09-22,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,22,100,838,27,269,52,6,3,0,1,0,62,1296
6751,N,2003,2003-09-22,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,24,84,751,22,225,59,2,3,3,1,1,69,1151
6751,N,2003,2003-09-22,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,25,62,940,21,223,67,1,1,0,1,0,70,1316
6751,N,2003,2003-09-22,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,11,65,983,21,252,48,3,0,0,0,2,53,1374
6751,N,2003,2003-09-22,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,7,64,912,27,172,26,3,0,0,2,2,33,1208
6751,N,2003,2003-09-22,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,60,153,1030,29,169,24,0,0,1,2,0,27,1408
6751,N,2003,2003-09-22,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,87,169,1315,38,126,21,0,0,1,2,1,25,1673
6751,S,2003,2003-09-22,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,45,63,511,27,256,38,12,5,6,3,5,69,926
6751,S,2003,2003-09-22,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,106,143,839,26,307,52,5,3,2,0,5,67,1382
6751,S,2003,2003-09-22,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,102,129,799,30,294,38,3,5,0,0,1,47,1299
6751,S,2003,2003-09-22,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,43,111,749,28,373,46,3,1,0,0,2,52,1313
6751,S,2003,2003-09-22,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,39,127,663,24,350,47,6,6,1,1,2,63,1227
6751,S,2003,2003-09-22,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,31,110,663,27,350,35,3,5,1,1,1,46,1196
6751,S,2003,2003-09-22,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,52,125,767,22,290,46,2,4,1,1,1,55,1259
6751,S,2003,2003-09-22,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,42,117,789,22,321,61,3,2,2,2,6,76,1325
6751,S,2003,2003-09-22,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,51,115,835,22,310,34,1,1,3,0,1,40,1322
6751,S,2003,2003-09-22,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,74,191,821,25,328,24,1,0,0,0,2,27,1392
6751,S,2003,2003-09-22,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,224,413,1051,23,215,9,0,1,2,0,0,12,1714
6751,S,2003,2003-09-22,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,262,395,1207,24,157,13,1,1,2,0,0,17,1800
6751,N,2006,2006-10-06,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,59,156,562,45,334,60,8,6,0,1,5,80,1177
6751,N,2006,2006-10-06,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,186,183,687,23,194,36,3,1,0,3,0,43,1130
6751,N,2006,2006-10-06,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,170,168,674,9,212,56,2,4,0,1,5,68,1131
6751,N,2006,2006-10-06,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,30,73,603,8,189,70,2,3,0,3,2,80,953
6751,N,2006,2006-10-06,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,30,74,527,5,229,81,4,4,0,3,3,95,930
6751,N,2006,2006-10-06,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,39,55,561,5,180,45,3,5,0,0,2,55,856
6751,N,2006,2006-10-06,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,26,79,623,28,222,20,3,1,2,1,2,29,981
6751,N,2006,2006-10-06,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,23,88,684,30,243,18,3,6,1,3,0,31,1076
6751,N,2006,2006-10-06,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,46,119,759,30,227,19,2,0,1,1,1,24,1159
6751,N,2006,2006-10-06,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,53,118,788,27,210,10,0,1,2,0,2,15,1158
6751,N,2006,2006-10-06,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,99,137,829,34,160,8,1,0,3,0,0,12,1172
6751,N,2006,2006-10-06,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,86,129,834,29,136,7,1,0,2,1,0,11,1139
6751,S,2006,2006-10-06,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,33,58,659,24,258,27,4,2,2,2,3,40,1039
6751,S,2006,2006-10-06,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,109,111,887,35,259,46,4,4,2,2,1,59,1351
6751,S,2006,2006-10-06,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,77,90,798,27,179,34,6,3,4,3,1,51,1145
6751,S,2006,2006-10-06,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,27,83,808,23,236,49,5,5,1,3,0,63,1213
6751,S,2006,2006-10-06,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,37,78,861,25,268,42,7,4,3,0,0,56,1288
6751,S,2006,2006-10-06,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,22,92,909,29,270,38,3,4,2,2,3,52,1352
6751,S,2006,2006-10-06,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,48,133,775,29,300,28,4,3,5,4,1,45,1282
6751,S,2006,2006-10-06,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,40,97,781,28,313,16,7,5,7,1,0,36,1255
6751,S,2006,2006-10-06,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,56,142,890,34,319,22,3,4,3,1,0,33,1418
6751,S,2006,2006-10-06,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,96,178,855,25,290,12,0,2,3,0,1,18,1366
6751,S,2006,2006-10-06,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,248,329,1025,32,223,9,0,2,2,3,1,17,1626
6751,S,2006,2006-10-06,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,211,294,1003,29,201,6,0,2,1,0,0,9,1536
6751,N,2009,2009-09-03,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,202,151,412,36,263,62,10,6,8,3,1,90,952
6751,N,2009,2009-09-03,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,558,274,542,29,234,60,1,2,1,2,0,66,1145
6751,N,2009,2009-09-03,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,354,243,626,29,224,46,4,6,0,2,0,58,1180
6751,N,2009,2009-09-03,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,83,92,557,27,207,48,5,2,4,7,0,66,949
6751,N,2009,2009-09-03,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,42,83,514,28,210,47,1,6,0,2,1,57,892
6751,N,2009,2009-09-03,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,47,83,540,26,208,49,2,6,1,2,0,60,917
6751,N,2009,2009-09-03,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,55,87,579,30,182,45,3,9,0,4,0,61,939
6751,N,2009,2009-09-03,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,55,81,578,32,181,43,0,5,1,3,2,54,926
6751,N,2009,2009-09-03,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,59,84,628,29,170,27,1,5,1,0,0,34,945
6751,N,2009,2009-09-03,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,78,80,615,28,172,26,2,2,4,3,2,39,934
6751,N,2009,2009-09-03,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,182,142,379,31,142,14,1,0,5,5,0,25,719
6751,N,2009,2009-09-03,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,232,126,884,32,103,13,0,0,2,0,0,15,1160
6751,S,2009,2009-09-03,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,120,57,427,28,247,63,2,7,3,0,3,78,837
6751,S,2009,2009-09-03,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,219,130,563,24,205,59,10,8,1,2,7,87,1009
6751,S,2009,2009-09-03,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,173,107,602,31,219,56,1,7,2,1,2,69,1028
6751,S,2009,2009-09-03,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,47,84,604,31,231,64,6,11,1,3,0,85,1035
6751,S,2009,2009-09-03,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,46,87,528,31,214,47,0,3,1,1,2,54,914
6751,S,2009,2009-09-03,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,50,88,621,28,228,50,2,7,2,0,2,63,1028
6751,S,2009,2009-09-03,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,43,94,634,30,206,46,3,7,0,1,2,59,1023
6751,S,2009,2009-09-03,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,52,86,648,31,250,52,1,12,1,2,1,69,1084
6751,S,2009,2009-09-03,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,67,103,667,34,268,48,0,3,2,2,3,58,1130
6751,S,2009,2009-09-03,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,119,161,670,27,254,30,2,2,0,0,2,36,1148
6751,S,2009,2009-09-03,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,312,281,855,32,187,17,1,0,0,3,1,22,1377
6751,S,2009,2009-09-03,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,511,323,1050,32,129,14,1,0,1,5,0,21,1555
6751,N,2010,2010-04-22,7,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,199,151,439,89,286,58,9,8,10,1,1,87,1052
6751,N,2010,2010-04-22,8,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,482,300,645,70,222,43,3,4,1,0,3,54,1291
6751,N,2010,2010-04-22,9,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,369,224,622,84,223,52,4,2,3,2,0,63,1216
6751,N,2010,2010-04-22,10,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,109,97,600,85,245,47,10,6,2,2,2,69,1096
6751,N,2010,2010-04-22,11,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,65,85,587,77,230,45,3,5,4,2,4,63,1042
6751,N,2010,2010-04-22,12,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,56,91,539,78,215,38,3,3,0,2,2,48,971
6751,N,2010,2010-04-22,13,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,85,62,619,83,229,35,4,3,4,4,1,51,1044
6751,N,2010,2010-04-22,14,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,59,71,672,80,228,35,1,6,1,1,0,44,1095
6751,N,2010,2010-04-22,15,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,56,81,589,85,179,38,4,6,3,0,0,51,985
6751,N,2010,2010-04-22,16,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,89,102,704,86,217,38,1,6,1,1,1,48,1157
6751,N,2010,2010-04-22,17,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,173,125,771,82,141,22,0,1,2,4,1,30,1149
6751,N,2010,2010-04-22,18,6,London,174,"City of London",A201,Major,A3211,"St Bride St",531650,181040,51.51295693,-0.10420671,0.30,0.19,180,115,890,79,86,14,1,1,0,2,1,19,1189
