Site,ReadingDateTime,Value
London N. Kensington (RBKC North Kensington),09/04/2018,18.804166666666667
London N. Kensington (RBKC North Kensington),10/04/2018,25.040625000000002
London N. Kensington (RBKC North Kensington),11/04/2018,37.009375
London N. Kensington (RBKC North Kensington),12/04/2018,31.458333333333332
London N. Kensington (RBKC North Kensington),13/04/2018,20.889583333333334
London N. Kensington (RBKC North Kensington),14/04/2018,32.630208333333336
London N. Kensington (RBKC North Kensington),15/04/2018,22.371875
London N. Kensington (RBKC North Kensington),16/04/2018,14.179166666666667
London N. Kensington (RBKC North Kensington),17/04/2018,12.997916666666667
London N. Kensington (RBKC North Kensington),18/04/2018,15.625
London N. Kensington (RBKC North Kensington),19/04/2018,31.165625000000002
London N. Kensington (RBKC North Kensington),20/04/2018,26.582291666666666
London N. Kensington (RBKC North Kensington),21/04/2018,36.19375
London N. Kensington (RBKC North Kensington),22/04/2018,23.06041666666667
London N. Kensington (RBKC North Kensington),23/04/2018,7.805208333333333
London N. Kensington (RBKC North Kensington),24/04/2018,8.4375
London N. Kensington (RBKC North Kensington),25/04/2018,7.840625
London N. Kensington (RBKC North Kensington),26/04/2018,10.053125
London N. Kensington (RBKC North Kensington),27/04/2018,12.190624999999999
London N. Kensington (RBKC North Kensington),28/04/2018,6.619791666666667
London N. Kensington (RBKC North Kensington),29/04/2018,6.567708333333333
London N. Kensington (RBKC North Kensington),30/04/2018,10.373958333333333
London N. Kensington (RBKC North Kensington),01/05/2018,8.423958333333333
London N. Kensington (RBKC North Kensington),02/05/2018,6.002083333333334
London N. Kensington (RBKC North Kensington),03/05/2018,11.583333333333334
London N. Kensington (RBKC North Kensington),04/05/2018,14.823958333333335
London N. Kensington (RBKC North Kensington),05/05/2018,22.51875
London N. Kensington (RBKC North Kensington),06/05/2018,28.992708333333336
London N. Kensington (RBKC North Kensington),07/05/2018,30.686458333333334
London N. Kensington (RBKC North Kensington),08/05/2018,28.030208333333334
London N. Kensington (RBKC North Kensington),09/05/2018,14.676041666666668
London N. Kensington (RBKC North Kensington),10/05/2018,9.842708333333333
London N. Kensington (RBKC North Kensington),11/05/2018,13.807291666666666
London N. Kensington (RBKC North Kensington),12/05/2018,11.067708333333334
London N. Kensington (RBKC North Kensington),13/05/2018,14.532291666666666
London N. Kensington (RBKC North Kensington),14/05/2018,11.483333333333334
London N. Kensington (RBKC North Kensington),15/05/2018,15.742708333333333
London N. Kensington (RBKC North Kensington),16/05/2018,17.592708333333334
London N. Kensington (RBKC North Kensington),17/05/2018,15.491666666666667
London N. Kensington (RBKC North Kensington),18/05/2018,14.930208333333333
London N. Kensington (RBKC North Kensington),19/05/2018,19.502083333333335
London N. Kensington (RBKC North Kensington),20/05/2018,22.698958333333334
London N. Kensington (RBKC North Kensington),21/05/2018,27.510416666666668
London N. Kensington (RBKC North Kensington),22/05/2018,21.840625
London N. Kensington (RBKC North Kensington),23/05/2018,23.204166666666666
London N. Kensington (RBKC North Kensington),24/05/2018,26.945833333333336
London N. Kensington (RBKC North Kensington),25/05/2018,22.93958333333333
London N. Kensington (RBKC North Kensington),26/05/2018,34.48854166666667
London N. Kensington (RBKC North Kensington),27/05/2018,23.5
London N. Kensington (RBKC North Kensington),28/05/2018,33.12916666666667
London N. Kensington (RBKC North Kensington),29/05/2018,19.306250000000002
London N. Kensington (RBKC North Kensington),30/05/2018,21.745833333333334
London N. Kensington (RBKC North Kensington),31/05/2018,33.110416666666666
London N. Kensington (RBKC North Kensington),01/06/2018,20.011458333333334
London N. Kensington (RBKC North Kensington),02/06/2018,8.235416666666667
London N. Kensington (RBKC North Kensington),03/06/2018,9.286458333333334
London N. Kensington (RBKC North Kensington),04/06/2018,15.010416666666666
London N. Kensington (RBKC North Kensington),05/06/2018,14.34375
London N. Kensington (RBKC North Kensington),06/06/2018,18.991666666666667
London N. Kensington (RBKC North Kensington),07/06/2018,16.241666666666667
London N. Kensington (RBKC North Kensington),08/06/2018,15.292708333333332
London N. Kensington (RBKC North Kensington),09/06/2018,16.163541666666667
London N. Kensington (RBKC North Kensington),10/06/2018,15.261458333333332
London N. Kensington (RBKC North Kensington),11/06/2018,10.969791666666666
London N. Kensington (RBKC North Kensington),12/06/2018,11.576041666666667
London N. Kensington (RBKC North Kensington),13/06/2018,9.872916666666667
London N. Kensington (RBKC North Kensington),14/06/2018,11.363541666666668
London N. Kensington (RBKC North Kensington),15/06/2018,12.946875
London N. Kensington (RBKC North Kensington),16/06/2018,8.38125
London N. Kensington (RBKC North Kensington),17/06/2018,7.48125
London N. Kensington (RBKC North Kensington),18/06/2018,8.93125
London N. Kensington (RBKC North Kensington),19/06/2018,4.8656250000000005
London N. Kensington (RBKC North Kensington),20/06/2018,7.684375
London N. Kensington (RBKC North Kensington),21/06/2018,9.088541666666666
London N. Kensington (RBKC North Kensington),22/06/2018,11.334375
London N. Kensington (RBKC North Kensington),23/06/2018,10.129166666666666
London N. Kensington (RBKC North Kensington),24/06/2018,10.665625
London N. Kensington (RBKC North Kensington),25/06/2018,13.207291666666668
London N. Kensington (RBKC North Kensington),26/06/2018,15.690624999999999
London N. Kensington (RBKC North Kensington),27/06/2018,16.320833333333333
London N. Kensington (RBKC North Kensington),28/06/2018,18.111458333333335
London N. Kensington (RBKC North Kensington),29/06/2018,15.129166666666668
London N. Kensington (RBKC North Kensington),30/06/2018,13.419791666666667
London N. Kensington (RBKC North Kensington),01/07/2018,16.667708333333334
London N. Kensington (RBKC North Kensington),02/07/2018,15.076041666666667
London N. Kensington (RBKC North Kensington),03/07/2018,12.09375
London N. Kensington (RBKC North Kensington),04/07/2018,17.209374999999998
London N. Kensington (RBKC North Kensington),05/07/2018,22.108333333333334
London N. Kensington (RBKC North Kensington),06/07/2018,21.308333333333334
