count_date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,road_type
2018-04-25,106.5,57.11,438.68,43.41,154.33,18.96,3.84,10.26,0.84,0.94,1.07,35.910000000000004,Major
2018-04-26,106.41,57.09,438.1,43.37,154.25,18.94,3.83,10.24,0.84,0.94,1.06,35.85000000000001,Major
2018-04-27,106.32,57.06,437.51,43.32,154.16,18.92,3.83,10.23,0.84,0.94,1.06,35.82000000000001,Major
2018-04-28,106.24,57.03,436.93,43.27,154.07,18.91,3.82,10.22,0.84,0.94,1.05,35.78,Major
2018-04-29,106.15,57.0,436.34,43.23,153.99,18.89,3.82,10.2,0.84,0.94,1.05,35.739999999999995,Major
2018-04-30,106.06,56.98,435.76,43.18,153.9,18.88,3.82,10.19,0.84,0.94,1.05,35.72,Major
2018-05-01,105.98,56.95,435.18,43.13,153.81,18.86,3.81,10.18,0.84,0.94,1.04,35.669999999999995,Major
2018-05-02,105.89,56.92,434.6,43.09,153.73,18.85,3.81,10.17,0.84,0.94,1.04,35.65,Major
2018-05-03,105.8,56.89,434.02,43.04,153.64,18.83,3.8,10.15,0.84,0.94,1.03,35.59,Major
2018-05-04,105.72,56.86,433.44,42.99,153.55,18.82,3.8,10.14,0.84,0.94,1.03,35.57000000000001,Major
2018-05-05,105.63,56.84,432.86,42.95,153.47,18.8,3.8,10.13,0.84,0.94,1.03,35.540000000000006,Major
2018-05-06,105.55,56.81,432.29,42.9,153.38,18.78,3.79,10.12,0.84,0.94,1.02,35.49,Major
2018-05-07,105.46,56.78,431.71,42.86,153.29,18.77,3.79,10.1,0.84,0.94,1.02,35.46,Major
2018-05-08,105.37,56.75,431.13,42.81,153.21,18.75,3.78,10.09,0.84,0.94,1.01,35.410000000000004,Major
2018-05-09,105.29,56.73,430.56,42.76,153.12,18.74,3.78,10.08,0.84,0.94,1.01,35.39,Major
2018-05-10,105.2,56.7,429.99,42.72,153.04,18.72,3.77,10.07,0.84,0.94,1.01,35.35,Major
2018-05-11,105.11,56.67,429.41,42.67,152.95,18.71,3.77,10.05,0.84,0.94,1.0,35.31,Major
2018-05-12,105.03,56.64,428.84,42.62,152.86,18.69,3.77,10.04,0.84,0.94,1.0,35.28,Major
2018-05-13,104.94,56.61,428.27,42.58,152.78,18.68,3.76,10.03,0.84,0.94,0.99,35.24,Major
2018-05-14,104.86,56.59,427.7,42.53,152.69,18.66,3.76,10.02,0.84,0.94,0.99,35.21,Major
2018-05-15,104.77,56.56,427.13,42.49,152.61,18.65,3.76,10.0,0.84,0.94,0.99,35.18,Major
