date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,4.9,3.8,6.1,,,160,6.6,20.4,1029.1,
2020-01-02,7.4,4.8,9.4,,,195,16.1,37,1020.3,
2020-01-03,7.1,3.4,9.5,,,275,17.3,35.2,1020.9,
2020-01-04,4.6,2.9,7.7,,,258,12.8,29.6,1033.9,
2020-01-05,5.6,3.5,8.3,,,220,11.1,25.9,1033.4,
2020-01-06,6.3,5,8,,,210,16.3,37,1021.8,
2020-01-07,7.9,4.1,11.9,,,216,18.1,42.6,1021.3,
2020-01-08,10.2,8.5,11.7,,,228,13,38.9,1020.6,
2020-01-09,9.7,5.9,11.2,,,223,19.1,42.6,1007.5,
2020-01-10,5.2,3.8,6.9,,,285,12.9,29.6,1022.6,
2020-01-11,8.1,5,9.6,,,210,23.9,48.2,1023.9,
2020-01-12,8.5,5.4,10.1,,,234,22.9,50,1018.1,
2020-01-13,7.2,5.3,9.1,,,196,21.9,51.8,1008.3,
2020-01-14,9.3,6.5,12.1,,,208,27.2,66.7,996.3,
2020-01-15,8,5.5,11.2,,,229,17.5,59.3,1006.5,
2020-01-16,8.2,5.9,10.3,,,176,20,48.2,1014.7,
2020-01-17,6.8,2.6,9.1,,,230,16.4,40.8,1012.6,
2020-01-18,2.7,0.9,5.8,,,290,11.5,25.9,1027.6,
2020-01-19,1.5,-0.6,5.5,,,330,8.7,24.1,1043.7,
2020-01-20,1.6,-1.6,6.4,,,267,6.2,16.7,1047.3,
2020-01-21,1.9,-1,5.8,,,276,6.5,14.8,1042.2,
2020-01-22,5,2.4,7.9,,,356,6.5,16.7,1037.7,
2020-01-23,5.9,4.9,7.5,,,30,5.5,14.8,1031.8,
2020-01-24,5.5,4.7,6.7,,,285,5.5,14.8,1023.5,
2020-01-25,5.4,3.4,7.6,,,176,9.1,22.2,1018.7,
2020-01-26,7.3,6.4,8.3,,,192,15.6,37,1009.7,
2020-01-27,6.3,4.9,7.5,,,211,13.6,27.8,1000.3,
2020-01-28,4,2.2,6.4,,,259,23.2,44.5,995.4,
2020-01-29,5.1,2.4,8.5,,,251,20.3,40.8,1008.2,
2020-01-30,8.5,6,11.3,,,215,17.7,37,1004.4,
2020-01-31,10.2,9.6,10.8,,,232,23.3,46.3,1006,
2020-02-01,9.2,6.5,11,,,246,25.8,59.3,1004.1,
2020-02-02,9.4,6.3,11.9,,,233,21.6,51.8,1007.6,
2020-02-03,8,4.2,10.2,,,265,21.9,42.6,1012.9,
2020-02-04,5.4,3.4,8.4,,,298,24.8,51.8,1021.5,
2020-02-05,4.1,1.2,7.8,,,264,7,20.4,1036.5,
2020-02-06,3.5,0.8,7.7,,,173,5.8,18.5,1031.8,
2020-02-07,4.7,0.9,8,,,140,13.8,31.5,1019.5,
2020-02-08,8,6.8,9.3,,,212,17,46.3,1014.5,
2020-02-09,9.9,7.6,12,,,224,45.9,88.9,994.2,
2020-02-10,6,3.8,7.9,,,259,38.6,70.4,997.3,
2020-02-11,4.1,2.7,6.8,,,263,35.3,70.4,1007,
2020-02-12,4.2,1.8,7.5,,,244,21.5,44.5,1013.6,
2020-02-13,6.8,5.3,9.1,,,239,21.9,44.5,998.5,
2020-02-14,6.6,2.1,10,,,220,16.5,40.8,1016.6,
2020-02-15,10.8,9.6,12.1,,,205,33.3,74.1,1006.4,
2020-02-16,9.6,5.3,12.7,,,229,34.7,79.6,996.2,
2020-02-17,6.3,4.5,9.1,,,242,27.9,50,1009.4,
2020-02-18,5.8,3.6,8.8,,,249,26.4,55.5,1017.9,
2020-02-19,5.3,2.2,8.1,,,246,19.8,37,1018.5,
2020-02-20,6.9,2.9,9.5,,,239,25.8,55.5,1011.7,
2020-02-21,6.8,3,9.8,,,238,26.5,53.7,1021.9,
2020-02-22,9.7,8.2,11.9,,,247,33.6,64.8,1017.8,
2020-02-23,9.5,6.1,12.5,,,255,25.5,61.1,1017.4,
2020-02-24,8.3,5.4,10.7,,,220,23.9,59.3,1010.5,
2020-02-25,4.8,2.5,7.3,,,262,22.3,44.5,1000.4,
2020-02-26,3.5,1.3,6.6,,,281,22.1,46.3,1003.1,
2020-02-27,3.2,1.1,5.9,,,292,15.7,48.2,1003.4,
2020-02-28,5.3,0.7,10.2,,,199,19.6,48.2,1005.7,
2020-02-29,7.3,4.4,10.2,,,229,31.7,57.4,986.8,
2020-03-01,5.6,3.7,8.5,,,232,24.7,48.2,989.1,
2020-03-02,4.8,2,8,,,280,14,33.3,990.2,
2020-03-03,4.2,1.2,7.9,,,256,15.3,35.2,1002.3,
2020-03-04,4.2,1,7.2,,,180,10.1,22.2,1007.7,
2020-03-05,4.6,3.9,5.4,,,24,21.5,42.6,995.1,
2020-03-06,4.3,1.5,8,,,309,13.4,33.3,1004.5,
2020-03-07,6.4,1.1,10.8,,,231,16.9,42.6,1014.9,
2020-03-08,8.9,5.7,11.3,,,233,24.9,50,1006,
2020-03-09,7,4,9.9,,,248,21.4,40.8,1010.5,
2020-03-10,11.7,9.5,14.5,,,251,29.8,61.1,1004.8,
2020-03-11,10.1,7.6,12.8,,,241,21.8,46.3,1009.1,
2020-03-12,6.6,3.5,9.2,,,252,30.9,61.1,1009.7,
2020-03-13,6.4,3.9,9.5,,,253,18.8,42.6,1017.1,
2020-03-14,8.4,5.4,11.9,,,192,15.1,35.2,1013.5,
2020-03-15,8.4,5.4,10.4,,,225,19.6,44.5,1008.4,
2020-03-16,6.2,2.2,10.8,,,280,10.3,24.1,1020.8,
2020-03-17,8.3,4.2,12.2,,,223,18.1,37,1026.7,
2020-03-18,10.3,8.2,12.8,,,235,17.2,35.2,1024.6,
2020-03-19,6.5,4.9,7.9,,,38,13.4,29.6,1025.8,
2020-03-20,5.3,3.6,7.7,,,45,20.6,40.8,1028.3,
2020-03-21,5.3,2.2,8.8,,,71,21,44.5,1026.7,
2020-03-22,4.8,1.2,8.6,,,74,18.8,38.9,1027.1,
2020-03-23,5.2,1.1,10,,,111,14.9,33.3,1027.3,
2020-03-24,6.4,1.6,12.3,,,143,12.9,27.8,1025.9,
2020-03-25,6.1,1.4,12,,,109,10.8,25.9,1024.9,
2020-03-26,5.3,0.4,11.1,,,47,14.1,31.5,1023.8,
