date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.6,5.8,10.7,,,212,23.9,46.3,999.5,
2024-01-02,10.9,9.4,12.2,,,219,29.7,63,986.1,
2024-01-03,8.5,6.3,9.9,,,238,22,40.8,991,
2024-01-04,6.5,5,7.7,,,206,14.6,35.2,999.5,
2024-01-05,5.2,4.1,5.9,,,307,19.8,46.3,1001.3,
2024-01-06,3.6,2.6,4.8,,,332,11,27.8,1016.3,
2024-01-07,1.6,0.1,3.2,,,1,14.8,35.2,1027.4,
2024-01-08,0.5,-0.3,1.6,,,31,15.1,35.2,1032.3,
2024-01-09,0.2,-1,1.9,,,51,18.5,40.8,1031.3,
2024-01-10,0.5,-1.5,3.4,,,36,15.5,35.2,1030,
2024-01-11,1.6,-1.6,4.5,,,15,12.1,29.6,1036.2,
2024-01-12,4.1,2.8,5.5,,,11,9.3,24.1,1035.8,
2024-01-13,2,0.6,3.5,,,255,6.4,20.4,1025.9,
2024-01-14,2.1,0.7,3.9,,,270,9.4,25.9,1013.6,
2024-01-15,-1.2,-3.7,1.2,,,299,11.1,31.5,1011.2,
2024-01-16,-1.4,-3.6,1.8,,,187,7.7,22.2,1008.2,
2024-01-17,-0.9,-2.7,1.1,,,45,9.1,25.9,993.4,
2024-01-18,-3,-5.9,0.4,,,315,10.7,27.8,1006.8,
2024-01-19,-1.2,-4.3,3,,,217,8.5,24.1,1021.8,
2024-01-20,1.6,-0.5,4,,,185,19.6,40.8,1023.1,
2024-01-21,8.6,3,11.9,,,199,37.5,77.8,1010,
2024-01-22,8.9,6.3,11.8,,,237,34.6,79.6,1008.2,
2024-01-23,8.6,4.6,13,,,213,27.7,55.5,1018.7,
2024-01-24,9.5,6.4,12.1,,,238,25.2,59.3,1023.1,
2024-01-25,9,5.6,11.1,,,187,16.4,40.8,1025,
2024-01-26,7.7,2.6,12,,,243,21.1,48.2,1027.1,
2024-01-27,3.4,0.7,7.3,,,165,10.8,27.8,1032.8,
2024-01-28,5.9,2.1,9.8,,,158,15,31.5,1022.9,
2024-01-29,10.2,7.9,12.4,,,171,16.1,37,1022.1,
2024-01-30,7.7,4,11.3,,,262,16.4,40.8,1027.6,
2024-01-31,6.3,2.1,10.1,,,195,16.7,42.6,1029.9,
2024-02-01,5.5,2.7,9.4,,,268,9.9,29.6,1032.7,
2024-02-02,8.8,3.6,12.1,,,238,20.2,44.5,1030,
2024-02-03,11,9.7,12.6,,,239,20.1,38.9,1027.6,
2024-02-04,11.1,9.2,12.6,,,245,25.3,50,1024.9,
2024-02-05,9.6,8,11.1,,,235,26.6,51.8,1020.1,
2024-02-06,11.1,9.3,12.1,,,227,31.8,57.4,1009.4,
2024-02-07,6.4,3.9,8.7,,,54,8.9,31.5,1004.9,
2024-02-08,7.2,3.5,10.8,,,131,16,37,991.6,
2024-02-09,10.7,9.7,11.9,,,189,23.9,50,978.1,
2024-02-10,8.7,6.7,10.1,,,157,8.3,22.2,983.1,
2024-02-11,6.6,4.4,9.7,,,305,9.6,29.6,990.7,
2024-02-12,4.7,1.9,8.6,,,222,11.4,31.5,1005.6,
2024-02-13,7.6,4.4,10.8,,,191,18.7,37,1011.9,
2024-02-14,11.9,10.6,13.3,,,207,21.9,38.9,1012.5,
2024-02-15,13.1,11.2,15.6,,,175,15.4,29.6,1009,
2024-02-16,10.8,7.5,13,,,248,14.3,37,1014.9,
2024-02-17,9.6,6.1,12.3,,,190,15.1,40.8,1028.4,
2024-02-18,11.7,8.8,14.2,,,251,18.5,38.9,1025.4,
2024-02-19,8.9,6.6,12.7,,,254,14.2,38.9,1029.4,
2024-02-20,8.6,5.4,12,,,209,17.2,44.5,1026.1,
2024-02-21,9.8,8.9,11.1,,,201,25.1,55.5,1007.5,
2024-02-22,8.3,4.2,11.1,,,218,23.2,46.3,985.1,
2024-02-23,4.8,2.7,7.6,,,215,16,35.2,986.6,
2024-02-24,3.3,0,7.5,,,187,6.9,20.4,995,
2024-02-25,4.1,-0.3,7.8,,,101,15.7,42.6,995.7,
2024-02-26,5.9,2.9,7.7,,,17,29.7,61.1,1008.6,
2024-02-27,4.2,1.1,7.1,,,270,9.6,24.1,1020.5,
2024-02-28,7.5,3.8,10.7,,,193,15.1,37,1017,
2024-02-29,8.9,4.8,10.7,,,226,16.7,38.9,1004.7,
2024-03-01,5.3,3.6,7.6,,,174,20.4,50,993.7,
2024-03-02,5.2,2.1,7.5,,,167,16.6,37,992.2,
2024-03-03,3,-0.7,8,,,238,5.7,18.5,1002.7,
2024-03-04,5,-0.1,9.5,,,143,14.2,35.2,1008.6,
2024-03-05,6.2,3.8,8.7,,,325,8.4,27.8,1012.8,
2024-03-06,5.7,2.7,9.7,,,67,7.6,20.4,1021.3,
2024-03-07,6.3,3.2,10.2,,,77,15.5,35.2,1020.3,
2024-03-08,6.5,3.9,9.8,,,70,19.8,40.8,1007.2,
2024-03-09,9.1,6.8,11.9,,,88,17.5,35.2,995.2,
2024-03-10,8,6.9,8.8,,,69,9.7,22.2,995.9,
2024-03-11,7.6,6.3,9.7,,,327,12.6,29.6,1006.2,
2024-03-12,9.2,6.4,12.1,,,208,15.8,33.3,1011.7,
2024-03-13,11.7,10.1,14.1,,,214,23.5,48.2,1012.5,
2024-03-14,11.7,9,14.7,,,193,22.6,42.6,1006.9,
2024-03-15,11.8,9.4,14.1,,,229,23.5,44.5,1005.4,
2024-03-16,9,4.5,12.4,,,204,11.3,25.9,1019.4,
2024-03-17,11.6,9.5,14.6,,,191,15.4,35.2,1014.9,
