date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,7.3,4.6,10.4,,,304,10.6,25.9,1036.2,
2019-01-02,3.7,2.5,5.4,,,341,7.6,18.5,1043.4,
2019-01-03,2.2,-0.1,4.9,,,358,4.9,14.8,1043.4,
2019-01-04,0.4,-1.8,3.4,,,298,5.4,16.7,1042.3,
2019-01-05,2.3,-0.1,5.5,,,286,8.2,20.4,1039.5,
2019-01-06,5.4,2.6,8.2,,,274,7.4,16.7,1037.2,
2019-01-07,7.4,3.9,10.5,,,251,13.7,35.2,1032.8,
2019-01-08,6.6,4,8.6,,,303,15.1,31.5,1028.6,
2019-01-09,3.9,3,5.5,,,331,13.7,29.6,1030.2,
2019-01-10,3.5,1.4,5.6,,,307,7.9,20.4,1030.9,
2019-01-11,5.7,4.3,7.8,,,304,9,18.5,1030.4,
2019-01-12,7.7,4.6,9.8,,,263,16.4,33.3,1023.5,
2019-01-13,10,7.9,11.4,,,277,21.5,42.6,1015.4,
2019-01-14,7,4.9,8.9,,,286,13.3,33.3,1020.5,
2019-01-15,7,4,9.8,,,237,13.1,29.6,1019.2,
2019-01-16,7.6,4.1,9.5,,,228,16.7,35.2,1005.6,
2019-01-17,3.1,0.3,5,,,298,12.5,35.2,1011.2,
2019-01-18,1.8,-1.3,5,,,161,10.6,29.6,1015.5,
2019-01-19,3.7,2.6,4.8,,,114,14,27.8,1009,
2019-01-20,2.2,0.3,4.2,,,28,7.3,18.5,1017.8,
2019-01-21,2.7,0.4,5,,,233,8.4,31.5,1021.2,
2019-01-22,3,0.6,4.9,,,246,10.8,31.5,1002.9,
2019-01-23,0.7,-1.6,2.6,,,327,10.2,27.8,1003,
2019-01-24,2,-2.7,6.2,,,244,5.7,16.7,1011.5,
2019-01-25,7.3,3.3,11.4,,,242,10.6,27.8,1014.1,
2019-01-26,8.2,7,9.4,,,229,18.8,44.5,1003.1,
2019-01-27,5.7,3.6,7.8,,,291,24.1,55.5,992.2,
2019-01-28,2.7,0.4,5.7,,,291,14.5,38.9,1006.2,
2019-01-29,2.3,0.2,5.2,,,201,8.7,22.2,999.6,
2019-01-30,1.1,-1,4.2,,,277,8.5,24.1,996.1,
2019-01-31,0.3,-2.4,3.3,,,117,12.9,37,990.9,
2019-02-01,1.9,1.2,2.7,,,44,19.1,42.6,987.1,
