Date,NO_weighted_value(ug m-3)
2018-01-01,0.7
2018-01-02,5.4
2018-01-03,1.2
2018-01-04,4.4
2018-01-05,11.0
2018-01-06,14.8
2018-01-07,2.4
2018-01-08,10.7
2018-01-09,24.9
2018-01-10,56.4
2018-01-11,40.1
2018-01-12,13.9
2018-01-13,5.3
2018-01-14,3.5
2018-01-15,7.26
2018-01-16,4.9
2018-01-17,1.7
2018-01-18,1.8
2018-01-19,5.9
2018-01-20,4.7
2018-01-21,7.7
2018-01-22,7.7
2018-01-23,1.5
2018-01-24,2.0
2018-01-25,3.7
2018-01-26,29.1
2018-01-27,5.7
2018-01-28,0.7
2018-01-29,3.7
2018-01-30,45.2
2018-01-31,1.9
2018-02-01,5.2
2018-02-02,14.6
2018-02-03,9.4
2018-02-04,2.6
2018-02-05,6.1
2018-02-06,11.4
2018-02-07,20.8
2018-02-08,23.1
2018-02-09,3.8
2018-02-10,3.8
2018-02-11,0.9
2018-02-12,7.4
2018-02-13,4.6
2018-02-14,7.3
2018-02-15,2.1
2018-02-16,9.8
2018-02-17,22.7
2018-02-18,4.0
2018-02-19,12.3
2018-02-20,3.2
2018-02-21,7.5
2018-02-22,4.9
2018-02-23,7.3
2018-02-24,5.5
2018-02-25,3.0
2018-02-26,3.8
2018-02-27,8.4
2018-02-28,8.2
2018-03-01,4.1
2018-03-02,6.9
2018-03-03,10.7
2018-03-04,8.7
2018-03-05,3.9
2018-03-06,10.2
2018-03-07,4.82
2018-03-08,5.279999999999999
2018-03-09,12.9
2018-03-10,2.2
2018-03-11,17.7
2018-03-12,9.5
2018-03-13,6.2
2018-03-14,3.7
2018-03-15,13.9
2018-03-16,5.6
2018-03-17,2.1
2018-03-18,2.3
2018-03-19,2.9
2018-03-20,2.7
2018-03-21,16.2
2018-03-22,2.6
2018-03-23,1.5
2018-03-24,5.6
2018-03-25,8.4
2018-03-26,5.3
2018-03-27,3.7
2018-03-28,4.2
2018-03-29,7.7
2018-03-30,3.0
2018-03-31,2.1
2018-04-01,1.7
2018-04-02,1.4
2018-04-03,1.6
2018-04-04,1.7
2018-04-05,2.7
2018-04-06,2.8
2018-04-07,5.6
