Date,NO_weighted_value(ug m-3)
2018-12-15,13.7
2018-12-16,4.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-22,4.0
2018-12-23,2.0
2018-12-24,26.2
2018-12-25,40.6
2018-12-26,13.3
2018-12-27,119.3
2018-12-28,48.4
2018-12-29,15.3
2018-12-30,4.6
2018-12-31,0.9
2019-01-01,14.0
2019-01-02,54.3
2019-01-03,6.5
2019-01-04,62.7
2019-01-05,4.5
2019-01-06,20.3
2019-01-07,4.3
2019-01-08,4.3
2019-01-09,7.7
2019-01-10,31.4
2019-01-11,10.3
2019-01-12,1.4
2019-01-13,4.5
2019-01-14,29.7
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,6.1
2019-01-18,26.8
2019-01-19,8.5
2019-01-20,25.7
2019-01-21,0.0
2019-01-22,7.9
2019-01-23,17.3
2019-01-24,77.7
2019-01-25,27.7
2019-01-26,1.9
2019-01-27,1.2
2019-01-28,12.0
2019-01-29,9.4
2019-01-30,22.8
2019-01-31,87.3
2019-02-01,6.9
2019-02-02,5.6
2019-02-03,7.7
2019-02-04,11.4
2019-02-05,9.7
2019-02-06,0.0
2019-02-07,0.0
2019-02-08,0.8
2019-02-09,0.0
2019-02-10,7.6
2019-02-11,10.0
2019-02-14,104.5
2019-02-15,83.4
2019-02-16,5.4
2019-02-17,5.4
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,3.8
2019-02-21,0.0
2019-02-22,31.0
2019-02-23,52.6
2019-02-24,52.9
2019-02-25,74.4
2019-02-26,184.60001
2019-02-27,72.5
2019-02-28,12.3
2019-03-01,5.0
2019-03-02,2.5
2019-03-03,0.0
2019-03-04,3.4
2019-03-05,0.0
2019-03-06,2.0
2019-03-07,0.0
2019-03-08,5.1
2019-03-09,0.0
2019-03-10,0.9
2019-03-11,8.7
2019-03-12,0.0
2019-03-13,0.7
2019-03-14,6.4
2019-03-15,2.6
2019-03-16,0.0
2019-03-17,4.6
2019-03-18,13.0
2019-03-19,6.4
2019-03-20,0.0
2019-03-21,6.0
2019-03-22,4.0
2019-03-23,4.6
2019-03-24,6.7
2019-03-25,35.5
2019-03-26,13.4
2019-03-27,8.1
2019-03-28,14.0
2019-03-29,53.2
2019-03-30,57.9
2019-03-31,2.0
2019-04-01,34.5
2019-04-02,12.1
2019-04-03,32.4
2019-04-04,7.4
2019-04-05,2.7
2019-04-06,26.2
2019-04-07,5.1
2019-04-08,12.4
2019-04-09,7.1
2019-04-10,3.8
2019-04-11,30.8
2019-04-12,5.8
2019-04-13,5.0
2019-04-14,19.1
2019-04-15,30.9
2019-04-16,17.0
2019-04-17,12.3
2019-04-18,42.6
2019-04-19,5.3
2019-04-20,21.8
2019-04-21,4.7
2019-04-22,4.5
