Date,NO_weighted_value(ug m-3)
2018/10/21,11.3
2018/10/22,17.7
2018/10/23,17
2018/10/24,15.5
2018/10/25,15.5
2018/10/26,10.3
2018/10/27,10
2018/10/28,9.1
2018/10/29,18.5
2018/10/30,18.1
2018/10/31,40.7
2018/11/1,23.7
2018/11/2,28.4
2018/11/3,3.7
2018/11/4,5.5
2018/11/5,68.2
2018/11/6,19
2018/11/7,4.8
2018/11/8,6.4
2018/11/9,9.7
2018/11/10,3.4
2018/11/11,1.8
2018/11/12,3.9
2018/11/13,3.4
2018/11/14,9.1
2018/11/15,13.9
2018/11/16,27.4
2018/11/17,28.3
2018/11/18,12.7
2018/11/19,13
2018/11/20,18.6
2018/11/21,37.2
2018/11/22,78.1
2018/11/23,50.8
2018/11/24,24.8
2018/11/25,12.8
2018/11/26,24.3
2018/11/27,27.3
2018/11/28,2.8
2018/11/29,2.2
2018/11/30,4
2018/12/1,2.2
2018/12/2,1.7
2018/12/3,12.674999999999999
2018/12/4,23.925
2018/12/5,14
2018/12/6,2.9
2018/12/7,7.1
2018/12/8,3.1
2018/12/9,10.8
2018/12/10,22.4
2018/12/11,50.7
2018/12/12,16.3
2018/12/13,43.6
2018/12/14,24.5
2018/12/15,9.7
2018/12/16,4.1
2018/12/17,8.8
2018/12/18,3.8
2018/12/19,2.9
2018/12/20,2.8
2018/12/21,3
2018/12/22,5.1
2018/12/23,4.2
2018/12/24,23.2
2018/12/25,58.9
2018/12/26,4.3
2018/12/27,120.4
2018/12/28,71
2018/12/29,9.2
2018/12/30,12
2018/12/31,8
2019/1/1,8.4
2019/1/2,10.1
2019/1/3,8.1
2019/1/4,15.6
2019/1/5,13.4
2019/1/6,14.4
2019/1/7,7.8
2019/1/8,14.9
2019/1/9,15.4
2019/1/10,37.1
2019/1/11,21.6
2019/1/12,8
2019/1/13,5.4
2019/1/14,14.5
2019/1/15,3.6
2019/1/16,4.1
2019/1/17,19.5
2019/1/18,19.6
2019/1/19,13.6
2019/1/20,24.6
2019/1/21,31.2
2019/1/22,12.5
2019/1/23,29.8
2019/1/24,56.6
2019/1/25,20
2019/1/26,1.8
2019/1/27,8
2019/1/28,7.159999999999999
2019/1/29,6.74
2019/1/30,29.9
2019/1/31,71.3
2019/2/1,19
2019/2/2,14.1
2019/2/3,9.3
2019/2/4,6.5
2019/2/5,7.7
2019/2/6,4.9
2019/2/7,3.2
2019/2/8,1.6
2019/2/9,1.7
2019/2/10,8.1
2019/2/11,12.5
2019/2/12,6.3
2019/2/13,4.7
2019/2/14,22.7
2019/2/15,35.9
2019/2/16,5.1
2019/2/17,4.1
2019/2/18,3.9
2019/2/19,3.9
2019/2/20,2.8
2019/2/21,3
2019/2/22,42.2
2019/2/23,27.9
2019/2/24,47.8
2019/2/25,74.9
2019/2/26,92.6
2019/2/27,58.6
2019/2/28,8.4
2019/3/1,10.7
2019/3/2,2.8
2019/3/3,0.9
2019/3/4,5.8
2019/3/5,2.4
2019/3/6,2.1
2019/3/7,4.7
2019/3/8,4.8
2019/3/9,3.2
2019/3/10,5.4
2019/3/11,8.8
2019/3/12,3.7
2019/3/13,8
2019/3/14,6.7
2019/3/15,4.6
2019/3/16,1
2019/3/17,7.2
2019/3/18,13.4
2019/3/19,4.8
2019/3/20,4.4
2019/3/21,8.7
2019/3/22,2.4
2019/3/23,11.5
2019/3/24,7.7
2019/3/25,8.8
2019/3/26,15
2019/3/27,10.5
2019/3/28,6.6
2019/3/29,16.9
2019/3/30,34.4
2019/3/31,4
2019/4/1,8.5
2019/4/2,9.3
2019/4/3,10.6
2019/4/4,4
2019/4/5,6.4
2019/4/6,5.4
2019/4/7,8.5
2019/4/8,13.9
2019/4/9,9.7
2019/4/10,6.8
2019/4/11,6.4
2019/4/12,6.8
2019/4/13,5
2019/4/14,4.2
2019/4/15,10.1
2019/4/16,16.8
2019/4/17,11.3
2019/4/18,12.3
2019/4/19,4.4
2019/4/20,2.9
2019/4/21,2.6
2019/4/22,5
2019/4/23,11.9
2019/4/24,8.6
2019/4/25,1.8
2019/4/26,1.8
2019/4/27,5.7
2019/4/28,5.5
2019/4/29,8.6
2019/4/30,7.3
2019/5/1,7.4
2019/5/2,8.5
2019/5/3,9.6
2019/5/4,5.4
2019/5/5,3.3
2019/5/6,9.4
2019/5/7,2.6
2019/5/8,3
2019/5/9,7.7
2019/5/10,3
2019/5/11,3.5
2019/5/12,4
2019/5/13,7.2
2019/5/14,11.4
2019/5/15,9.9
2019/5/16,8.4
2019/5/17,5.4
2019/5/18,3.9
2019/5/19,3.9
2019/5/20,5.4
2019/5/21,4.7
2019/5/22,3
2019/5/23,2.3
2019/5/24,4.4
2019/5/25,5.3
2019/5/26,1.4
2019/5/27,2.1
2019/5/28,5.3
2019/5/29,2
2019/5/30,2.3
2019/5/31,2
2019/6/1,2.7
2019/6/2,0.9
2019/6/3,1.3
2019/6/4,5.7
2019/6/5,1.2
2019/6/6,1.9
2019/6/7,7.7
2019/6/8,1.3
2019/6/9,1.4
2019/6/10,7.1
2019/6/11,5.2
2019/6/12,4.4
2019/6/13,1.8
2019/6/14,1.7
2019/6/15,1.5
2019/6/16,1.4
2019/6/17,1.5
2019/6/18,4.7
2019/6/19,3.9
2019/6/20,2.5
2019/6/21,3.8
2019/6/22,1.8
2019/6/23,2.4
2019/6/24,4.4
2019/6/25,4.7
2019/6/26,4.6
2019/6/27,4.2
2019/6/28,6.7
2019/6/29,5.2
2019/6/30,1.3
2019/7/1,3.5
2019/7/2,4.7
2019/7/3,5.5
2019/7/4,4.8
2019/7/5,2.7
2019/7/6,4.7
2019/7/7,3.6
2019/7/8,5.1
2019/7/9,2.4
2019/7/10,3
2019/7/11,3.5
2019/7/12,5.3
2019/7/13,4.1
2019/7/14,3.1
2019/7/15,3.8
2019/7/16,3.4
2019/7/17,2
2019/7/18,3.5
2019/7/19,3.8
2019/7/20,1.9
2019/7/21,1.5
2019/7/22,1.7
2019/7/23,6.6
2019/7/24,1.975
2019/7/25,3.425
2019/7/26,3.125
2019/7/27,2.075
2019/7/28,2.25
2019/7/29,2.0749999999999997
2019/7/30,1.98
2019/7/31,2.5
2019/8/1,4.1
2019/8/2,4.4
2019/8/3,4
2019/8/4,2.5
2019/8/5,1.6
2019/8/6,1.4
2019/8/7,1.7
2019/8/8,2.1
2019/8/9,1.8
2019/8/10,1.1
2019/8/11,1
2019/8/12,4.2
2019/8/13,3.3
2019/8/14,2.7
2019/8/15,3.7
2019/8/16,2.9
2019/8/17,1.4
2019/8/18,1.1
2019/8/19,1.7
2019/8/20,2.1
2019/8/21,1.7
2019/8/22,1.2
2019/8/23,6.4
2019/8/24,7.4
2019/8/25,2.8
2019/8/26,2.8
2019/8/27,5.7
2019/8/28,1.3
2019/8/29,2.1
2019/8/30,1.4
2019/8/31,1.3
2019/9/1,2
2019/9/2,2.4
2019/9/3,1.6
2019/9/4,3.2
2019/9/5,6.4
2019/9/6,2.8
2019/9/7,5.1
2019/9/8,2.4
2019/9/9,2
2019/9/10,10.6
2019/9/11,2.2
2019/9/12,2.7
2019/9/13,8.7
2019/9/14,4.7
2019/9/15,3.7
2019/9/16,8.4
2019/9/17,7
2019/9/18,7.5
2019/9/19,15.9
2019/9/20,19.6
2019/9/21,19.9
2019/9/22,2.5
2019/9/23,1.6
2019/9/24,2.4
2019/9/25,3
2019/9/26,2
2019/9/27,1.9
2019/9/28,1.2
2019/9/29,2
2019/9/30,3.4
2019/10/1,5
2019/10/2,12.4
2019/10/3,22.2
2019/10/4,7
2019/10/5,5.6
2019/10/6,4.6
2019/10/7,4.8
2019/10/8,2.3
2019/10/9,2.3
2019/10/10,3.1
2019/10/11,1.7
2019/10/12,2.1
2019/10/13,2.1
2019/10/14,15.3
2019/10/15,4.5
2019/10/16,11.2
2019/10/17,3.9
2019/10/18,2
2019/10/19,4.8
2019/10/20,8
2019/10/21,9.3
2019/10/22,14.2
2019/10/23,65.8
2019/10/24,23.3
2019/10/25,3.8
2019/10/26,1.9
2019/10/27,6
2019/10/28,14.4
2019/10/29,8.8
2019/10/30,22.4
2019/10/31,36.7
2019/11/1,8.2
2019/11/2,1.4
2019/11/3,3.2
2019/11/4,13.9
2019/11/5,19.6
2019/11/6,12.2
2019/11/7,6.3
2019/11/8,39.2
2019/11/9,17.4
2019/11/10,9.6
2019/11/11,8.5
2019/11/12,10.4
2019/11/13,18.6
2019/11/14,12.8
2019/11/15,17
2019/11/16,17.6
2019/11/17,40.7
2019/11/18,16.6
2019/11/19,47.7
2019/11/20,15.2
2019/11/21,43.1
2019/11/22,20.9
2019/11/23,29.5
2019/11/24,26.9
2019/11/25,5.5
2019/11/26,2.6
2019/11/27,6.4
2019/11/28,17.6
2019/11/29,23.3
2019/11/30,44.4
2019/12/1,9.9
2019/12/2,45.6
2019/12/3,24.2
2019/12/4,62.1
2019/12/5,32
2019/12/6,8.2
2019/12/7,4.6
2019/12/8,2.2
2019/12/9,26.8
2019/12/10,3.6
2019/12/11,9.1
2019/12/12,4.7
