Date,NO_weighted_value(ug m-3)
2018-10-15,2.5
2018-10-16,5.3
2018-10-17,14.4
2018-10-18,3.1
2018-10-19,41.4
2018-10-20,95.0
2018-10-21,17.4
2018-10-22,13.9
2018-10-23,10.2
2018-10-24,5.4
2018-10-25,9.3
2018-10-26,3.6
2018-10-27,2.9
2018-10-28,1.3
2018-10-29,4.2
2018-10-30,7.2
2018-10-31,41.7
2018-11-01,18.8
2018-11-02,61.2
2018-11-03,3.7
2018-11-04,4.2
2018-11-05,40.6
2018-11-06,40.3
2018-11-07,2.7
2018-11-08,3.1
2018-11-09,10.9
2018-11-10,2.9
2018-11-11,1.7
2018-11-12,3.5
2018-11-13,4.0
2018-11-14,12.0
2018-11-15,20.2
2018-11-16,8.9
2018-11-17,9.0
2018-11-18,5.3
2018-11-19,2.0
2018-11-20,3.1
2018-11-21,27.3
2018-11-22,69.1
2018-11-23,22.5
2018-11-24,9.3
2018-11-25,2.8
2018-11-26,8.7
2018-11-27,16.4
2018-11-28,3.6
2018-11-29,1.6
2018-11-30,3.6
2018-12-01,2.1
2018-12-02,1.2
2018-12-03,3.4
2018-12-04,42.0
2018-12-05,13.3
2018-12-06,2.7
2018-12-07,2.5
2018-12-08,1.2
2018-12-09,1.5
2018-12-10,12.0
2018-12-11,88.1
2018-12-12,6.7
2018-12-13,18.6
2018-12-14,28.1
2018-12-15,3.2
2018-12-16,4.3
2018-12-17,8.2
2018-12-18,1.1
2018-12-19,1.9
2018-12-20,2.2
2018-12-21,0.8
2018-12-22,2.6
2018-12-23,1.5
2018-12-24,59.9
2018-12-25,95.7
2018-12-26,20.9
2018-12-27,146.5
2018-12-28,78.0
2018-12-29,6.6
2018-12-30,7.8
2018-12-31,0.8
2019-01-01,0.1
2019-01-02,1.7
2019-01-03,2.6
2019-01-04,8.8
2019-01-05,2.2
2019-01-06,3.4
2019-01-07,2.0
2019-01-08,2.2
2019-01-09,2.7
2019-01-10,21.7
2019-01-11,9.8
2019-01-12,1.1
2019-01-13,-0.2
2019-01-14,3.5
2019-01-15,3.9
2019-01-16,2.1
2019-01-17,4.9
2019-01-18,24.8
2019-01-19,3.3
2019-01-20,20.3
2019-01-21,48.7
2019-01-22,11.7
2019-01-23,26.8
2019-01-24,72.2
2019-01-25,15.3
2019-01-26,2.1
2019-01-27,1.7
2019-01-28,14.1
2019-01-29,12.6
2019-01-30,26.4
2019-01-31,87.4
2019-02-01,2.5
2019-02-02,3.7
2019-02-03,8.0
2019-02-04,16.0
2019-02-05,12.1
2019-02-06,5.8
2019-02-07,1.6
2019-02-08,1.1
2019-02-09,0.6
2019-02-10,2.5
2019-02-11,10.5
2019-02-12,10.6
